Symbol,Total_PnL,Max_Capital,ROI_%,Trades,PnL_2023,PnL_2024,PnL_2025
COIN,10431.82,4997.67,208.7336698901688,9,2261.69,6173.17,1996.9599999999998
MSTR,8134.12,4980.83,163.3085248844068,7,924.98,9064.0,-1854.8600000000001
SHOP,5144.75,4998.400000000001,102.92793693982074,10,1931.27,2699.88,513.5999999999999
CRWD,5025.79,4836.72,103.90905406970012,4,0.0,2975.4300000000003,2050.3599999999997
MPWR,4416.85,4793.76,92.13748706651981,5,1791.86,861.48,1763.51
MU,4292.15,4986.54,86.07471312773987,6,0.0,1183.1200000000001,3109.03
UBER,3701.5400000000004,4981.040000000001,74.31259335399835,7,935.5,1271.78,1494.2600000000002
SMH,3534.3900000000003,4988.7,70.84791629081725,7,1599.54,637.56,1297.29
NET,3453.6000000000004,4998.36,69.09466304948025,6,2259.54,1194.06,0.0
NVDA,3408.76,4989.21,68.32264025767607,6,452.4,548.34,2408.02
VRT,3222.1,4995.9,64.49488580636122,6,0.0,3128.7,93.39999999999998
WDC,3180.0600000000004,4984.84,63.79462530392149,7,383.5,1969.66,826.9000000000001
APP,3177.6000000000004,4954.4,64.13692879057001,2,0.0,1950.4,1227.2
AVGO,2996.7700000000004,4967.4400000000005,60.32825761357963,4,0.0,2002.44,994.3300000000002
RBLX,2643.12,4982.67,53.04625833137655,8,1020.5,694.0,928.62
C,2523.6400000000003,4964.32,50.83556257453187,7,186.10000000000002,1068.34,1269.1999999999998
QCOM,2392.87,4985.42,47.9973603026425,6,703.3,488.57,1201.0
SCHW,2385.2799999999997,4998.5199999999995,47.71972503861143,7,1099.71,332.45,953.12
APO,2159.9900000000002,4994.22,43.24979676506041,7,207.36,1803.3899999999999,149.24000000000012
TQQQ,2117.77,4986.54,42.46972850914662,4,233.0,0.0,1884.77
MDB,2100.4,4984.35,42.139897880365545,8,671.1,764.5799999999999,664.72
ETN,2049.4600000000005,4948.5,41.41578256037184,6,597.75,1629.55,-177.83999999999997
ADBE,2033.85,4928.88,41.26393825777864,11,1099.0,231.65000000000003,703.2
MRVL,2030.4699999999998,4996.12,40.64093736739709,4,247.68,1489.86,292.93
DELL,1963.9300000000003,4994.55,39.321460391827095,7,0.0,1643.12,320.81
MCHP,1910.2600000000002,4989.45,38.285983425026814,13,367.68,-788.9799999999999,2331.56
AMD,1791.43,4988.7,35.90975604866999,9,882.5,398.38,510.55000000000007
BA,1720.9299999999996,4982.5,34.53948820873055,11,268.25,-233.37,1686.0499999999997
WFC,1673.74,4984.070000000001,33.58179158799936,5,201.0,656.02,816.72
AMZN,1667.3300000000002,4980.8,33.47514455509155,5,560.8,1031.68,74.84999999999997
TSM,1620.79,4998.6,32.42487896611051,6,1829.5099999999998,0.0,-208.72000000000006
ORCL,1613.47,4974.01,32.43801279048494,4,650.6,0.0,962.87
SOXL,1566.3,3944.0,39.71348884381339,8,304.0,960.0,302.29999999999995
ADI,1439.6399999999999,4972.5599999999995,28.951686857473817,6,-31.379999999999995,373.88,1097.14
DE,1431.94,4938.96,28.992743411568426,8,294.58,978.16,159.2
UAL,1340.77,4970.54,26.97433276867302,9,-257.0,893.0,704.77
META,1248.2,4842.0,25.7786038826931,2,0.0,0.0,1248.2
MDT,1212.22,4981.87,24.33263011680353,6,29.5,818.25,364.47
GS,1178.8799999999999,4917.0,23.97559487492373,5,640.03,0.0,538.8499999999999
MARA,1137.5,1939.0,58.664259927797836,9,238.5,789.5,109.5
PYPL,1032.24,4996.6,20.65884801665132,8,1101.69,332.82,-402.27
PLTR,1014.22,4881.57,20.776512474470305,2,262.0,0.0,752.22
TXN,932.3300000000002,4980.6900000000005,18.718892362303215,8,475.2300000000001,389.22,67.88000000000005
CMCSA,898.5,3997.9999999999995,22.47373686843422,10,446.5,-182.3,634.3
BLK,837.92,4735.5,17.694435645655158,5,291.69,238.44,307.78999999999996
MS,794.75,4998.75,15.89897474368592,5,308.46,0.0,486.28999999999996
AMAT,782.6999999999998,4996.4,15.66527900088063,7,249.01,997.64,-463.95
DHR,650.1399999999996,4993.2,13.02050789073139,10,444.10999999999984,-251.62,457.6499999999999
IREN,538.0,888.0000000000001,60.58558558558558,6,199.0,387.0,-48.0
INTC,532.3,3861.9999999999995,13.783013982392541,11,0.0,-279.20000000000005,811.5
TSLA,487.27000000000015,4995.639999999999,9.753905405513612,8,564.19,-242.94,166.01999999999998
IBM,433.89,4995.0,8.686486486486485,3,31.59,173.4,228.9
TJX,363.35,4891.25,7.428571428571429,1,0.0,0.0,363.35
CME,288.5,4960.0,5.816532258064516,2,0.0,288.5,0.0
PM,192.10999999999999,4985.7300000000005,3.8531970243073728,3,296.27,0.0,-104.16
MSFT,133.48999999999995,4905.04,2.721486471058339,2,0.0,0.0,133.48999999999995
