entry_price,atm_strike,otm_strike,spread_width,entry_debit,exit_value,cost,max_profit,max_loss,pnl,pnl_pct,reason,bars_held,dte,symbol,entry_time,atr,entry_rsi,entry_close,kc_lower,entry_slope,entry_slope_10,entry_adx,entry_reason,exit_time
212.42,212.42,215.0,2.58,0.84,0.6,83.78,174.01,-83.78,-23.78,-28.4,BARS_STOP,10,3,CIEN,2025-12-16 14:45:00+00:00,1.72,20.3,212.83,216.04,-0.5125,-0.2985,27.2,"RSI=20.3, Close=$212.83 < KC_Lower=$216.04",2025-12-16 17:15:00+00:00
658.37,658.37,665.72,7.35,2.0,7.96,200.0,534.65,-200.0,534.65,267.3,MAX_PROFIT,6,4,APP,2025-10-06 14:15:00+00:00,4.9,22.3,658.35,667.5,-1.3904,-0.2987,20.5,"RSI=22.3, Close=$658.35 < KC_Lower=$667.50",2025-10-06 15:45:00+00:00
269.82,269.82,271.77,1.94,0.63,2.57,63.17,131.19,-63.17,131.19,207.7,MAX_PROFIT,1,7,DASH,2025-10-10 15:30:00+00:00,1.3,21.7,270.67,272.86,-0.3698,-0.1936,32.0,"RSI=21.7, Close=$270.67 < KC_Lower=$272.86",2025-10-10 15:45:00+00:00
270.54,270.54,272.59,2.05,0.67,0.65,66.62,138.36,-66.62,-1.86,-2.8,BARS_STOP,10,7,DASH,2025-10-10 16:00:00+00:00,1.37,21.8,270.39,271.84,-0.4623,-0.2508,34.7,"RSI=21.8, Close=$270.39 < KC_Lower=$271.84",2025-10-10 18:30:00+00:00
268.82,268.82,270.62,1.79,0.58,2.38,58.34,121.16,-58.34,121.16,207.7,MAX_PROFIT,1,4,DASH,2025-10-13 13:30:00+00:00,1.2,24.0,265.95,267.64,-0.3479,-0.236,31.9,"RSI=24.0, Close=$265.95 < KC_Lower=$267.64",2025-10-13 13:45:00+00:00
260.0,260.0,263.31,3.31,1.08,3.85,107.53,223.33,-107.53,223.33,207.7,MAX_PROFIT,3,7,DASH,2025-10-17 13:45:00+00:00,2.21,22.9,258.33,264.08,-0.6027,-0.5607,33.0,"RSI=22.9, Close=$258.33 < KC_Lower=$264.08",2025-10-17 14:30:00+00:00
254.33,254.33,256.55,2.22,0.72,0.71,72.28,150.12,-72.28,-1.56,-2.2,BARS_STOP,10,9,DASH,2025-10-22 14:45:00+00:00,1.48,23.7,254.42,257.81,-0.4606,-0.2033,27.8,"RSI=23.7, Close=$254.42 < KC_Lower=$257.81",2025-10-22 17:15:00+00:00
257.25,257.25,259.52,2.27,0.74,2.88,73.7,153.06,-73.7,153.06,207.7,MAX_PROFIT,1,8,DASH,2025-10-30 15:45:00+00:00,1.51,25.0,256.92,258.68,-0.4057,-0.3632,27.0,"RSI=25.0, Close=$256.92 < KC_Lower=$258.68",2025-10-30 16:00:00+00:00
247.94,247.94,250.17,2.23,0.73,0.69,72.61,150.8,-72.61,-3.58,-4.9,BARS_STOP,10,4,DASH,2025-11-03 15:00:00+00:00,1.49,22.3,247.86,251.74,-0.4868,-0.2525,31.8,"RSI=22.3, Close=$247.86 < KC_Lower=$251.74",2025-11-03 17:30:00+00:00
236.82,236.82,239.14,2.31,0.75,3.01,75.13,156.03,-75.13,156.03,207.7,MAX_PROFIT,1,9,DASH,2025-11-05 14:45:00+00:00,1.54,23.5,236.91,238.1,-0.2479,-0.1596,45.5,"RSI=23.5, Close=$236.91 < KC_Lower=$238.10",2025-11-05 15:00:00+00:00
264.95,264.95,267.23,2.28,0.74,3.02,74.05,153.79,-74.05,153.79,207.7,MAX_PROFIT,1,4,BURL,2025-10-20 15:15:00+00:00,1.52,24.9,265.26,268.51,-0.5354,-0.2988,28.3,"RSI=24.9, Close=$265.26 < KC_Lower=$268.51",2025-10-20 15:30:00+00:00
274.61,274.61,276.11,1.5,0.49,1.58,48.9,101.57,-48.9,101.57,207.7,MAX_PROFIT,5,4,BURL,2025-11-17 19:30:00+00:00,1.0,24.7,274.81,276.79,-0.4258,-0.2831,31.5,"RSI=24.7, Close=$274.81 < KC_Lower=$276.79",2025-11-17 20:45:00+00:00
265.14,265.14,267.21,2.07,0.67,2.64,67.22,139.6,-67.22,139.6,207.7,MAX_PROFIT,3,3,HUM,2025-09-16 14:15:00+00:00,1.38,24.3,265.23,269.55,-0.6124,,98.8,"RSI=24.3, Close=$265.23 < KC_Lower=$269.55",2025-09-16 15:00:00+00:00
260.42,260.42,262.06,1.64,0.53,0.52,53.14,110.37,-53.14,-1.48,-2.8,BARS_STOP,10,7,HUM,2025-09-19 13:45:00+00:00,1.09,18.5,260.36,264.74,-0.3814,-0.197,34.0,"RSI=18.5, Close=$260.36 < KC_Lower=$264.74",2025-09-19 16:15:00+00:00
251.4,251.4,253.08,1.68,0.55,2.21,54.55,113.29,-54.55,113.29,207.7,MAX_PROFIT,7,7,HUM,2025-09-19 18:00:00+00:00,1.12,18.9,251.49,253.18,-0.502,-0.6245,56.7,"RSI=18.9, Close=$251.49 < KC_Lower=$253.18",2025-09-19 19:45:00+00:00
254.89,254.89,256.42,1.53,0.5,1.6,49.88,103.59,-49.88,103.59,207.7,MAX_PROFIT,8,8,HUM,2025-09-25 15:30:00+00:00,1.02,23.1,254.37,257.23,-0.4127,-0.1928,26.9,"RSI=23.1, Close=$254.37 < KC_Lower=$257.23",2025-09-25 17:30:00+00:00
282.6,282.6,285.37,2.77,0.9,1.84,90.18,187.29,-90.18,93.99,104.2,BARS_STOP,10,7,HUM,2025-10-10 13:45:00+00:00,1.85,15.5,282.6,289.14,-0.5857,-0.3527,39.2,"RSI=15.5, Close=$282.60 < KC_Lower=$289.14",2025-10-10 16:15:00+00:00
