symbol,date,entry_time,exit_time,side,entry_price,exit_price,qty,pnl,exit_reason,hold_duration_bars,hold_duration_days,entry_rsi,entry_atr,sl_px,tp_px
NVDA,2025-07-01,2025-07-01 15:15:00+00:00,2025-07-01 16:15:00+00:00,LONG,151.69,153.3827218435297,13,22.00538396588624,TP,4,0.04,16.27110116380308,0.8463609217648508,150.42045861735272,153.3827218435297
NVDA,2025-07-22,2025-07-22 14:15:00+00:00,2025-07-22 15:45:00+00:00,LONG,166.825,168.5758353656306,11,19.259189021936834,TP,6,0.06,22.224695886604223,0.8754176828153165,165.511873475777,168.5758353656306
NVDA,2025-08-01,2025-08-01 13:45:00+00:00,2025-08-01 14:15:00+00:00,LONG,171.82,174.41471143897286,11,28.54182582870152,TP,2,0.02,23.249225596898754,1.2973557194864296,169.87396642077036,174.41471143897286
NVDA,2025-10-13,2025-10-10 19:45:00+00:00,2025-10-13 13:30:00+00:00,LONG,185.095,187.49869284049484,10,24.036928404948412,TP,1,2.74,23.95916644284098,1.2018464202474146,183.29223036962887,187.49869284049484
NVDA,2025-11-06,2025-11-06 15:00:00+00:00,2025-11-06 15:30:00+00:00,LONG,193.55,191.48508940757952,10,-20.64910592420489,SL,2,0.02,18.151910402757267,1.376607061613654,191.48508940757952,196.30321412322732
NVDA,2025-11-06,2025-11-06 15:45:00+00:00,2025-11-06 16:30:00+00:00,LONG,190.5,188.23648922319686,10,-22.635107768031446,SL,3,0.03,15.877279608846564,1.5090071845354205,188.23648922319686,193.51801436907084
AMD,2025-06-13,2025-06-13 14:00:00+00:00,2025-06-13 19:45:00+00:00,LONG,116.17,116.17,17,0.0,EOD,23,0.24,18.75251521142559,0.8852607771158166,114.84210883432628,117.94052155423164
AMD,2025-07-01,2025-07-01 14:15:00+00:00,2025-07-01 14:30:00+00:00,LONG,138.37,137.09575706280634,14,-17.839401120711273,SL,1,0.01,24.518144767604255,0.8494952914624477,137.09575706280634,140.0689905829249
AMD,2025-07-01,2025-07-01 14:45:00+00:00,2025-07-01 15:00:00+00:00,LONG,136.77,135.36639256946057,14,-19.65050402755213,SL,1,0.01,19.500084245707214,0.9357382870262948,135.36639256946057,138.6414765740526
AMD,2025-07-01,2025-07-01 15:15:00+00:00,2025-07-01 16:30:00+00:00,LONG,135.225,137.2072425561984,14,27.751395786777607,TP,5,0.05,15.682772325227361,0.9911212780992016,133.73831808285118,137.2072425561984
AMD,2025-07-07,2025-07-07 15:00:00+00:00,2025-07-07 16:00:00+00:00,LONG,133.91,135.40237858722614,14,20.893300221165987,TP,4,0.04,20.57811491984606,0.7461892936130672,132.7907160595804,135.40237858722614
AMD,2025-08-01,2025-08-01 13:45:00+00:00,2025-08-01 14:15:00+00:00,LONG,168.41,171.56817560178007,11,34.7399316195808,TP,2,0.02,18.87424305861326,1.5790878008900364,166.04136829866493,171.56817560178007
AMD,2025-08-06,2025-08-06 14:00:00+00:00,2025-08-06 14:15:00+00:00,LONG,165.0,162.30990527953546,12,-32.28113664557452,SL,1,0.01,21.932912878522032,1.7933964803097033,162.30990527953546,168.58679296061942
AMD,2025-10-03,2025-10-03 18:15:00+00:00,2025-10-03 19:45:00+00:00,LONG,163.97,164.65,12,8.160000000000082,EOD,6,0.06,22.657730870821524,0.954760319767759,162.53785952034835,165.8795206395355
AMD,2025-10-10,2025-10-10 15:30:00+00:00,2025-10-10 19:45:00+00:00,LONG,216.89,214.75,9,-19.259999999999877,EOD,17,0.18,21.654887786674337,2.5305781060813426,213.09413284087796,221.95115621216266
AMD,2025-10-22,2025-10-22 14:45:00+00:00,2025-10-22 16:30:00+00:00,LONG,230.18,227.55441517959034,8,-21.004678563277366,SL,7,0.07,21.66311643276596,1.7503898802731088,227.55441517959034,233.68077976054622
SOXL,2025-10-10,2025-10-10 16:30:00+00:00,2025-10-10 17:00:00+00:00,LONG,37.28,36.15923489318871,53,-59.40055066099842,SL,2,0.02,17.695368405101718,0.7471767378741957,36.15923489318871,38.77435347574839
SOXL,2025-10-10,2025-10-10 19:30:00+00:00,2025-10-10 19:45:00+00:00,LONG,35.34,34.354720417654136,56,-55.175656611368595,SL,1,0.01,19.893058534253683,0.6568530548972443,34.354720417654136,36.65370610979449
MSTR,2025-05-15,2025-05-15 14:30:00+00:00,2025-05-15 14:45:00+00:00,LONG,404.375,400.4343974968824,4,-15.762410012470355,SL,1,0.01,24.99447398102936,2.627068335411727,400.4343974968824,409.62913667082347
MSTR,2025-05-15,2025-05-15 15:00:00+00:00,2025-05-15 15:45:00+00:00,LONG,399.21,405.469485190659,5,31.297425953295033,TP,3,0.03,20.94670829201283,3.129742595329497,394.5153861070057,405.469485190659
MSTR,2025-07-18,2025-07-18 15:15:00+00:00,2025-07-18 15:30:00+00:00,LONG,433.75,428.949150795371,4,-19.203396818516012,SL,1,0.01,20.950547121976697,3.2005661364193254,428.949150795371,440.15113227283865
