symbol,date,entry_time,exit_time,side,entry_price,exit_price,qty,pnl,exit_reason,hold_duration_bars,hold_duration_days,entry_rsi,entry_atr,sl_px,tp_px
NVDA,2025-11-06,2025-11-06 15:00:00+00:00,2025-11-06 15:30:00+00:00,LONG,193.55,191.48508940757952,10,-20.64910592420489,SL,2,0.02,18.151910402757267,1.376607061613654,191.48508940757952,196.30321412322732
NVDA,2025-11-06,2025-11-06 15:45:00+00:00,2025-11-06 16:30:00+00:00,LONG,190.5,188.23648922319686,10,-22.635107768031446,SL,3,0.03,15.877279608846564,1.5090071845354205,188.23648922319686,193.51801436907084
AMD,2025-06-13,2025-06-13 14:00:00+00:00,2025-06-13 19:45:00+00:00,LONG,116.17,116.17,17,0.0,EOD,23,0.24,18.75251521142559,0.8852607771158166,114.84210883432628,117.94052155423164
AMD,2025-07-01,2025-07-01 14:15:00+00:00,2025-07-01 14:30:00+00:00,LONG,138.37,137.09575706280634,14,-17.839401120711273,SL,1,0.01,24.518144767604255,0.8494952914624477,137.09575706280634,140.0689905829249
AMD,2025-07-01,2025-07-01 14:45:00+00:00,2025-07-01 15:00:00+00:00,LONG,136.77,135.36639256946057,14,-19.65050402755213,SL,1,0.01,19.500084245707214,0.9357382870262948,135.36639256946057,138.6414765740526
AMD,2025-08-06,2025-08-06 14:00:00+00:00,2025-08-06 14:15:00+00:00,LONG,165.0,162.30990527953546,12,-32.28113664557452,SL,1,0.01,21.932912878522032,1.7933964803097033,162.30990527953546,168.58679296061942
AMD,2025-10-10,2025-10-10 15:30:00+00:00,2025-10-10 19:45:00+00:00,LONG,216.89,214.75,9,-19.259999999999877,EOD,17,0.18,21.654887786674337,2.5305781060813426,213.09413284087796,221.95115621216266
AMD,2025-10-22,2025-10-22 14:45:00+00:00,2025-10-22 16:30:00+00:00,LONG,230.18,227.55441517959034,8,-21.004678563277366,SL,7,0.07,21.66311643276596,1.7503898802731088,227.55441517959034,233.68077976054622
SOXL,2025-10-10,2025-10-10 16:30:00+00:00,2025-10-10 17:00:00+00:00,LONG,37.28,36.15923489318871,53,-59.40055066099842,SL,2,0.02,17.695368405101718,0.7471767378741957,36.15923489318871,38.77435347574839
SOXL,2025-10-10,2025-10-10 19:30:00+00:00,2025-10-10 19:45:00+00:00,LONG,35.34,34.354720417654136,56,-55.175656611368595,SL,1,0.01,19.893058534253683,0.6568530548972443,34.354720417654136,36.65370610979449
MSTR,2025-05-15,2025-05-15 14:30:00+00:00,2025-05-15 14:45:00+00:00,LONG,404.375,400.4343974968824,4,-15.762410012470355,SL,1,0.01,24.99447398102936,2.627068335411727,400.4343974968824,409.62913667082347
MSTR,2025-07-18,2025-07-18 15:15:00+00:00,2025-07-18 15:30:00+00:00,LONG,433.75,428.949150795371,4,-19.203396818516012,SL,1,0.01,20.950547121976697,3.2005661364193254,428.949150795371,440.15113227283865
MSTR,2025-07-18,2025-07-18 15:45:00+00:00,2025-07-18 17:30:00+00:00,LONG,431.31,426.2673545123352,4,-20.170581950659198,SL,7,0.07,19.464266725227077,3.361763658443194,426.2673545123352,438.03352731688636
MSTR,2025-07-18,2025-07-18 18:00:00+00:00,2025-07-18 19:45:00+00:00,LONG,425.01,423.3,4,-6.839999999999918,EOD,7,0.07,22.99980808665498,2.991336825966934,420.5229947610496,430.99267365193384
MSTR,2025-10-07,2025-10-07 15:00:00+00:00,2025-10-07 15:30:00+00:00,LONG,338.535,334.2236144673475,5,-21.556927663262684,SL,2,0.02,23.58757014567587,2.874257021768366,334.2236144673475,344.28351404353674
MSTR,2025-10-07,2025-10-07 15:45:00+00:00,2025-10-07 19:45:00+00:00,LONG,332.39,328.31,6,-24.479999999999905,EOD,16,0.17,19.41264446227227,3.1821438326622067,327.61678425100666,338.7542876653244
META,2025-05-16,2025-05-16 13:45:00+00:00,2025-05-16 14:30:00+00:00,LONG,636.425,631.6046679136546,3,-14.460996259036165,SL,3,0.03,21.98246929999378,3.2135547242302334,631.6046679136546,642.8521094484604
META,2025-07-01,2025-07-01 15:15:00+00:00,2025-07-01 19:45:00+00:00,LONG,719.425,719.365,2,-0.11999999999989086,EOD,18,0.19,23.961450474316138,3.254936092292351,714.5425958615614,725.9348721845846
META,2025-08-19,2025-08-19 14:45:00+00:00,2025-08-19 19:45:00+00:00,LONG,753.535,751.685,2,-3.7000000000000455,EOD,20,0.21,22.98351036577789,2.845095765515975,749.267356351726,759.2251915310319
META,2025-12-10,2025-12-10 14:45:00+00:00,2025-12-10 18:00:00+00:00,LONG,649.83,646.5869413696789,3,-9.729175890963347,SL,13,0.14,23.152677978736335,2.1620390868807586,646.5869413696789,654.1540781737616
AMZN,2025-05-15,2025-05-15 14:15:00+00:00,2025-05-15 15:15:00+00:00,LONG,204.885,203.23621856563585,9,-14.83903290927725,SL,4,0.04,20.867911499562638,1.0991876229094317,203.23621856563585,207.08337524581884
AMZN,2025-11-13,2025-11-13 16:45:00+00:00,2025-11-13 19:45:00+00:00,LONG,239.295,237.66993272672948,8,-13.000538186164022,SL,12,0.12,23.76522497386418,1.0833781821803277,237.66993272672948,241.46175636436064
DELL,2025-07-22,2025-07-22 14:15:00+00:00,2025-07-22 19:45:00+00:00,LONG,124.77,124.36,16,-6.559999999999945,EOD,22,0.23,24.312909870290298,0.825840000692765,123.53123999896084,126.42168000138552
DELL,2025-10-03,2025-10-03 18:00:00+00:00,2025-10-03 19:15:00+00:00,LONG,141.885,140.789687654032,14,-15.334372843551762,SL,5,0.05,23.760813615840334,0.7302082306453225,140.789687654032,143.34541646129063
DELL,2025-10-03,2025-10-03 19:30:00+00:00,2025-10-03 19:45:00+00:00,LONG,140.88,140.72,14,-2.2399999999999523,EOD,1,0.01,22.55514764606248,0.6949511934803043,139.83757320977955,142.2699023869606
DELL,2025-12-12,2025-12-12 16:45:00+00:00,2025-12-12 19:15:00+00:00,LONG,132.29,130.6397306984737,15,-24.754039522894402,SL,10,0.1,21.26020755273501,1.100179534350856,130.6397306984737,134.4903590687017
