symbol,date,entry_time,exit_time,side,entry_price,exit_price,qty,pnl,exit_reason,hold_duration_bars,hold_duration_days,entry_rsi,entry_atr,sl_px,tp_px
NVDA,2025-10-13,2025-10-10 19:45:00+00:00,2025-10-13 13:30:00+00:00,LONG,185.095,187.49869284049484,10,24.036928404948412,TP,1,2.74,23.95916644284098,1.2018464202474146,183.29223036962887,187.49869284049484
NVDA,2025-11-04,2025-11-04 15:30:00+00:00,2025-11-04 18:30:00+00:00,LONG,201.65,199.54212717396447,9,-18.970855434319787,SL,12,0.12,29.724846786865115,1.4052485506903474,199.54212717396447,204.4604971013807
NVDA,2025-11-04,2025-11-04 18:45:00+00:00,2025-11-04 20:45:00+00:00,LONG,199.955,198.28957521294967,10,-16.65424787050341,SL,8,0.08,29.1745641046152,1.110283191366889,198.28957521294967,202.1755663827338
NVDA,2025-11-06,2025-11-06 15:00:00+00:00,2025-11-06 15:30:00+00:00,LONG,193.55,191.48508940757952,10,-20.64910592420489,SL,2,0.02,18.151910402757267,1.376607061613654,191.48508940757952,196.30321412322732
AMD,2025-10-03,2025-10-03 18:15:00+00:00,2025-10-03 19:45:00+00:00,LONG,163.97,164.65,12,8.160000000000082,EOD,6,0.06,22.657730870821524,0.954760319767759,162.53785952034835,165.8795206395355
AMD,2025-10-10,2025-10-10 15:15:00+00:00,2025-10-10 15:30:00+00:00,LONG,221.175,217.77137382863785,9,-30.632635542259465,SL,1,0.01,27.01035754480006,2.2690841142414455,217.77137382863785,225.7131682284829
AMD,2025-10-10,2025-10-10 15:45:00+00:00,2025-10-10 19:45:00+00:00,LONG,218.91,214.7777662093867,9,-37.19010411551969,SL,16,0.17,28.61221479967969,2.7548225270755338,214.7777662093867,224.41964505415106
AMD,2025-10-13,2025-10-13 13:30:00+00:00,2025-10-13 13:45:00+00:00,LONG,220.205,223.03,9,25.424999999999898,MeanRev,1,0.01,25.98944280729026,2.1332379042817857,217.00514314357733,224.47147580856358
AMD,2025-10-22,2025-10-22 14:45:00+00:00,2025-10-22 16:30:00+00:00,LONG,230.18,227.55441517959034,8,-21.004678563277366,SL,7,0.07,21.66311643276596,1.7503898802731088,227.55441517959034,233.68077976054622
AMD,2025-10-22,2025-10-22 18:00:00+00:00,2025-10-22 19:30:00+00:00,LONG,226.12,229.7412682590627,8,28.97014607250162,TP,6,0.06,26.700811617035413,1.8106341295313533,223.40404880570298,229.7412682590627
AMD,2025-11-05,2025-11-05 14:45:00+00:00,2025-11-05 15:00:00+00:00,LONG,246.345,250.36337027264364,8,32.14696218114909,TP,1,0.01,25.3135299750291,2.009185136321814,243.33122229551728,250.36337027264364
SOXL,2025-10-10,2025-10-10 16:30:00+00:00,2025-10-10 17:00:00+00:00,LONG,37.28,36.15923489318871,53,-59.40055066099842,SL,2,0.02,17.695368405101718,0.7471767378741957,36.15923489318871,38.77435347574839
SOXL,2025-10-10,2025-10-10 19:30:00+00:00,2025-10-10 19:45:00+00:00,LONG,35.34,34.354720417654136,56,-55.175656611368595,SL,1,0.01,19.893058534253683,0.6568530548972443,34.354720417654136,36.65370610979449
SOXL,2025-12-12,2025-12-12 16:30:00+00:00,2025-12-12 20:15:00+00:00,LONG,42.865,41.58035407861005,46,-59.0937123839378,SL,15,0.16,27.632237873444907,0.8564306142599668,41.58035407861005,44.577861228519936
MSTR,2025-10-07,2025-10-07 14:15:00+00:00,2025-10-07 14:45:00+00:00,LONG,344.75,340.6332228486124,5,-20.583885756938116,SL,2,0.02,29.351484130016587,2.744518100925079,340.6332228486124,350.2390362018502
MSTR,2025-10-07,2025-10-07 15:00:00+00:00,2025-10-07 15:30:00+00:00,LONG,338.535,334.2236144673475,5,-21.556927663262684,SL,2,0.02,23.58757014567587,2.874257021768366,334.2236144673475,344.28351404353674
MSTR,2025-10-07,2025-10-07 15:45:00+00:00,2025-10-07 19:45:00+00:00,LONG,332.39,328.31,6,-24.479999999999905,EOD,16,0.17,19.41264446227227,3.1821438326622067,327.61678425100666,338.7542876653244
META,2025-09-23,2025-09-23 13:30:00+00:00,2025-09-23 13:45:00+00:00,LONG,769.25,766.3273518150114,2,-5.845296369977177,SL,1,0.01,29.418494850638183,1.9484321233257118,766.3273518150114,773.1468642466514
META,2025-09-23,2025-09-23 14:00:00+00:00,2025-09-23 14:15:00+00:00,LONG,759.58,764.3690309065515,2,9.578061813102977,TP,1,0.01,22.180007397510025,2.394515453275742,755.9882268200864,764.3690309065515
META,2025-12-09,2025-12-09 14:45:00+00:00,2025-12-09 18:30:00+00:00,LONG,656.245,658.99,3,8.235000000000014,MeanRev,15,0.16,18.097234654276534,2.2417756003880323,652.882336599418,660.7285512007761
META,2025-12-10,2025-12-10 14:45:00+00:00,2025-12-10 18:00:00+00:00,LONG,649.83,646.5869413696789,3,-9.729175890963347,SL,13,0.14,23.152677978736335,2.1620390868807586,646.5869413696789,654.1540781737616
META,2025-12-10,2025-12-10 18:30:00+00:00,2025-12-10 19:00:00+00:00,LONG,644.74,648.9455845627793,3,12.616753688338008,TP,2,0.02,26.564097096982522,2.102792281389663,641.5858115779155,648.9455845627793
AMZN,2025-09-10,2025-09-10 18:15:00+00:00,2025-09-10 18:45:00+00:00,LONG,230.93,229.69980574747532,8,-9.841554020197464,SL,2,0.02,29.33772629291316,0.8201295016831226,229.69980574747532,232.57025900336626
AMZN,2025-09-10,2025-09-10 19:30:00+00:00,2025-09-10 19:45:00+00:00,LONG,229.65,230.36,8,5.680000000000064,EOD,1,0.01,24.563225266578527,0.7840383342291031,228.47394249865636,231.21807666845822
