symbol,date,entry_time,exit_time,side,entry_price,exit_price,qty,pnl,exit_reason,hold_duration_bars,hold_duration_days,entry_rsi,entry_atr,sl_px,tp_px
NVDA,2025-11-06,2025-11-06 15:00:00+00:00,2025-11-06 15:30:00+00:00,LONG,193.55,191.48508940757952,10,-20.64910592420489,SL,2,0.02,18.151910402757267,1.376607061613654,191.48508940757952,196.30321412322732
NVDA,2025-11-06,2025-11-06 15:45:00+00:00,2025-11-06 16:30:00+00:00,LONG,190.5,188.23648922319686,10,-22.635107768031446,SL,3,0.03,15.877279608846564,1.5090071845354205,188.23648922319686,193.51801436907084
AMD,2025-10-10,2025-10-10 15:30:00+00:00,2025-10-10 19:45:00+00:00,LONG,216.89,214.75,9,-19.259999999999877,EOD,17,0.18,21.654887786674337,2.5305781060813426,213.09413284087796,221.95115621216266
AMD,2025-10-22,2025-10-22 14:45:00+00:00,2025-10-22 16:30:00+00:00,LONG,230.18,227.55441517959034,8,-21.004678563277366,SL,7,0.07,21.66311643276596,1.7503898802731088,227.55441517959034,233.68077976054622
SOXL,2025-10-10,2025-10-10 16:30:00+00:00,2025-10-10 17:00:00+00:00,LONG,37.28,36.15923489318871,53,-59.40055066099842,SL,2,0.02,17.695368405101718,0.7471767378741957,36.15923489318871,38.77435347574839
SOXL,2025-10-10,2025-10-10 19:30:00+00:00,2025-10-10 19:45:00+00:00,LONG,35.34,34.354720417654136,56,-55.175656611368595,SL,1,0.01,19.893058534253683,0.6568530548972443,34.354720417654136,36.65370610979449
MSTR,2025-10-07,2025-10-07 15:00:00+00:00,2025-10-07 15:30:00+00:00,LONG,338.535,334.2236144673475,5,-21.556927663262684,SL,2,0.02,23.58757014567587,2.874257021768366,334.2236144673475,344.28351404353674
MSTR,2025-10-07,2025-10-07 15:45:00+00:00,2025-10-07 19:45:00+00:00,LONG,332.39,328.31,6,-24.479999999999905,EOD,16,0.17,19.41264446227227,3.1821438326622067,327.61678425100666,338.7542876653244
META,2025-12-10,2025-12-10 14:45:00+00:00,2025-12-10 18:00:00+00:00,LONG,649.83,646.5869413696789,3,-9.729175890963347,SL,13,0.14,23.152677978736335,2.1620390868807586,646.5869413696789,654.1540781737616
AMZN,2025-11-13,2025-11-13 16:45:00+00:00,2025-11-13 19:45:00+00:00,LONG,239.295,237.66993272672948,8,-13.000538186164022,SL,12,0.12,23.76522497386418,1.0833781821803277,237.66993272672948,241.46175636436064
DELL,2025-10-03,2025-10-03 18:00:00+00:00,2025-10-03 19:15:00+00:00,LONG,141.885,140.789687654032,14,-15.334372843551762,SL,5,0.05,23.760813615840334,0.7302082306453225,140.789687654032,143.34541646129063
DELL,2025-10-03,2025-10-03 19:30:00+00:00,2025-10-03 19:45:00+00:00,LONG,140.88,140.72,14,-2.2399999999999523,EOD,1,0.01,22.55514764606248,0.6949511934803043,139.83757320977955,142.2699023869606
DELL,2025-12-12,2025-12-12 16:45:00+00:00,2025-12-12 19:15:00+00:00,LONG,132.29,130.6397306984737,15,-24.754039522894402,SL,10,0.1,21.26020755273501,1.100179534350856,130.6397306984737,134.4903590687017
VRT,2025-10-07,2025-10-07 15:15:00+00:00,2025-10-07 15:30:00+00:00,LONG,158.13,156.11814170986443,12,-24.142299481626765,SL,1,0.01,23.819383999369535,1.3412388600903828,156.11814170986443,160.81247772018077
SMH,2025-10-10,2025-10-10 15:45:00+00:00,2025-10-10 16:45:00+00:00,LONG,334.615,331.8272350069226,5,-13.938824965387084,SL,4,0.04,22.134766499027165,1.8585099953849504,331.8272350069226,338.33201999076994
SMH,2025-10-10,2025-10-10 19:00:00+00:00,2025-10-10 19:30:00+00:00,LONG,329.23,326.7564988343196,6,-14.84100699408259,SL,2,0.02,23.620057623116978,1.6490007771203024,326.7564988343196,332.52800155424063
SMH,2025-11-04,2025-11-04 18:30:00+00:00,2025-11-04 20:45:00+00:00,LONG,356.01,353.940213544356,5,-10.34893227821982,SL,9,0.09,24.259478524092756,1.3798576370959796,353.940213544356,358.7697152741919
SMH,2025-12-12,2025-12-12 16:15:00+00:00,2025-12-12 20:45:00+00:00,LONG,356.05,354.04,5,-10.049999999999955,EOD,18,0.19,24.760712662177312,2.1040498629557685,352.89392520556635,360.25809972591156
AVGO,2025-09-17,2025-09-17 14:00:00+00:00,2025-09-17 14:30:00+00:00,LONG,351.67,348.97621539030376,5,-13.468923048481258,SL,2,0.02,20.403377673473884,1.7958564064641642,348.97621539030376,355.26171281292835
AVGO,2025-09-17,2025-09-17 14:45:00+00:00,2025-09-17 15:45:00+00:00,LONG,348.85,346.071590820881,5,-13.892045895595118,SL,4,0.04,16.70780731443533,1.8522727860793604,346.071590820881,352.55454557215876
AVGO,2025-09-17,2025-09-17 16:30:00+00:00,2025-09-17 18:00:00+00:00,LONG,345.74,343.4118070212199,5,-11.640964893900616,SL,6,0.06,16.79419600531665,1.5521286525200637,343.4118070212199,348.8442573050401
APP,2025-10-06,2025-10-06 14:15:00+00:00,2025-10-06 14:30:00+00:00,LONG,658.37,651.0235205523887,3,-22.03943834283382,SL,1,0.01,22.332473350279983,4.897652965074215,651.0235205523887,668.1653059301484
CRWD,2025-10-07,2025-10-07 15:15:00+00:00,2025-10-07 15:30:00+00:00,LONG,483.22,479.6750990648283,4,-14.179603740686844,SL,1,0.01,21.28511947181751,2.3632672901144662,479.6750990648283,487.94653458022896
PLTR,2025-09-17,2025-09-17 14:45:00+00:00,2025-09-17 18:00:00+00:00,LONG,163.98,162.44450547818556,12,-18.425934261773136,SL,13,0.14,22.501670632775685,1.0236630145429493,162.44450547818556,166.02732602908588
PLTR,2025-10-03,2025-10-03 14:30:00+00:00,2025-10-03 17:00:00+00:00,LONG,178.84,176.7744833028331,11,-22.720683668836045,SL,10,0.1,24.450000121148122,1.3770111314446054,176.7744833028331,181.5940222628892
