date,wins,losses,net_pnl,trades,max_capital
2025-08-26,1,2,0.0020308197072154144,3,355.475
2025-08-28,1,0,19.104665323452252,1,1709.7749999999999
2025-08-29,2,7,-17.953512253452118,9,7116.134999999999
2025-09-02,4,4,22.906374638728124,8,7685.19
2025-09-03,2,1,32.79789991944972,3,3794.0399999999986
2025-09-04,1,0,26.50353522135532,1,1923.5999999999988
2025-09-05,3,2,46.410811990437765,5,3798.6099999999988
2025-09-08,1,0,12.02224605263973,1,1737.6599999999987
2025-09-09,0,2,-19.85326144054943,2,3955.8499999999985
2025-09-10,2,1,12.543180084711594,3,3772.9799999999987
2025-09-11,0,1,-5.270077649773157,1,1228.8449999999984
2025-09-12,2,5,-34.20633963457817,7,5711.979999999999
2025-09-16,2,0,42.65038722109779,2,3903.6499999999983
2025-09-17,6,12,-15.709288911553074,18,14712.674999999996
2025-09-19,1,2,12.301217539862563,3,3785.519999999995
2025-09-22,1,0,7.830000000000041,1,1983.5099999999948
2025-09-23,3,5,-11.053023967241387,8,5719.9999999999945
2025-09-24,5,6,28.289323308601354,11,12978.539999999995
2025-09-25,7,1,131.23675174536237,8,10923.294999999995
2025-09-26,2,3,22.465034382855215,5,3955.9249999999956
2025-09-29,2,1,21.430527866988484,3,1992.8399999999951
2025-09-30,1,0,14.265000000000072,1,1972.3499999999954
2025-10-01,1,1,5.72328119609233,2,1864.0649999999953
2025-10-02,0,2,-25.070641203474224,2,1771.2799999999952
2025-10-03,2,5,-33.0151963708885,7,5951.5799999999945
2025-10-06,2,1,34.58995635253689,3,1975.1099999999951
2025-10-07,6,22,-168.44088162906326,28,16319.199999999997
2025-10-08,1,1,5.375549525332644,2,1732.59
2025-10-09,1,2,-6.130716685356191,3,2207.625
2025-10-10,2,19,-315.45153357442456,21,16868.77
2025-10-13,4,2,79.39203423042397,6,5807.745000000004
2025-10-14,3,0,89.8985219515786,3,3778.8000000000047
2025-10-16,1,0,15.408700011430597,1,1902.7750000000044
2025-10-17,3,1,121.46338405795085,4,3134.100000000005
2025-10-20,2,0,40.647057359015946,2,1923.2000000000048
2025-10-21,1,1,-5.93832799052791,2,1719.4750000000047
2025-10-22,6,11,10.005108753642702,17,11413.475000000006
2025-10-23,0,1,-5.909789868088637,1,1880.0600000000052
2025-10-24,0,1,-5.928583336727797,1,1890.9450000000052
2025-10-27,1,1,14.941427007841412,2,1999.2000000000053
2025-10-28,0,2,-18.09102145504744,2,1929.2000000000053
2025-10-29,3,5,-11.718918681089534,8,5804.0400000000045
2025-10-30,2,5,-25.983220584332855,7,5202.950000000004
2025-10-31,5,3,84.29920485204204,8,9420.790000000005
2025-11-04,3,19,-227.4189076512962,22,15066.370000000004
2025-11-05,5,3,79.06266880944776,8,7313.770000000003
2025-11-06,2,3,4.582091563656832,5,5647.260000000004
2025-11-07,3,7,-67.89439282221093,10,7565.955000000004
2025-11-11,2,0,18.72000000000031,2,3795.1800000000026
2025-11-12,1,1,7.009129059808629,2,1988.8400000000029
2025-11-13,4,14,-6.085949651991996,18,9199.155000000002
2025-11-14,6,0,97.69840964712971,6,5736.995000000004
2025-11-17,1,2,-0.0899178519117072,3,1936.4100000000042
2025-11-18,2,2,43.10395759569974,4,3815.440000000004
2025-11-19,0,1,-7.513345054823105,1,1914.4300000000042
2025-11-26,1,1,11.13861548740033,2,1923.840000000004
2025-12-01,1,0,20.159999999999968,1,1855.910000000004
2025-12-02,1,2,2.660961228628423,3,3891.055000000004
2025-12-03,1,0,23.738935911018473,1,1854.4000000000042
2025-12-04,1,2,-1.193040182496702,3,1929.410000000004
2025-12-08,4,4,49.06682986048281,8,6269.700000000004
2025-12-09,0,2,-12.841548946373962,2,1968.7350000000038
2025-12-10,2,1,15.104906858262211,3,3833.970000000004
2025-12-12,8,20,-109.22905654095865,28,20619.199999999997
2025-12-15,3,1,48.40346654229626,4,3555.249999999993
2025-12-16,4,4,37.333262417092556,8,4738.179999999993
2025-12-17,1,5,-46.034377257531276,6,5722.029999999993
