date,wins,losses,net_pnl,trades,max_capital
2025-08-26,0,2,-1.5235510499564953,2,355.475
2025-08-28,1,0,18.87500000000017,1,1709.7749999999999
2025-08-29,3,6,-20.73825486816318,9,7116.134999999999
2025-09-02,4,1,27.994397499468505,5,7685.19
2025-09-03,3,0,53.499999999999886,3,5631.419999999999
2025-09-04,1,0,29.099999999999966,1,1923.5999999999992
2025-09-05,3,2,49.98829090639558,5,5697.109999999999
2025-09-08,1,0,13.139999999999986,1,1737.6599999999987
2025-09-09,0,2,-29.779892160824346,2,3955.8499999999985
2025-09-10,2,1,11.028445979802314,3,3772.9799999999987
2025-09-11,0,1,-7.9051164746599625,1,1228.8449999999984
2025-09-12,2,4,-50.86131614884013,6,5711.979999999999
2025-09-16,2,0,39.35429254888521,2,3903.6499999999987
2025-09-17,5,11,-58.5164843305036,16,14702.4
2025-09-19,1,1,28.750000000000313,2,3791.5200000000004
2025-09-22,1,0,7.830000000000041,1,1983.5100000000002
2025-09-23,2,5,-28.449535950862042,7,5727.700000000001
2025-09-24,5,6,15.111424279484197,11,12983.650000000001
2025-09-25,8,0,190.0434467166675,8,10923.294999999998
2025-09-26,2,2,22.204898140795038,4,3955.9249999999984
2025-09-29,2,1,15.986677100140412,3,3955.289999999998
2025-09-30,1,0,14.265000000000072,1,1972.349999999998
2025-10-01,1,1,8.584921794138495,2,1864.064999999998
2025-10-02,1,1,-16.227245004937913,2,3133.2299999999977
2025-10-03,2,5,-53.18428294993146,7,5951.579999999998
2025-10-06,2,1,48.825884699149015,3,1975.109999999999
2025-10-07,8,20,-204.82522343118814,28,22132.095000000005
2025-10-08,1,1,3.5873754804662212,2,1732.5900000000042
2025-10-09,1,2,-10.744639519794134,3,2207.6250000000045
2025-10-10,2,19,-465.20226838034426,21,17277.06
2025-10-13,4,2,102.87510644005607,6,5807.745000000004
2025-10-14,3,0,108.28349952899703,3,4984.520000000004
2025-10-16,1,0,17.534999999999968,1,1902.7750000000037
2025-10-17,3,0,106.86999999999996,3,5026.210000000004
2025-10-20,2,0,39.27999999999986,2,3784.640000000004
2025-10-21,0,1,-6.374999999999886,1,1719.4750000000038
2025-10-22,5,8,2.6505174077297795,13,13366.075000000004
2025-10-23,0,1,-8.864684802132956,1,1880.0600000000018
2025-10-24,0,1,-8.892875005091696,1,1890.9450000000018
2025-10-27,1,1,18.549439857004472,2,1999.2000000000019
2025-10-28,1,2,-12.336532182571318,3,1929.2000000000019
2025-10-29,3,4,-11.167362080346976,7,5804.040000000001
2025-10-30,2,3,-20.59966687011763,5,5264.210000000001
2025-10-31,6,2,113.08862838982446,8,7509.02
2025-11-04,3,15,-244.78294806934372,18,16947.770000000004
2025-11-05,5,3,99.85689961365009,8,9150.490000000005
2025-11-06,3,3,12.36113829056302,6,7541.680000000006
2025-11-07,1,6,-153.98707402545,7,9505.825000000004
2025-11-11,2,0,18.72000000000031,2,3795.180000000004
2025-11-12,1,5,-61.11883501895818,6,5739.680000000004
2025-11-13,3,9,26.43470826754711,12,9095.725000000002
2025-11-14,4,1,74.38187774053871,5,7699.985000000002
2025-11-17,1,3,-24.302197075512936,4,1995.480000000002
2025-11-18,2,1,46.61988894084243,3,3815.4400000000023
2025-11-19,0,1,-11.270017582234857,1,1914.4300000000023
2025-11-26,0,1,-19.723914588769958,1,1923.3600000000022
2025-12-01,1,0,20.159999999999968,1,1855.9100000000021
2025-12-02,1,2,3.040160503681534,3,3891.055000000002
2025-12-03,1,0,35.60840386652785,1,1854.4000000000024
2025-12-04,0,2,-19.214262766951492,2,1924.6500000000021
2025-12-08,5,3,69.47827885387909,8,6658.060000000001
2025-12-09,1,1,1.980000000000075,2,1968.7350000000015
2025-12-10,2,1,17.26222975488656,3,3833.9700000000016
2025-12-12,6,16,-103.6677373047118,22,24390.43
2025-12-15,4,1,99.7735331044534,5,5361.809999999996
2025-12-16,4,2,65.50692830612104,6,6457.924999999996
2025-12-17,1,5,-57.38511589654641,6,5722.029999999997
