symbol,date,entry_time,exit_time,side,entry_price,exit_price,qty,pnl,exit_reason,hold_duration_bars,hold_duration_days,entry_rsi,entry_atr,sl_px,tp_px
NVDA,2025-10-13,2025-10-10 19:45:00+00:00,2025-10-13 13:30:00+00:00,LONG,185.095,188.70053926074223,10,36.055392607422334,TP,1,2.74,23.95916644284098,1.2018464202474146,183.29223036962887,188.70053926074223
NVDA,2025-11-04,2025-11-04 15:30:00+00:00,2025-11-04 18:30:00+00:00,LONG,201.65,199.54212717396447,9,-18.970855434319787,SL,12,0.12,29.724846786865115,1.4052485506903474,199.54212717396447,205.86574565207104
NVDA,2025-11-04,2025-11-04 18:45:00+00:00,2025-11-04 20:45:00+00:00,LONG,199.955,198.28957521294967,10,-16.65424787050341,SL,8,0.08,29.1745641046152,1.110283191366889,198.28957521294967,203.28584957410067
NVDA,2025-11-06,2025-11-06 15:00:00+00:00,2025-11-06 15:30:00+00:00,LONG,193.55,191.48508940757952,10,-20.64910592420489,SL,2,0.02,18.151910402757267,1.376607061613654,191.48508940757952,197.67982118484096
AMD,2025-10-03,2025-10-03 18:15:00+00:00,2025-10-03 19:45:00+00:00,LONG,163.97,164.65,12,8.160000000000082,EOD,6,0.06,22.657730870821524,0.954760319767759,162.53785952034835,166.83428095930327
AMD,2025-10-10,2025-10-10 15:15:00+00:00,2025-10-10 15:30:00+00:00,LONG,221.175,217.77137382863785,9,-30.632635542259465,SL,1,0.01,27.01035754480006,2.2690841142414455,217.77137382863785,227.98225234272434
AMD,2025-10-10,2025-10-10 15:45:00+00:00,2025-10-10 19:45:00+00:00,LONG,218.91,214.7777662093867,9,-37.19010411551969,SL,16,0.17,28.61221479967969,2.7548225270755338,214.7777662093867,227.1744675812266
AMD,2025-10-13,2025-10-13 13:30:00+00:00,2025-10-13 13:45:00+00:00,LONG,220.205,223.03,9,25.424999999999898,MeanRev,1,0.01,25.98944280729026,2.1332379042817857,217.00514314357733,226.60471371284538
AMD,2025-10-22,2025-10-22 14:45:00+00:00,2025-10-22 16:30:00+00:00,LONG,230.18,227.55441517959034,8,-21.004678563277366,SL,7,0.07,21.66311643276596,1.7503898802731088,227.55441517959034,235.43116964081932
AMD,2025-10-22,2025-10-22 18:00:00+00:00,2025-10-22 19:30:00+00:00,LONG,226.12,229.43,8,26.480000000000018,MeanRev,6,0.06,26.700811617035413,1.8106341295313533,223.40404880570298,231.55190238859407
AMD,2025-11-05,2025-11-05 14:45:00+00:00,2025-11-05 15:00:00+00:00,LONG,246.345,252.37255540896544,8,48.220443271723525,TP,1,0.01,25.3135299750291,2.009185136321814,243.33122229551728,252.37255540896544
SOXL,2025-10-10,2025-10-10 16:30:00+00:00,2025-10-10 17:00:00+00:00,LONG,37.28,36.15923489318871,53,-59.40055066099842,SL,2,0.02,17.695368405101718,0.7471767378741957,36.15923489318871,39.52153021362259
SOXL,2025-10-10,2025-10-10 19:30:00+00:00,2025-10-10 19:45:00+00:00,LONG,35.34,34.354720417654136,56,-55.175656611368595,SL,1,0.01,19.893058534253683,0.6568530548972443,34.354720417654136,37.31055916469174
SOXL,2025-12-12,2025-12-12 16:30:00+00:00,2025-12-12 20:15:00+00:00,LONG,42.865,41.58035407861005,46,-59.0937123839378,SL,15,0.16,27.632237873444907,0.8564306142599668,41.58035407861005,45.4342918427799
MSTR,2025-10-07,2025-10-07 14:15:00+00:00,2025-10-07 14:45:00+00:00,LONG,344.75,340.6332228486124,5,-20.583885756938116,SL,2,0.02,29.351484130016587,2.744518100925079,340.6332228486124,352.98355430277525
MSTR,2025-10-07,2025-10-07 15:00:00+00:00,2025-10-07 15:30:00+00:00,LONG,338.535,334.2236144673475,5,-21.556927663262684,SL,2,0.02,23.58757014567587,2.874257021768366,334.2236144673475,347.1577710653051
MSTR,2025-10-07,2025-10-07 15:45:00+00:00,2025-10-07 19:45:00+00:00,LONG,332.39,328.31,6,-24.479999999999905,EOD,16,0.17,19.41264446227227,3.1821438326622067,327.61678425100666,341.93643149798663
META,2025-09-23,2025-09-23 13:30:00+00:00,2025-09-23 13:45:00+00:00,LONG,769.25,766.3273518150114,2,-5.845296369977177,SL,1,0.01,29.418494850638183,1.9484321233257118,766.3273518150114,775.0952963699772
META,2025-09-23,2025-09-23 14:00:00+00:00,2025-09-23 14:30:00+00:00,LONG,759.58,766.7635463598273,2,14.367092719654465,TP,2,0.02,22.180007397510025,2.394515453275742,755.9882268200864,766.7635463598273
META,2025-12-09,2025-12-09 14:45:00+00:00,2025-12-09 18:30:00+00:00,LONG,656.245,658.99,3,8.235000000000014,MeanRev,15,0.16,18.097234654276534,2.2417756003880323,652.882336599418,662.9703268011641
META,2025-12-10,2025-12-10 14:45:00+00:00,2025-12-10 18:00:00+00:00,LONG,649.83,646.5869413696789,3,-9.729175890963347,SL,13,0.14,23.152677978736335,2.1620390868807586,646.5869413696789,656.3161172606423
META,2025-12-10,2025-12-10 18:30:00+00:00,2025-12-10 19:45:00+00:00,LONG,644.74,649.25,3,13.529999999999973,MeanRev,5,0.05,26.564097096982522,2.102792281389663,641.5858115779155,651.048376844169
AMZN,2025-09-10,2025-09-10 18:15:00+00:00,2025-09-10 18:45:00+00:00,LONG,230.93,229.69980574747532,8,-9.841554020197464,SL,2,0.02,29.33772629291316,0.8201295016831226,229.69980574747532,233.39038850504937
AMZN,2025-09-10,2025-09-10 19:30:00+00:00,2025-09-10 19:45:00+00:00,LONG,229.65,230.36,8,5.680000000000064,EOD,1,0.01,24.563225266578527,0.7840383342291031,228.47394249865636,232.0021150026873
AMZN,2025-09-17,2025-09-17 15:00:00+00:00,2025-09-17 17:30:00+00:00,LONG,230.5,231.56,8,8.480000000000018,MeanRev,10,0.1,28.268463540104477,0.727723166649261,229.4084152500261,232.68316949994778
AMZN,2025-10-31,2025-10-31 13:30:00+00:00,2025-10-31 13:45:00+00:00,LONG,250.2,248.68137601124295,7,-10.630367921299296,SL,1,0.01,28.97072089588677,1.0124159925046958,248.68137601124295,253.23724797751407
AMZN,2025-11-06,2025-11-06 16:15:00+00:00,2025-11-06 16:45:00+00:00,LONG,244.075,242.36204099610467,8,-13.703672031162569,SL,2,0.02,25.49647577730977,1.1419726692635415,242.36204099610467,247.5009180077906
AMZN,2025-11-07,2025-11-07 15:45:00+00:00,2025-11-07 16:30:00+00:00,LONG,240.83,239.0984794530055,8,-13.852164375956136,SL,3,0.03,29.52686592937542,1.1543470313296749,239.0984794530055,244.29304109398905
DELL,2025-10-03,2025-10-03 18:00:00+00:00,2025-10-03 19:15:00+00:00,LONG,141.885,140.789687654032,14,-15.334372843551762,SL,5,0.05,23.760813615840334,0.7302082306453225,140.789687654032,144.07562469193596
DELL,2025-10-03,2025-10-03 19:30:00+00:00,2025-10-03 19:45:00+00:00,LONG,140.88,140.72,14,-2.2399999999999523,EOD,1,0.01,22.55514764606248,0.6949511934803043,139.83757320977955,142.96485358044092
DELL,2025-10-06,2025-10-06 13:30:00+00:00,2025-10-06 13:45:00+00:00,LONG,145.52,147.53040946476793,13,26.13532304198293,TP,1,0.01,24.33730009852475,0.6701364882559772,144.51479526761605,147.53040946476793
DELL,2025-10-13,2025-10-13 13:30:00+00:00,2025-10-13 13:45:00+00:00,LONG,154.76,154.41,12,-4.199999999999932,MeanRev,1,0.01,29.223619749919408,1.1270586163566523,153.069412075465,158.14117584906995
DELL,2025-11-04,2025-11-04 15:15:00+00:00,2025-11-04 19:45:00+00:00,LONG,156.63,154.83191220558302,12,-21.577053533003664,SL,18,0.19,29.34644724663623,1.1987251962779861,154.83191220558302,160.22617558883394
DELL,2025-12-12,2025-12-12 16:45:00+00:00,2025-12-12 19:15:00+00:00,LONG,132.29,130.6397306984737,15,-24.754039522894402,SL,10,0.1,21.26020755273501,1.100179534350856,130.6397306984737,135.59053860305255
VRT,2025-10-07,2025-10-07 15:15:00+00:00,2025-10-07 15:30:00+00:00,LONG,158.13,156.11814170986443,12,-24.142299481626765,SL,1,0.01,23.819383999369535,1.3412388600903828,156.11814170986443,162.15371658027115
VRT,2025-10-07,2025-10-07 15:45:00+00:00,2025-10-07 18:45:00+00:00,LONG,155.635,159.61,12,47.70000000000027,MeanRev,12,0.12,18.08822408043983,1.4242824865065031,153.49857627024025,159.9078474595195
VRT,2025-10-17,2025-10-17 15:00:00+00:00,2025-10-17 17:45:00+00:00,LONG,172.01,174.66,11,29.150000000000063,MeanRev,11,0.11,28.292492952536563,1.5909421095093637,169.62358683573595,176.78282632852807
VRT,2025-10-22,2025-10-22 14:30:00+00:00,2025-10-22 18:30:00+00:00,LONG,166.185,169.52,12,40.020000000000095,MeanRev,16,0.17,23.3245897409101,2.4281609790277408,162.5427585314584,173.46948293708323
VRT,2025-11-04,2025-11-04 15:15:00+00:00,2025-11-04 19:45:00+00:00,LONG,182.91,179.856169470814,10,-30.538305291860013,SL,18,0.19,29.50976975307013,2.0358870194573333,179.856169470814,189.017661058372
SMH,2025-10-07,2025-10-07 15:45:00+00:00,2025-10-07 19:45:00+00:00,LONG,337.93,337.02,5,-4.550000000000125,EOD,16,0.17,26.42493004442848,1.3272838709524502,335.93907419357134,341.91185161285733
SMH,2025-10-10,2025-10-10 15:45:00+00:00,2025-10-10 16:45:00+00:00,LONG,334.615,331.8272350069226,5,-13.938824965387084,SL,4,0.04,22.134766499027165,1.8585099953849504,331.8272350069226,340.19052998615484
SMH,2025-10-10,2025-10-10 18:00:00+00:00,2025-10-10 19:00:00+00:00,LONG,331.515,328.84561007034836,6,-16.016339577909775,SL,4,0.04,28.37679044290212,1.7795932864344257,328.84561007034836,336.85377985930324
SMH,2025-10-22,2025-10-22 14:45:00+00:00,2025-10-22 16:30:00+00:00,LONG,337.88,336.04111980276633,5,-9.194400986168318,SL,7,0.07,16.48596880709198,1.225920131489092,336.04111980276633,341.55776039446727
SMH,2025-10-22,2025-10-22 16:45:00+00:00,2025-10-22 17:30:00+00:00,LONG,336.55,334.18244571076286,5,-11.83777144618574,SL,3,0.03,29.18664444662133,1.5783695261580866,334.18244571076286,341.28510857847425
SMH,2025-11-04,2025-11-04 16:15:00+00:00,2025-11-04 18:00:00+00:00,LONG,358.78,356.30530181372853,5,-12.373490931357196,SL,7,0.07,28.721606292276874,1.6497987908476155,356.30530181372853,363.7293963725428
SMH,2025-12-12,2025-12-12 16:00:00+00:00,2025-12-12 20:15:00+00:00,LONG,357.5,354.49115022137914,5,-15.044248893104282,SL,17,0.18,26.389301118856977,2.0058998524139047,354.49115022137914,363.5176995572417
SMH,2025-12-15,2025-12-12 20:45:00+00:00,2025-12-15 14:30:00+00:00,LONG,353.65,358.3363076138276,5,23.431538069138185,TP,1,2.74,29.78829270163483,1.562102537942537,351.3068461930862,358.3363076138276
AVGO,2025-09-17,2025-09-17 14:00:00+00:00,2025-09-17 14:30:00+00:00,LONG,351.67,348.97621539030376,5,-13.468923048481258,SL,2,0.02,20.403377673473884,1.7958564064641642,348.97621539030376,357.0575692193925
AVGO,2025-09-17,2025-09-17 14:45:00+00:00,2025-09-17 15:45:00+00:00,LONG,348.85,346.071590820881,5,-13.892045895595118,SL,4,0.04,16.70780731443533,1.8522727860793604,346.071590820881,354.4068183582381
AVGO,2025-09-17,2025-09-17 16:30:00+00:00,2025-09-17 18:00:00+00:00,LONG,345.74,343.4118070212199,5,-11.640964893900616,SL,6,0.06,16.79419600531665,1.5521286525200637,343.4118070212199,350.3963859575602
