date,wins,losses,net_pnl,trades,max_capital
2025-11-11,0,1,-0.10999999999997812,1,631.0699999999999
2025-11-12,1,4,-48.33426541102614,5,3714.1399999999994
2025-11-13,7,6,60.735661261881205,13,6422.159999999999
2025-11-14,7,0,106.2621678661688,7,9742.48
2025-11-17,4,5,19.637519957032225,9,3455.0299999999993
2025-11-18,3,5,6.546151999850963,8,3388.519999999999
2025-11-19,2,1,-3.7682949428480015,3,2492.329999999999
2025-11-20,0,1,-9.10798863965897,1,1175.659999999999
2025-11-21,3,2,18.972850108669093,5,1828.249999999999
2025-11-26,2,0,31.79855278500645,2,1923.3599999999988
2025-12-02,1,2,-13.442089925470157,3,1958.599999999999
2025-12-03,3,0,44.731164703754644,3,2464.079999999999
2025-12-04,3,1,10.780455322104842,4,2374.079999999999
2025-12-08,4,2,48.541926548529204,6,4274.499999999999
2025-12-12,2,6,-19.128691512360376,8,7847.91
2025-12-15,1,0,21.858172598128363,1,1726.25
2025-12-16,2,0,19.840423771345797,2,1751.56
2025-12-17,2,2,-2.098394010592358,4,2391.285
