symbol,date,entry_time,exit_time,side,entry_price,exit_price,qty,pnl,exit_reason,hold_duration_bars,hold_duration_days,entry_rsi,entry_atr,sl_px,tp_px
AMD,2025-11-18,2025-11-18 14:45:00+00:00,2025-11-18 15:00:00+00:00,LONG,231.01,227.44177185967314,2,-7.136456280653704,SL,1,0.01,22.722508064072755,2.3788187602179054,227.44177185967314,235.7676375204358
AMD,2025-11-18,2025-11-18 15:15:00+00:00,2025-11-18 16:30:00+00:00,LONG,226.9,232.22979969874314,2,10.65959939748626,TP,5,0.05,18.925233350908584,2.664899849371562,222.90265022594266,232.22979969874314
AMZN,2025-11-13,2025-11-13 16:45:00+00:00,2025-11-13 19:45:00+00:00,LONG,239.295,237.66995415513315,8,-13.00036675893466,SL,12,0.12,23.769127727853245,1.0833638965778858,237.66995415513315,241.46172779315575
AMZN,2025-11-14,2025-11-14 14:45:00+00:00,2025-11-14 15:30:00+00:00,LONG,234.39,236.85773668396004,8,19.74189347168044,TP,3,0.03,24.073535797478485,1.233868341980034,232.53919748702992,236.85773668396004
AMZN,2025-11-17,2025-11-17 14:45:00+00:00,2025-11-17 15:00:00+00:00,LONG,231.88,230.3427654763303,2,-3.0744690473393916,SL,1,0.01,23.041971596397886,1.0248230157798024,230.3427654763303,233.9296460315596
AMZN,2025-11-17,2025-11-17 15:15:00+00:00,2025-11-17 16:15:00+00:00,LONG,229.94,232.2736233639468,2,4.667246727893598,TP,4,0.04,18.18063136152692,1.1668116819733994,228.1897824770399,232.2736233639468
VRT,2025-11-13,2025-11-13 16:00:00+00:00,2025-11-13 20:45:00+00:00,LONG,163.2,163.57,4,1.4800000000000182,EOD,19,0.2,24.942619035921695,2.223829872116806,159.86425519182478,167.6476597442336
SMH,2025-12-12,2025-12-12 16:15:00+00:00,2025-12-12 20:45:00+00:00,LONG,356.05,354.04,5,-10.049999999999955,EOD,18,0.19,24.760712662177312,2.1040498629557685,352.89392520556635,360.25809972591156
AVGO,2025-12-03,2025-12-03 14:45:00+00:00,2025-12-03 15:00:00+00:00,LONG,370.88,375.6277871822037,5,23.738935911018473,TP,1,0.01,17.978188113336387,2.373893591101859,367.3191596133472,375.6277871822037
AVGO,2025-12-12,2025-12-12 15:00:00+00:00,2025-12-12 15:45:00+00:00,LONG,370.245,363.29038074776554,1,-6.954619252234465,SL,3,0.03,17.927010197794615,4.636412834822972,363.29038074776554,379.51782566964596
AVGO,2025-12-12,2025-12-12 16:00:00+00:00,2025-12-12 20:15:00+00:00,LONG,362.22,355.28599944129877,1,-6.934000558701257,SL,17,0.18,16.12416438196614,4.6226670391341855,355.28599944129877,371.46533407826837
CRWD,2025-11-13,2025-11-13 14:45:00+00:00,2025-11-13 15:00:00+00:00,LONG,532.4,538.1485767358464,3,17.24573020753928,TP,1,0.01,17.623818158286213,2.8742883679232087,528.0885674481152,538.1485767358464
CRWD,2025-11-18,2025-11-18 14:45:00+00:00,2025-11-18 15:00:00+00:00,LONG,520.95,517.1524047789253,1,-3.7975952210747437,SL,1,0.01,24.218686639577584,2.5317301473831515,517.1524047789253,526.0134602947663
CRWD,2025-11-18,2025-11-18 15:15:00+00:00,2025-11-18 17:45:00+00:00,LONG,514.5,520.6956366827321,1,6.195636682732129,TP,10,0.1,17.849877169813738,3.0978183413660827,509.8532724879509,520.6956366827321
PLTR,2025-11-12,2025-11-12 15:45:00+00:00,2025-11-12 16:45:00+00:00,LONG,183.26,180.7592589171556,3,-7.502223248533198,SL,4,0.04,24.82650128697857,1.6671607218962718,180.7592589171556,186.59432144379252
GOOGL,2025-12-08,2025-12-08 18:00:00+00:00,2025-12-08 20:45:00+00:00,LONG,312.4,313.8,6,8.400000000000205,MeanRev,11,0.11,23.10102918668899,1.1757075211100898,310.63643871833483,314.7514150422202
GOOGL,2025-12-17,2025-12-17 15:45:00+00:00,2025-12-17 17:15:00+00:00,LONG,297.09,300.3283272241825,2,6.476654448365025,TP,6,0.06,23.769995233072493,1.6191636120912478,294.6612545818631,300.3283272241825
ADBE,2025-12-15,2025-12-15 15:15:00+00:00,2025-12-15 16:15:00+00:00,LONG,345.25,349.6216345196257,5,21.858172598128363,TP,4,0.04,23.68780798581477,2.18581725981284,341.9712741102807,349.6216345196257
QCOM,2025-11-17,2025-11-17 16:15:00+00:00,2025-11-17 19:30:00+00:00,LONG,168.865,167.55661209968014,3,-3.925163700959615,SL,13,0.14,17.598153627785194,0.8722586002132555,167.55661209968014,170.60951720042652
MU,2025-11-18,2025-11-18 14:45:00+00:00,2025-11-18 15:00:00+00:00,LONG,234.795,230.93123690157572,8,-30.910104787394175,SL,1,0.01,22.537454125583167,2.5758420656161767,230.93123690157572,239.94668413123233
MU,2025-11-18,2025-11-18 15:15:00+00:00,2025-11-18 18:00:00+00:00,LONG,229.54,234.34,8,38.40000000000009,MeanRev,11,0.11,18.673192720092004,2.911516883107827,225.17272467533826,235.36303376621564
MU,2025-12-04,2025-12-04 14:45:00+00:00,2025-12-04 15:15:00+00:00,LONG,224.715,228.296670040445,2,7.163340080890009,TP,2,0.02,22.499182514193663,1.7908350202225085,222.02874746966623,228.296670040445
MU,2025-12-12,2025-12-12 15:15:00+00:00,2025-12-12 15:45:00+00:00,LONG,246.495,243.048460858294,8,-27.572313133648095,SL,2,0.02,24.168514654032364,2.297692761137336,243.048460858294,251.0903855222747
MU,2025-12-12,2025-12-12 16:00:00+00:00,2025-12-12 18:00:00+00:00,LONG,242.2,247.09597011386202,8,39.16776091089628,TP,8,0.08,21.30705080701898,2.4479850569310213,238.52802241460347,247.09597011386202
MU,2025-12-16,2025-12-16 14:45:00+00:00,2025-12-16 15:00:00+00:00,LONG,235.04,238.64965741806776,2,7.219314836135538,TP,1,0.01,22.89381223877382,1.804828709033878,232.3327569364492,238.64965741806776
TSM,2025-11-13,2025-11-13 14:45:00+00:00,2025-11-13 15:00:00+00:00,LONG,284.135,286.6051789979178,2,4.940357995835598,TP,1,0.01,17.395565580181497,1.2350894989589112,282.2823657515616,286.6051789979178
TSM,2025-12-12,2025-12-12 15:30:00+00:00,2025-12-12 16:00:00+00:00,LONG,295.675,293.2662690486493,6,-14.452385708104316,SL,2,0.02,23.501493654530123,1.6058206342338082,293.2662690486493,298.88664126846766
WDC,2025-11-13,2025-11-13 14:45:00+00:00,2025-11-13 15:00:00+00:00,LONG,155.675,159.86840148342284,12,50.320817801073986,TP,1,0.01,18.504031589284693,2.0967007417114223,152.52994888743288,159.86840148342284
WDC,2025-11-21,2025-11-20 20:45:00+00:00,2025-11-21 15:00:00+00:00,LONG,138.555,135.73220296006184,4,-11.291188159752664,SL,3,0.76,24.11457202475374,1.8818646932921017,135.73220296006184,142.3187293865842
WDC,2025-11-21,2025-11-21 15:15:00+00:00,2025-11-21 19:00:00+00:00,LONG,135.685,139.225,4,14.159999999999968,MeanRev,15,0.16,23.939097136322232,2.380366058546331,132.1144509121805,140.44573211709266
WDC,2025-12-03,2025-12-03 15:00:00+00:00,2025-12-03 15:30:00+00:00,LONG,152.42,155.95087411780926,4,14.123496471237104,TP,2,0.02,23.25278159931605,1.7654370589046373,149.77184441164303,155.95087411780926
NET,2025-11-12,2025-11-12 15:00:00+00:00,2025-11-12 15:15:00+00:00,LONG,233.0,231.21395701450584,8,-14.288343883953303,SL,1,0.01,24.236914965948728,1.190695323662778,231.21395701450584,235.38139064732556
NET,2025-11-12,2025-11-12 16:00:00+00:00,2025-11-12 16:45:00+00:00,LONG,228.115,225.89364473894474,8,-17.770842088442123,SL,3,0.03,22.006962011489577,1.480903507370173,225.89364473894474,231.07680701474035
NET,2025-11-12,2025-11-12 18:00:00+00:00,2025-11-12 20:45:00+00:00,LONG,225.385,225.89,8,4.039999999999964,EOD,11,0.11,22.626844047149206,1.3198295511472484,223.40525567327913,228.0246591022945
GS,2025-11-13,2025-11-13 20:30:00+00:00,2025-11-13 20:45:00+00:00,LONG,808.0,805.23,2,-5.539999999999964,EOD,1,0.01,24.456211378547053,3.297919995084453,803.0531200073733,814.5958399901689
GS,2025-11-14,2025-11-14 15:15:00+00:00,2025-11-14 15:30:00+00:00,LONG,786.04,796.8862600729417,2,21.692520145883464,TP,1,0.01,24.47159881163141,5.423130036470838,777.9053049452937,796.8862600729417
GS,2025-12-16,2025-12-16 18:00:00+00:00,2025-12-16 18:30:00+00:00,LONG,875.78,882.0905544676051,2,12.621108935210259,TP,2,0.02,24.065733698210607,3.15527723380255,871.0470841492961,882.0905544676051
FSLR,2025-11-14,2025-11-14 14:45:00+00:00,2025-11-14 15:00:00+00:00,LONG,246.3,250.9786301560537,2,9.357260312107371,TP,1,0.01,18.613649226577166,2.339315078026836,242.79102738295975,250.9786301560537
FSLR,2025-12-03,2025-12-03 15:15:00+00:00,2025-12-03 15:30:00+00:00,LONG,253.215,256.64936616074954,2,6.868732321499067,TP,1,0.01,20.227277449662367,1.717183080374778,250.63922537943785,256.64936616074954
MS,2025-11-14,2025-11-14 15:00:00+00:00,2025-11-14 16:30:00+00:00,LONG,162.07,164.00874331541561,4,7.754973261662485,TP,6,0.06,24.3173162985493,0.9693716577078085,160.61594251343828,164.00874331541561
BURL,2025-11-17,2025-11-17 19:30:00+00:00,2025-11-17 19:45:00+00:00,LONG,274.61,273.105281872604,2,-3.0094362547920355,SL,1,0.01,24.68651372349315,1.0031454182640218,273.105281872604,276.61629083652804
BURL,2025-11-17,2025-11-17 20:00:00+00:00,2025-11-17 20:45:00+00:00,LONG,272.425,274.56618954782266,2,4.282379095645297,TP,3,0.03,19.800304497764657,1.0705947739113237,270.81910783913304,274.56618954782266
ZS,2025-11-12,2025-11-12 18:45:00+00:00,2025-11-12 19:30:00+00:00,LONG,318.51,316.3745239683171,6,-12.812856190097477,SL,3,0.03,24.996913872559304,1.4236506877886128,316.3745239683171,321.3573013755772
ZS,2025-11-13,2025-11-13 14:45:00+00:00,2025-11-13 18:00:00+00:00,LONG,312.07,309.6458207677457,2,-4.848358464508578,SL,13,0.14,21.535855841827725,1.6161194881695218,309.6458207677457,315.302238976339
ZS,2025-11-13,2025-11-13 18:45:00+00:00,2025-11-13 20:45:00+00:00,LONG,308.07,308.495,2,0.8500000000000227,EOD,8,0.08,24.88882508232915,1.3793981882131516,306.0009027176803,310.8287963764263
IBM,2025-11-13,2025-11-13 18:00:00+00:00,2025-11-13 18:15:00+00:00,LONG,308.69,306.8235534275536,6,-11.198679434678525,SL,1,0.01,24.419815775833968,1.2442977149642702,306.8235534275536,311.1785954299285
IBM,2025-11-13,2025-11-13 18:30:00+00:00,2025-11-13 20:00:00+00:00,LONG,306.54,304.67072974110494,6,-11.21562155337051,SL,6,0.06,19.21945143836281,1.24618017259674,304.67072974110494,309.0323603451935
IBM,2025-11-13,2025-11-13 20:15:00+00:00,2025-11-13 20:45:00+00:00,LONG,304.97,304.615,6,-2.130000000000109,EOD,2,0.02,20.283239009807787,1.1544500563253188,303.23832491551207,307.27890011265066
IBM,2025-11-14,2025-11-14 14:45:00+00:00,2025-11-14 16:15:00+00:00,LONG,301.86,305.11960865570114,6,19.557651934206774,TP,6,0.06,21.271450298188583,1.6298043278505703,299.4152935082242,305.11960865570114
IBM,2025-11-17,2025-11-17 19:00:00+00:00,2025-11-17 20:30:00+00:00,LONG,298.1,296.5717092791045,2,-3.0565814417910815,SL,6,0.06,23.16983485852454,1.018860480597022,296.5717092791045,300.1377209611941
IBM,2025-11-18,2025-11-17 20:45:00+00:00,2025-11-18 14:30:00+00:00,LONG,297.33,295.8775361043775,2,-2.9049277912449725,SL,1,0.74,22.750873689355345,0.9683092637483243,295.8775361043775,299.26661852749663
IBM,2025-11-18,2025-11-18 15:30:00+00:00,2025-11-18 20:45:00+00:00,LONG,291.95,289.97,2,-3.9599999999999227,EOD,21,0.22,15.562251075920585,1.4947583716325574,289.7078624425512,294.93951674326513
IBM,2025-11-19,2025-11-19 15:15:00+00:00,2025-11-19 17:30:00+00:00,LONG,288.95,290.39,2,2.8799999999999955,MeanRev,9,0.09,23.523120167495975,1.194048907936656,287.158926638095,291.3380978158733
IBM,2025-12-12,2025-12-12 16:30:00+00:00,2025-12-12 17:15:00+00:00,LONG,304.64,306.9511443715719,6,13.86686622943148,TP,3,0.03,23.50869594077733,1.155572185785947,302.9066417213211,306.9511443715719
MDB,2025-11-13,2025-11-13 14:45:00+00:00,2025-11-13 15:00:00+00:00,LONG,352.89,358.2335385812609,5,26.71769290630465,TP,1,0.01,18.076678966148094,2.671769290630456,348.8823460640543,358.2335385812609
MDB,2025-11-17,2025-11-17 19:15:00+00:00,2025-11-17 19:30:00+00:00,LONG,337.66,334.9087931470504,1,-2.751206852949622,SL,1,0.01,24.95850919842158,1.8341379019663961,334.9087931470504,341.3282758039328
MDB,2025-11-17,2025-11-17 19:45:00+00:00,2025-11-17 20:45:00+00:00,LONG,334.34,337.8998908717584,1,3.559890871758398,TP,4,0.04,22.240917254981284,1.7799454358791882,331.6700818461812,337.8998908717584
AMAT,2025-11-13,2025-11-13 19:15:00+00:00,2025-11-13 20:45:00+00:00,LONG,220.74,223.11136285420667,3,7.1140885626199974,TP,6,0.06,23.36034321160693,1.185681427103328,218.96147785934502,223.11136285420667
AMAT,2025-11-21,2025-11-21 14:45:00+00:00,2025-11-21 16:15:00+00:00,LONG,217.53,221.28445244411964,3,11.263357332358908,TP,6,0.06,22.210145763785647,1.8772262220598186,214.71416066691026,221.28445244411964
