date,wins,losses,net_pnl,trades,max_capital
2025-11-04,0,4,-96.3153712443054,4,3789.55
2025-11-06,0,2,-35.315553445451144,2,1925.6
2025-11-07,2,0,5.664999999999964,2,978.265
2025-11-12,1,0,3.2450000000000045,1,428.01
2025-11-13,1,2,-12.433813764462741,3,414.54
2025-11-14,1,0,8.78918023207234,1,390.99
2025-11-18,2,0,16.192776055023955,2,937.1750000000001
2025-11-21,1,0,10.033087429122304,1,386.17
2025-12-08,1,1,-17.89712795253581,2,1779.96
2025-12-24,1,0,14.259999999999991,1,1915.82
2025-12-29,1,1,-8.86849007117712,2,3728.2
2025-12-30,0,1,-17.02507974931973,1,1844.4399999999998
2025-12-31,0,1,-4.186449267585203,1,456.0499999999998
2026-01-02,1,1,-2.4892815695473587,2,443.06999999999977
2026-01-06,1,1,-5.835246237519698,2,438.8699999999998
2026-01-08,2,0,22.321152273257496,2,1850.0999999999997
2026-01-14,1,0,4.380629549254593,1,438.37999999999977
2026-01-29,1,0,6.775323991524317,1,559.2749999999999
