SCAN SUMMARY:
  Total in scan: 553
  Current tickers: 78
  Already in list: 38
  NEW (delta): 515

NEW CANDIDATES (not in current list):
----------------------------------------------------------------------
Symbol    Price   SMA120    SMA22   ATR%  Vol($M)
----------------------------------------------------------------------
GOOG   $ 315.51 $ 248.45 $ 314.65  2.30% $152.23M
LLY    $1076.31 $ 844.91 $1047.18  2.46% $120.84M
BAC    $  56.26 $  50.74 $  54.23  1.63% $119.68M
WBD    $  29.24 $  18.40 $  26.87  3.20% $ 92.96M
XOM    $ 119.34 $ 113.45 $ 117.13  1.76% $ 90.64M
CVNA   $ 441.74 $ 363.12 $ 420.20  4.75% $ 90.52M
BKNG   $5450.04 $5347.54 $5199.89  2.23% $ 79.56M
V      $ 355.11 $ 342.62 $ 338.40  1.53% $ 73.74M
JPM    $ 328.98 $ 303.17 $ 313.75  1.95% $ 71.85M
CSCO   $  78.04 $  71.04 $  77.68  1.81% $ 68.56M
CRM    $ 265.30 $ 249.15 $ 251.01  2.25% $ 67.42M
MRK    $ 106.54 $  87.74 $ 101.36  2.23% $ 66.27M
LRCX   $ 177.31 $ 130.33 $ 162.51  3.77% $ 57.46M
LITE   $ 396.16 $ 187.88 $ 337.51  5.95% $ 56.77M
GE     $ 316.83 $ 287.74 $ 296.21  2.35% $ 54.58M
CRH    $ 127.52 $ 112.49 $ 123.04  2.35% $ 51.47M
JNJ    $ 207.83 $ 184.75 $ 206.68  1.84% $ 51.27M
ACN    $ 269.98 $ 255.48 $ 265.61  1.99% $ 49.11M
APH    $ 137.94 $ 122.03 $ 136.35  2.90% $ 48.83M
TMO    $ 578.83 $ 516.32 $ 576.83  1.67% $ 43.26M
FCX    $  51.95 $  43.02 $  46.07  2.69% $ 42.90M
KLAC   $1276.73 $1051.06 $1210.67  2.90% $ 41.51M
COHR   $ 191.40 $ 123.74 $ 176.81  5.75% $ 40.80M
DIS    $ 114.46 $ 113.63 $ 108.34  1.77% $ 40.08M
GM     $  82.85 $  62.84 $  77.93  1.77% $ 39.44M
STX    $ 285.35 $ 215.13 $ 279.89  5.26% $ 39.25M
ABBV   $ 230.10 $ 216.13 $ 226.43  1.74% $ 38.91M
CEG    $ 363.96 $ 343.64 $ 359.75  4.60% $ 38.38M
B      $  45.44 $  31.34 $  42.33  3.09% $ 37.77M
ARES   $ 169.00 $ 167.88 $ 165.86  3.00% $ 37.42M
CCL    $  31.24 $  28.97 $  27.45  3.53% $ 35.47M
RKLB   $  77.11 $  51.22 $  54.96  7.40% $ 34.42M
HPE    $  24.46 $  22.85 $  23.40  3.64% $ 33.66M
COF    $ 248.28 $ 220.02 $ 232.63  1.72% $ 33.63M
LULU   $ 210.38 $ 188.34 $ 193.65  4.15% $ 33.36M
CIEN   $ 240.03 $ 147.16 $ 213.05  5.16% $ 32.62M
ISRG   $ 577.73 $ 502.77 $ 566.17  1.83% $ 32.42M
RIVN   $  21.14 $  14.50 $  18.20  6.40% $ 31.74M
SLB    $  37.98 $  35.44 $  37.85  2.54% $ 31.60M
AXP    $ 382.99 $ 337.18 $ 372.05  1.84% $ 31.39M
RTX    $ 186.36 $ 164.46 $ 176.02  1.89% $ 30.85M
NEM    $ 104.78 $  80.00 $  95.19  3.30% $ 29.91M
AMGN   $ 333.89 $ 303.05 $ 330.39  1.89% $ 29.73M
CFLT   $  30.15 $  22.39 $  26.92  2.07% $ 29.68M
LUV    $  41.46 $  33.57 $  38.50  3.14% $ 29.35M
DAL    $  70.95 $  59.77 $  67.92  2.36% $ 28.75M
TGT    $  96.44 $  94.94 $  93.64  2.44% $ 28.03M
NXPI   $ 225.16 $ 219.35 $ 219.50  2.40% $ 27.31M
CVS    $  79.11 $  73.69 $  78.26  2.15% $ 27.31M
REGN   $ 784.04 $ 619.70 $ 749.74  2.21% $ 27.03M
GILD   $ 125.68 $ 117.59 $ 123.14  2.18% $ 27.01M
SATS   $ 106.98 $  62.97 $  90.86  6.27% $ 26.74M
VALE   $  13.16 $  11.15 $  12.85  2.33% $ 26.37M
PH     $ 887.71 $ 776.77 $ 872.52  1.58% $ 26.21M
ABNB   $ 136.80 $ 126.32 $ 126.25  2.28% $ 26.14M
ON     $  55.06 $  51.78 $  53.70  2.74% $ 26.12M
VRTX   $ 462.94 $ 422.31 $ 446.48  1.82% $ 25.97M
ASTS   $  78.07 $  59.82 $  68.97 10.30% $ 25.47M
F      $  13.34 $  12.19 $  13.29  1.88% $ 25.11M
DG     $ 135.41 $ 109.58 $ 124.48  3.08% $ 24.33M
ULTA   $ 608.32 $ 530.34 $ 575.26  3.13% $ 23.70M
GLW    $  89.68 $  76.08 $  87.05  3.65% $ 23.59M
AZN    $  92.48 $  81.70 $  91.19  1.52% $ 23.20M
