symbol,date,entry_time,exit_time,side,entry_price,exit_price,qty,pnl,exit_reason,hold_duration_bars,hold_duration_days,entry_rsi,entry_atr,sl_px,tp_px
TSLA,2025-10-22,2025-10-22 15:30:00+00:00,2025-10-22 18:45:00+00:00,LONG,433.28,436.29,1,3.0100000000000477,MeanRev,13,0.14,17.888130122105906,2.664939584495156,426.61765103876206,437.2774093767427
TSLA,2025-10-23,2025-10-23 13:45:00+00:00,2025-10-23 14:00:00+00:00,LONG,419.43,425.38156674037816,1,5.951566740378155,TP,1,0.01,23.781118841654404,3.9677111602521116,409.51072209936973,425.38156674037816
TSLA,2025-11-07,2025-11-07 14:45:00+00:00,2025-11-07 18:45:00+00:00,LONG,429.01,432.77,1,3.759999999999991,MeanRev,16,0.17,24.69444493746242,4.988860074592847,416.5378498135179,436.4932901118893
TSLA,2025-11-13,2025-11-13 14:45:00+00:00,2025-11-13 15:00:00+00:00,LONG,418.575,411.77895723930027,1,-6.79604276069972,SL,1,0.01,23.42347201230716,2.7184171042798853,411.77895723930027,422.65262565641984
TSLA,2025-11-13,2025-11-13 15:15:00+00:00,2025-11-13 15:30:00+00:00,LONG,415.17,407.6033865991926,1,-7.566613400807398,SL,1,0.01,21.137909173499565,3.0266453603229584,407.6033865991926,419.70996804048445
TSLA,2025-11-13,2025-11-13 15:45:00+00:00,2025-11-13 18:30:00+00:00,LONG,406.17,397.5921547717528,1,-8.577845228247213,SL,11,0.11,15.16376595208149,3.431138091298877,397.5921547717528,411.3167071369483
GOOGL,2025-11-07,2025-11-07 15:45:00+00:00,2025-11-07 19:30:00+00:00,LONG,276.75,279.03,7,15.959999999999809,MeanRev,15,0.16,24.77564454374101,1.615246317907224,272.71188420523197,279.17286947686085
GOOGL,2025-11-13,2025-11-13 14:45:00+00:00,2025-11-13 15:00:00+00:00,LONG,277.47,279.5992501785862,7,14.904751250103232,TP,1,0.01,18.01223643945329,1.4195001190574592,273.92124970235636,279.5992501785862
AAPL,2025-10-22,2025-10-22 15:30:00+00:00,2025-10-22 17:30:00+00:00,LONG,258.46,255.9480704535419,7,-17.58350682520654,SL,8,0.08,16.915774234858873,1.004771818583228,255.9480704535419,259.96715772787485
AAPL,2025-10-22,2025-10-22 18:00:00+00:00,2025-10-22 19:30:00+00:00,LONG,256.34,257.8433520818432,7,10.523464572902526,TP,6,0.06,22.79200330769649,1.0022347212288247,253.83441319692793,257.8433520818432
AAPL,2025-11-17,2025-11-17 14:45:00+00:00,2025-11-17 19:45:00+00:00,LONG,269.31,266.59304328999804,7,-19.018696970013764,SL,20,0.21,21.662332380771232,1.0867826840007881,266.59304328999804,270.94017402600116
AAPL,2025-11-17,2025-11-17 20:00:00+00:00,2025-11-17 20:45:00+00:00,LONG,265.83,267.08107609400935,2,2.5021521880187265,TP,3,0.03,23.669192577944955,0.8340507293395846,263.744873176651,267.08107609400935
PLTR,2025-10-22,2025-10-22 15:45:00+00:00,2025-10-22 18:45:00+00:00,LONG,171.47,173.71215825013968,3,6.726474750419044,TP,12,0.12,24.350829454646984,1.4947721667597844,167.73306958310053,173.71215825013968
PLTR,2025-11-04,2025-11-04 14:45:00+00:00,2025-11-04 15:00:00+00:00,LONG,189.88,193.60680222383988,10,37.26802223839883,TP,1,0.01,17.80333350257544,2.484534815893248,183.6686629602669,193.60680222383988
PLTR,2025-11-07,2025-11-07 16:15:00+00:00,2025-11-07 17:15:00+00:00,LONG,169.97,172.8838070423041,3,8.741421126912343,TP,4,0.04,23.18672418010594,1.9425380282027351,165.11365492949315,172.8838070423041
PLTR,2025-11-12,2025-11-12 15:45:00+00:00,2025-11-12 20:30:00+00:00,LONG,183.26,183.32,3,0.18000000000000682,MeanRev,19,0.2,24.87149634201056,1.6682259565814368,179.0894351085464,185.76233893487213
