Asset	Order Type	Side	Qty	Filled Qty	Avg. Fill Price	Status	Source	Submitted At	Filled At	Expires At
DKNG	Limit @ $51.09	sell	56	0	-	expired	access_key	Dec 15, 2025, 12:50:20 PM	-	Dec 15, 2025, 1:00:00 PM
DASH	Limit @ $348.02	sell	8	0	-	expired	access_key	Dec 15, 2025, 12:50:19 PM	-	Dec 15, 2025, 1:00:00 PM
SMCI	Limit @ $60.34	sell	63	0	-	expired	access_key	Dec 15, 2025, 12:50:19 PM	-	Dec 15, 2025, 1:00:00 PM
DASH	Limit @ $242.74	buy	8	8	227.02	filled	access_key	Dec 15, 2025, 12:50:18 PM	Dec 15, 2025, 12:50:19 PM	Dec 15, 2025, 1:00:00 PM
DASH	Stop @ $178.46	sell	8	0	-	canceled	access_key	Dec 15, 2025, 12:50:18 PM	-	Dec 15, 2025, 1:00:00 PM
DKNG	Limit @ $35.96	buy	56	56	35.61	filled	access_key	Dec 15, 2025, 12:50:16 PM	Dec 15, 2025, 12:50:20 PM	Dec 15, 2025, 1:00:00 PM
DKNG	Stop @ $29.35	sell	56	0	-	canceled	access_key	Dec 15, 2025, 12:50:16 PM	-	Dec 15, 2025, 1:00:00 PM
ORCL	Limit @ $329.75	sell	10	0	-	expired	access_key	Dec 15, 2025, 12:50:16 PM	-	Dec 15, 2025, 1:00:00 PM
SMCI	Limit @ $31.70	buy	63	63	31.388412	filled	access_key	Dec 15, 2025, 12:50:15 PM	Dec 15, 2025, 12:50:19 PM	Dec 15, 2025, 1:00:00 PM
SMCI	Stop @ $19.83	sell	63	0	-	canceled	access_key	Dec 15, 2025, 12:50:15 PM	-	Dec 15, 2025, 1:00:00 PM
COIN	Limit @ $457.75	sell	8	0	-	expired	access_key	Dec 15, 2025, 12:50:14 PM	-	Dec 15, 2025, 1:00:00 PM
ORCL	Limit @ $186.32	buy	10	10	184.41	filled	access_key	Dec 15, 2025, 12:50:14 PM	Dec 15, 2025, 12:50:16 PM	Dec 15, 2025, 1:00:00 PM
ORCL	Stop @ $125.97	sell	10	0	-	canceled	access_key	Dec 15, 2025, 12:50:14 PM	-	Dec 15, 2025, 1:00:00 PM
COIN	Limit @ $263.48	buy	8	8	249.28875	filled	access_key	Dec 15, 2025, 12:50:12 PM	Dec 15, 2025, 12:50:14 PM	Dec 15, 2025, 1:00:00 PM
COIN	Stop @ $166.00	sell	8	0	-	canceled	access_key	Dec 15, 2025, 12:50:12 PM	-	Dec 15, 2025, 1:00:00 PM
2-Leg Order	Limit @ $0.37	-	1	1	-0.37	filled	access_key	Dec 15, 2025, 8:47:09 AM	Dec 15, 2025, 8:47:09 AM	Dec 15, 2025, 1:00:00 PM
XOM251219C00117000	Limit @ -	sell	1	1	1.06	filled	access_key	Dec 15, 2025, 8:47:09 AM	Dec 15, 2025, 8:47:09 AM	Dec 15, 2025, 1:00:00 PM
XOM251219C00118000	Limit @ -	buy	1	1	0.69	filled	access_key	Dec 15, 2025, 8:47:09 AM	Dec 15, 2025, 8:47:09 AM	Dec 15, 2025, 1:00:00 PM
2-Leg Order	Limit @ $0.56	-	1	1	0.56	filled	access_key	Dec 15, 2025, 8:32:08 AM	Dec 15, 2025, 8:32:08 AM	Dec 15, 2025, 1:00:00 PM
XOM251219C00117000	Limit @ -	buy	1	1	1.23	filled	access_key	Dec 15, 2025, 8:32:08 AM	Dec 15, 2025, 8:32:08 AM	Dec 15, 2025, 1:00:00 PM
