Asset	Price	Qty	Side	Market Value	Avg Entry	Cost Basis	Today's P/L (%)	Today's P/L ($)	Total P/L (%)
BA	$205.45	9	Long	$1,849.05	$200.02	$1,800.18	0.0052	$9.63	0.0271
CMG260130C00035000	$1.61	2	Long	$322.00	$2.46	$491.00	-45.61%	-$270.00	-34.42%
COIN	$250.44	15	Long	$3,756.60	$252.05	$3,780.71	-0.64%	-$24.11	-0.64%
DASH	$226.98	40	Long	$9,079.20	$226.34	$9,053.60	-0.22%	-$20.40	0.0028
DKNG	$35.57	280	Long	$9,959.60	$35.42	$9,918.69	0.0014	$14.00	0.0041
DKNG260130C00034000	$3.20	2	Long	$640.00	$3.65	$730.00	-12.81%	-$94.00	-12.33%
IBM251219C00307500	$4.55	1	Long	$455.00	$3.80	$380.00	-13.17%	-$69.00	0.1974
IBM251219C00315000	$1.88	-1	Short	-$188.00	$1.35	-$135.00	-	–	-39.26%
META	$646.66	3	Long	$1,939.98	$648.06	$1,944.19	0.0038	$7.29	-0.22%
NVO260130C00049000	$3.40	2	Long	$680.00	$4.03	$805.00	-10.53%	-$80.00	-15.53%
ORCL	$184.15	60	Long	$11,049.00	$188.15	$11,289.19	-3.06%	-$349.20	-2.13%
ORCL260130C00175000	$15.90	1	Long	$1,590.00	$17.55	$1,755.00	-9.40%	-$165.00	-9.40%
RBLX	$86.79	21	Long	$1,822.59	$94.80	$1,990.80	-1.94%	-$36.12	-8.45%
RCL	$287.33	21	Long	$6,033.93	$278.57	$5,849.90	0.0304	$177.87	0.0315
SMCI	$31.38	303	Long	$9,508.14	$32.60	$9,878.31	-2.94%	-$287.85	-3.75%
TSM	$287.80	6	Long	$1,726.80	$293.29	$1,759.72	-1.45%	-$25.44	-1.87%
TXN	$177.80	11	Long	$1,955.80	$177.60	$1,953.60	0.0011	$2.20	0.0011
UBER	$81.65	23	Long	$1,877.95	$83.66	$1,924.18	-4.07%	-$79.58	
