entry_price,atm_strike,otm_strike,spread_width,entry_debit,exit_value,cost,max_profit,max_loss,pnl,pnl_pct,reason,bars_held,dte,symbol,entry_time,atr,entry_rsi,entry_close,kc_lower,entry_slope,entry_adx,entry_reason,exit_time
397.04,397.04,404.3,7.26,2.0,8.78,200.0,526.35,-200.0,526.35,263.2,MAX_PROFIT,1,3,COIN,2025-07-22 14:00:00+00:00,4.84,19.2,397.25,410.24,-1.4148,25.1,"RSI=19.2, Close=$397.25 < KC_Lower=$410.24",2025-07-22 14:15:00+00:00
385.05,385.05,388.26,3.21,1.04,0.99,104.29,216.61,-104.29,-5.14,-4.9,BARS_STOP,10,4,COIN,2025-07-28 14:00:00+00:00,2.14,24.7,384.94,387.81,-0.4875,17.6,"RSI=24.7, Close=$384.94 < KC_Lower=$387.81",2025-07-28 16:30:00+00:00
368.15,368.15,372.21,4.06,1.32,4.03,131.98,274.1,-131.98,270.82,205.2,MAX_PROFIT,6,3,COIN,2025-07-29 15:30:00+00:00,2.71,22.2,366.81,371.58,-0.6999,29.9,"RSI=22.2, Close=$366.81 < KC_Lower=$371.58",2025-07-29 17:00:00+00:00
321.15,321.15,330.29,9.14,2.0,2.89,200.0,714.29,-200.0,88.87,44.4,BARS_STOP,10,7,COIN,2025-08-01 15:00:00+00:00,6.1,16.2,321.27,341.7,-3.85,40.1,"RSI=16.2, Close=$321.27 < KC_Lower=$341.70",2025-08-01 17:30:00+00:00
316.0,316.0,322.26,6.26,2.0,6.13,200.0,425.51,-200.0,412.63,206.3,BARS_STOP,10,7,COIN,2025-08-01 18:00:00+00:00,4.17,23.1,316.09,321.04,-1.4552,59.2,"RSI=23.1, Close=$316.09 < KC_Lower=$321.04",2025-08-04 14:00:00+00:00
301.73,301.73,306.48,4.75,1.54,3.37,154.49,320.86,-154.49,182.26,118.0,BARS_STOP,10,3,COIN,2025-08-05 14:45:00+00:00,3.17,23.8,301.79,307.28,-1.0364,40.0,"RSI=23.8, Close=$301.79 < KC_Lower=$307.28",2025-08-05 17:15:00+00:00
294.22,294.22,297.65,3.43,1.12,3.35,111.63,231.86,-111.63,223.52,200.2,MAX_PROFIT,2,9,COIN,2025-08-06 14:30:00+00:00,2.29,24.9,294.42,296.0,-0.5245,49.7,"RSI=24.9, Close=$294.42 < KC_Lower=$296.00",2025-08-06 15:00:00+00:00
308.61,308.61,311.66,3.05,0.99,4.04,99.25,206.13,-99.25,206.13,207.7,MAX_PROFIT,1,4,COIN,2025-08-18 14:00:00+00:00,2.04,23.5,308.13,313.33,-0.6028,14.8,"RSI=23.5, Close=$308.13 < KC_Lower=$313.33",2025-08-18 14:15:00+00:00
294.13,294.13,297.97,3.84,1.25,4.26,124.75,259.09,-124.75,259.09,207.7,MAX_PROFIT,2,9,COIN,2025-08-20 14:00:00+00:00,2.56,18.5,292.97,299.48,-0.7544,42.1,"RSI=18.5, Close=$292.97 < KC_Lower=$299.48",2025-08-20 14:30:00+00:00
301.92,301.92,304.58,2.67,0.87,2.56,86.65,179.97,-86.65,169.82,196.0,MAX_PROFIT,3,3,COIN,2025-08-26 14:15:00+00:00,1.78,24.9,301.54,304.52,-0.6975,38.8,"RSI=24.9, Close=$301.54 < KC_Lower=$304.52",2025-08-26 15:00:00+00:00
212.42,212.42,215.0,2.58,0.84,0.35,83.78,174.01,-83.78,-48.29,-57.6,BARS_STOP,10,3,CIEN,2025-12-16 14:45:00+00:00,1.72,20.3,212.83,216.04,-0.5125,27.2,"RSI=20.3, Close=$212.83 < KC_Lower=$216.04",2025-12-16 17:15:00+00:00
658.37,658.37,665.72,7.35,2.0,7.96,200.0,534.65,-200.0,534.65,267.3,MAX_PROFIT,6,4,APP,2025-10-06 14:15:00+00:00,4.9,22.3,658.35,667.5,-1.3904,20.5,"RSI=22.3, Close=$658.35 < KC_Lower=$667.50",2025-10-06 15:45:00+00:00
266.9,266.9,269.05,2.15,0.7,2.14,69.79,144.95,-69.79,144.42,206.9,MAX_PROFIT,3,7,BURL,2025-08-01 13:45:00+00:00,1.43,16.9,267.17,271.06,-0.3751,56.4,"RSI=16.9, Close=$267.17 < KC_Lower=$271.06",2025-08-01 14:30:00+00:00
283.43,283.43,286.44,3.01,0.98,3.76,97.9,203.34,-97.9,203.34,207.7,MAX_PROFIT,5,7,BURL,2025-08-29 15:00:00+00:00,2.01,24.5,282.54,288.32,-0.996,32.9,"RSI=24.5, Close=$282.54 < KC_Lower=$288.32",2025-08-29 16:15:00+00:00
