entry_price,atm_strike,otm_strike,spread_width,entry_debit,exit_value,cost,max_profit,max_loss,pnl,pnl_pct,reason,bars_held,dte,symbol,entry_time,atr,entry_rsi,entry_close,kc_lower,entry_slope,entry_adx,entry_reason,exit_time
532.4,532.4,536.71,4.31,1.4,5.71,140.13,291.04,-140.13,291.04,207.7,MAX_PROFIT,1,8,CRWD,2025-11-13 14:45:00+00:00,2.87,17.6,531.35,541.48,-0.7698,13.9,"RSI=17.6, Close=$531.35 < KC_Lower=$541.48",2025-11-13 15:00:00+00:00
520.95,520.95,524.75,3.8,1.23,1.15,123.42,256.34,-123.42,-8.18,-6.6,BARS_STOP,10,3,CRWD,2025-11-18 14:45:00+00:00,2.53,24.2,521.15,526.26,-0.6111,27.0,"RSI=24.2, Close=$521.15 < KC_Lower=$526.26",2025-11-18 17:15:00+00:00
264.82,264.82,268.23,3.41,1.11,1.03,110.82,230.15,-110.82,-7.35,-6.6,BARS_STOP,10,3,RCL,2025-11-04 16:15:00+00:00,2.27,23.0,264.76,268.4,-1.0597,48.0,"RSI=23.0, Close=$264.76 < KC_Lower=$268.40",2025-11-04 18:45:00+00:00
196.48,196.48,198.18,1.7,0.55,0.54,55.33,114.92,-55.33,-1.35,-2.4,BARS_STOP,10,8,NVDA,2025-11-06 14:30:00+00:00,1.13,21.5,195.18,197.95,-0.3204,17.1,"RSI=21.5, Close=$195.18 < KC_Lower=$197.95",2025-11-06 17:00:00+00:00
183.19,183.19,185.85,2.66,0.87,0.84,86.6,179.86,-86.6,-2.41,-2.8,BARS_STOP,10,7,NVDA,2025-11-07 14:45:00+00:00,1.78,22.1,183.18,186.0,-0.3719,47.7,"RSI=22.1, Close=$183.18 < KC_Lower=$186.00",2025-11-07 17:15:00+00:00
143.66,143.66,146.46,2.8,0.91,3.13,91.07,189.15,-91.07,189.15,207.7,MAX_PROFIT,1,9,ANET,2025-11-05 15:30:00+00:00,1.87,18.1,143.62,147.02,-0.8949,35.8,"RSI=18.1, Close=$143.62 < KC_Lower=$147.02",2025-11-05 15:45:00+00:00
144.27,144.27,146.99,2.72,0.89,0.87,88.51,183.82,-88.51,-1.91,-2.2,BARS_STOP,10,9,ANET,2025-11-05 16:00:00+00:00,1.82,24.2,144.37,146.01,-0.6248,38.0,"RSI=24.2, Close=$144.37 < KC_Lower=$146.01",2025-11-05 18:30:00+00:00
138.01,138.01,140.22,2.21,0.72,0.7,71.67,148.85,-71.67,-1.74,-2.4,BARS_STOP,10,8,ANET,2025-11-06 14:45:00+00:00,1.47,22.9,137.84,139.71,-0.3415,47.6,"RSI=22.9, Close=$137.84 < KC_Lower=$139.71",2025-11-06 17:15:00+00:00
127.69,127.69,128.91,1.22,0.4,0.37,39.57,82.18,-39.57,-2.62,-6.6,BARS_STOP,10,3,ANET,2025-11-17 18:00:00+00:00,0.81,22.9,127.68,128.37,-0.2234,38.3,"RSI=22.9, Close=$127.68 < KC_Lower=$128.37",2025-11-17 20:30:00+00:00
169.35,169.35,170.79,1.44,0.47,1.86,46.96,97.53,-46.96,97.53,207.7,MAX_PROFIT,7,7,BABA,2025-10-31 13:45:00+00:00,0.96,21.4,169.32,172.53,-0.2536,99.4,"RSI=21.4, Close=$169.32 < KC_Lower=$172.53",2025-10-31 15:30:00+00:00
