symbol,date,entry_time,exit_time,side,entry_price,exit_price,qty,pnl,exit_reason,hold_duration_bars,hold_duration_days,entry_rsi,entry_atr,sl_px,tp_px
SOXL,2025-12-12,2025-12-12 16:15:00+00:00,2025-12-12 18:00:00+00:00,LONG,42.47,43.769234069189174,47,61.06400125189125,TP,7,0.07,24.509037978989113,0.8661560461261179,41.17076593081082,43.769234069189174
META,2025-12-09,2025-12-09 14:45:00+00:00,2025-12-09 18:30:00+00:00,LONG,656.245,659.607663400582,3,10.087990201746152,TP,15,0.16,18.097234654276534,2.2417756003880323,652.882336599418,659.607663400582
META,2025-12-10,2025-12-10 14:45:00+00:00,2025-12-10 16:45:00+00:00,LONG,649.83,653.0730586303212,3,9.729175890963347,TP,8,0.08,23.152677978736335,2.1620390868807586,646.5869413696789,653.0730586303212
DELL,2025-12-12,2025-12-12 16:30:00+00:00,2025-12-12 19:15:00+00:00,LONG,132.705,131.07605613681787,15,-24.43415794773216,SL,11,0.11,23.32406845530916,1.0859625754547682,131.07605613681787,134.33394386318216
VRT,2025-12-09,2025-12-09 15:00:00+00:00,2025-12-09 15:45:00+00:00,LONG,176.81,179.62857803399268,11,31.004358373919473,TP,3,0.03,24.842007631017736,1.8790520226617806,173.99142196600732,179.62857803399268
SMH,2025-12-12,2025-12-12 16:15:00+00:00,2025-12-12 18:00:00+00:00,LONG,356.05,359.2060747944337,5,15.78037397216832,TP,7,0.07,24.760712662177312,2.1040498629557685,352.89392520556635,359.2060747944337
AVGO,2025-12-03,2025-12-03 14:45:00+00:00,2025-12-03 15:00:00+00:00,LONG,370.88,374.4408403866528,5,17.804201933263926,TP,1,0.01,17.97818811333653,2.373893591101854,367.3191596133472,374.4408403866528
GOOGL,2025-12-08,2025-12-08 18:00:00+00:00,2025-12-08 20:45:00+00:00,LONG,312.4,313.8,6,8.400000000000205,MeanRev,11,0.11,23.10102918668899,1.1757075211100898,310.63643871833483,314.1635612816651
ADBE,2025-12-15,2025-12-15 15:15:00+00:00,2025-12-15 15:45:00+00:00,LONG,345.25,348.5287258897193,5,16.393629448596414,TP,2,0.02,23.68780798581477,2.18581725981284,341.9712741102807,348.5287258897193
MU,2025-12-12,2025-12-12 15:15:00+00:00,2025-12-12 15:45:00+00:00,LONG,246.495,243.048460858294,8,-27.572313133648095,SL,2,0.02,24.168514654032364,2.297692761137336,243.048460858294,249.94153914170602
MU,2025-12-12,2025-12-12 16:00:00+00:00,2025-12-12 17:15:00+00:00,LONG,242.2,245.8719775853965,8,29.37582068317215,TP,5,0.05,21.30705080701898,2.4479850569310213,238.52802241460347,245.8719775853965
MU,2025-12-16,2025-12-16 14:45:00+00:00,2025-12-16 15:00:00+00:00,LONG,235.04,237.7472430635508,2,5.414486127101611,TP,1,0.01,22.89381223877382,1.804828709033878,232.3327569364492,237.7472430635508
TSM,2025-12-12,2025-12-12 15:30:00+00:00,2025-12-12 16:00:00+00:00,LONG,295.675,293.2662690486493,6,-14.452385708104316,SL,2,0.02,23.501493654530123,1.6058206342338082,293.2662690486493,298.08373095135073
TSM,2025-12-12,2025-12-12 16:15:00+00:00,2025-12-12 18:00:00+00:00,LONG,293.38,296.0705746720545,6,16.143448032326887,TP,7,0.07,24.031764491106728,1.7937164480363232,290.6894253279455,296.0705746720545
CRWV,2025-12-08,2025-12-08 15:30:00+00:00,2025-12-08 16:00:00+00:00,LONG,82.065,80.32333780793566,8,-13.933297536514715,SL,2,0.02,24.864365369397447,1.1611081280428932,80.32333780793566,83.80666219206434
CRWV,2025-12-08,2025-12-08 16:15:00+00:00,2025-12-08 16:30:00+00:00,LONG,80.77,82.47851014430223,8,13.668081154417905,TP,1,0.01,23.96889129475106,1.139006762868161,79.06148985569776,82.47851014430223
CRWV,2025-12-11,2025-12-11 15:00:00+00:00,2025-12-11 15:15:00+00:00,LONG,81.98,84.27392392504638,24,55.054174201112914,TP,1,0.01,24.348055867798976,1.5292826166975857,79.68607607495363,84.27392392504638
CRWV,2025-12-12,2025-12-12 16:15:00+00:00,2025-12-12 16:30:00+00:00,LONG,79.86,77.86086630907627,25,-49.97834227309319,SL,1,0.01,21.3516895555163,1.3327557939491501,77.86086630907627,81.85913369092373
GS,2025-12-16,2025-12-16 18:00:00+00:00,2025-12-16 18:30:00+00:00,LONG,875.78,880.5129158507038,2,9.465831701407751,TP,2,0.02,24.065733698210607,3.15527723380255,871.0470841492961,880.5129158507038
EBAY,2025-12-15,2025-12-15 15:15:00+00:00,2025-12-15 15:30:00+00:00,LONG,82.505,83.19056058364862,8,5.484484669188987,TP,1,0.01,23.60503203933753,0.45704038909908673,81.81943941635137,83.19056058364862
IBM,2025-12-12,2025-12-12 16:30:00+00:00,2025-12-12 17:15:00+00:00,LONG,304.64,306.3733582786789,6,10.40014967207344,TP,3,0.03,23.50869594077733,1.155572185785947,302.9066417213211,306.3733582786789
HLT,2025-12-02,2025-12-02 14:45:00+00:00,2025-12-02 15:15:00+00:00,LONG,279.82,278.6187572740825,7,-8.40869908142247,SL,2,0.02,19.23655939622455,0.8008284839450148,278.6187572740825,281.0212427259175
HLT,2025-12-04,2025-12-04 15:00:00+00:00,2025-12-04 15:30:00+00:00,LONG,274.95,276.2545539979017,7,9.131877985312144,TP,2,0.02,18.44115593783313,0.8697026652678193,273.64544600209825,276.2545539979017
HLT,2025-12-04,2025-12-04 16:00:00+00:00,2025-12-04 18:00:00+00:00,LONG,274.53,273.1173254182093,7,-9.888722072534676,SL,8,0.08,23.75220706420471,0.9417830545271287,273.1173254182093,275.94267458179064
CME,2025-12-02,2025-12-02 15:00:00+00:00,2025-12-02 16:00:00+00:00,LONG,276.87,275.90063922761993,7,-6.785525406660497,SL,4,0.04,22.70680231226632,0.6462405149200338,275.90063922761993,277.8393607723801
DE,2025-11-26,2025-11-26 14:45:00+00:00,2025-11-26 15:00:00+00:00,LONG,476.21,480.736246235438,4,18.104984941752036,TP,1,0.01,15.105741497729298,3.0174974902920217,471.68375376456197,480.736246235438
TSLA,2025-12-08,2025-12-08 15:00:00+00:00,2025-12-08 15:30:00+00:00,LONG,444.99,441.75943080711966,4,-12.92227677152141,SL,2,0.02,23.8995328219021,2.1537127952535737,441.75943080711966,448.22056919288036
TSLA,2025-12-08,2025-12-08 15:45:00+00:00,2025-12-08 16:00:00+00:00,LONG,441.715,438.35499070088986,4,-13.440037196440471,SL,1,0.01,19.013299723321865,2.2400061994067473,438.35499070088986,445.0750092991101
TSLA,2025-12-08,2025-12-08 16:15:00+00:00,2025-12-08 20:45:00+00:00,LONG,438.68,439.59,4,3.6399999999998727,MeanRev,18,0.19,15.793112215898404,2.244035957651737,435.3139460635224,442.0460539364776
MRVL,2025-12-08,2025-12-08 14:45:00+00:00,2025-12-08 16:00:00+00:00,LONG,90.9,88.97763193857858,22,-42.29209735127131,SL,5,0.05,16.043457873303595,1.2815787076142784,88.97763193857858,92.82236806142143
MRVL,2025-12-08,2025-12-08 16:15:00+00:00,2025-12-08 17:15:00+00:00,LONG,89.9,91.67880126745945,22,39.13362788410774,TP,4,0.04,19.56535556287099,1.1858675116396258,88.12119873254056,91.67880126745945
TER,2025-12-12,2025-12-12 16:15:00+00:00,2025-12-12 18:15:00+00:00,LONG,194.0,196.42826773476048,10,24.282677347604817,TP,8,0.08,24.609655008445245,1.6188451565069863,191.57173226523952,196.42826773476048
BA,2025-12-09,2025-12-09 18:00:00+00:00,2025-12-09 18:30:00+00:00,LONG,201.32,200.256795324989,9,-9.568842075098814,SL,2,0.02,24.2327340816269,0.7088031166739909,200.256795324989,202.38320467501097
BA,2025-12-09,2025-12-09 18:45:00+00:00,2025-12-09 20:45:00+00:00,LONG,200.435,200.275,9,-1.4399999999999693,EOD,8,0.08,19.815304963850707,0.7010387927597507,199.38344181086038,201.48655818913963
