symbol,date,entry_time,exit_time,side,entry_price,exit_price,qty,pnl,exit_reason,hold_duration_bars,hold_duration_days,entry_rsi,entry_atr,sl_px,tp_px
SOXL,2025-12-12,2025-12-12 15:30:00+00:00,2025-12-12 16:00:00+00:00,LONG,43.875,42.732888809351344,45,-51.39500357918951,SL,2,0.02,27.35366283937526,0.7614074604324379,42.732888809351344,45.77851865108109
SOXL,2025-12-12,2025-12-12 16:15:00+00:00,2025-12-12 20:30:00+00:00,LONG,42.47,41.17076593081082,47,-61.06400125189125,SL,17,0.18,24.509037978989113,0.8661560461261179,41.17076593081082,44.635390115315296
META,2025-12-10,2025-12-10 14:45:00+00:00,2025-12-10 18:00:00+00:00,LONG,649.83,646.5869413696789,3,-9.729175890963347,SL,13,0.14,23.152677978736335,2.1620390868807586,646.5869413696789,655.2350977172019
DELL,2025-12-12,2025-12-12 16:00:00+00:00,2025-12-12 16:15:00+00:00,LONG,135.31,133.87986392198994,14,-20.021905092140912,SL,1,0.01,29.76810531964695,0.9534240520067108,133.87986392198994,137.69356013001678
DELL,2025-12-12,2025-12-12 16:30:00+00:00,2025-12-12 19:15:00+00:00,LONG,132.705,131.07605613681787,15,-24.43415794773216,SL,11,0.11,23.32406845530916,1.0859625754547682,131.07605613681787,135.41990643863693
SMH,2025-12-12,2025-12-12 15:30:00+00:00,2025-12-12 16:00:00+00:00,LONG,359.36,356.5920440437297,5,-13.839779781351638,SL,2,0.02,27.215478603248926,1.8453039708468961,356.5920440437297,363.9732599271172
SMH,2025-12-12,2025-12-12 16:15:00+00:00,2025-12-12 20:45:00+00:00,LONG,356.05,354.04,5,-10.049999999999955,EOD,18,0.19,24.760712662177312,2.1040498629557685,352.89392520556635,361.31012465738945
APP,2025-12-12,2025-12-12 15:30:00+00:00,2025-12-12 16:00:00+00:00,LONG,686.24,676.2602314730938,2,-19.959537053812483,SL,2,0.02,26.38534518433329,6.653179017937498,676.2602314730938,702.8729475448438
APP,2025-12-12,2025-12-12 16:15:00+00:00,2025-12-12 20:45:00+00:00,LONG,677.95,670.545,2,-14.810000000000173,EOD,18,0.19,28.014001127179924,7.5068237253676005,666.6897644119487,696.7170593134191
PLTR,2025-12-12,2025-12-12 15:30:00+00:00,2025-12-12 16:15:00+00:00,LONG,180.755,178.58943378356895,11,-23.821228380741502,SL,3,0.03,28.693306304225118,1.443710810954023,178.58943378356895,184.36427702738504
GOOGL,2025-12-08,2025-12-08 16:30:00+00:00,2025-12-08 17:00:00+00:00,LONG,315.05,313.3296458284337,6,-10.322125029397967,SL,2,0.02,28.99536907888647,1.1469027810442085,313.3296458284337,317.91725695261056
GOOGL,2025-12-12,2025-12-12 15:30:00+00:00,2025-12-12 16:00:00+00:00,LONG,308.285,305.94647065734955,6,-14.031176055902847,SL,2,0.02,28.29164803852234,1.559019561766985,305.94647065734955,312.1825489044175
