date,wins,losses,net_pnl,trades,max_capital
2025-07-09,3,1,5.733595085350146,4,1208.06
2025-07-10,2,4,-9.778051718195513,6,1668.2549999999999
2025-07-11,2,0,20.503293271260418,2,3839.08
2025-07-14,3,0,29.34700428415158,3,5597.849999999999
2025-07-15,3,1,24.11493846892482,4,3908.1
2025-07-16,3,5,-10.089493880668556,8,9417.97
2025-07-17,1,0,7.6189082443681855,1,1898.8199999999997
2025-07-18,1,3,-54.680624590752814,4,3677.4599999999996
2025-07-21,1,0,9.83839039116333,1,1874.6749999999993
2025-07-22,15,7,185.2091942039209,22,26906.315
2025-07-23,4,3,30.815130488413743,7,7385.324999999994
2025-07-25,1,0,8.559999999999945,1,1847.4799999999943
2025-07-28,0,4,-52.174216254656244,4,3860.2149999999942
2025-07-29,1,1,-12.563852233429827,2,3777.974999999994
2025-07-30,1,0,13.959198719703465,1,1962.289999999994
2025-07-31,1,5,-41.57518046425025,6,5643.1599999999935
2025-08-01,13,7,178.21342354347945,20,22520.429999999993
2025-08-05,2,1,37.546280359924026,3,3467.9399999999905
2025-08-06,1,4,-42.712917813215256,5,5531.599999999991
2025-08-07,5,4,10.243992652298886,9,7252.999999999992
2025-08-11,0,1,-8.640000000000072,1,1817.9099999999912
2025-08-12,1,0,19.01897204384207,1,1870.6599999999912
2025-08-13,2,7,-148.1474264478602,9,7605.079999999992
2025-08-14,7,1,78.75972527691593,8,7567.289999999991
2025-08-15,6,1,92.11502977720264,7,5045.999999999991
2025-08-18,4,4,-10.339794268178423,8,4889.299999999992
2025-08-19,5,6,-3.255132977797359,11,8059.709999999992
2025-08-20,5,3,40.74628799941533,8,9440.269999999993
2025-08-21,1,5,-63.28042399687672,6,3873.599999999994
2025-08-22,1,1,0.9871452901578266,2,1882.209999999994
2025-08-25,0,1,-9.752933892901126,1,1858.669999999994
2025-08-26,1,2,-6.131429922655229,3,1793.8999999999937
2025-08-27,2,0,10.281250969654224,2,1772.574999999994
2025-08-28,1,0,14.32849899268291,1,1709.7749999999937
2025-08-29,6,9,-22.538868961269984,15,13683.919999999995
2025-09-02,4,3,7.184891312074058,7,7677.029999999996
2025-09-03,2,1,17.889264308645238,3,5643.899999999996
2025-09-04,1,0,19.849009217248863,1,1926.899999999996
2025-09-05,4,3,15.410365720908558,7,5711.584999999996
2025-09-08,1,0,9.016684539479797,1,1737.6599999999962
2025-09-09,0,4,-51.08235290537277,4,3981.9299999999957
2025-09-10,3,1,18.85100326750586,4,3772.979999999996
2025-09-11,0,1,-7.9051164746599625,1,1228.8449999999957
2025-09-12,1,5,-104.2983385153409,6,7577.219999999996
2025-09-16,4,0,69.91799568245864,4,3901.129999999996
2025-09-17,8,12,-49.07519754713783,20,13203.824999999997
2025-09-18,1,0,33.42872077335949,1,1891.3699999999992
2025-09-19,1,1,17.05488705379844,2,3795.579999999999
2025-09-22,2,0,40.14735846751785,2,1985.6199999999992
2025-09-23,3,5,8.097936849606612,8,5727.699999999999
2025-09-24,6,5,-1.9963192351024759,11,12993.779999999997
2025-09-25,18,0,304.36078343397196,18,23656.534999999996
2025-09-26,1,2,-37.39934126702502,3,3959.555000000001
2025-09-29,2,1,18.997057350171303,3,3935.160000000001
2025-09-30,3,1,39.995942694717826,4,5748.050000000001
2025-10-01,1,1,1.379437691422936,2,1862.630000000001
2025-10-02,1,1,-5.0885282046642715,2,1771.280000000001
2025-10-03,2,5,-47.3634160969271,7,5955.09
2025-10-06,3,1,29.578421978049107,4,3805.620000000001
2025-10-07,9,20,-191.60306062696603,29,18608.670000000002
2025-10-08,3,1,32.92383381330768,4,1902.6900000000023
2025-10-09,3,3,-6.963240705369657,6,3974.5200000000023
2025-10-10,4,20,-454.8462127903256,24,20781.555000000004
2025-10-13,4,3,58.10212155082712,7,7787.385000000002
2025-10-14,6,0,140.66201730374013,6,7670.595000000001
2025-10-16,3,0,93.01330890997289,3,1963.0750000000005
2025-10-17,4,0,120.88665707108116,4,3134.1000000000004
2025-10-20,2,1,32.84569659631643,3,1923.2000000000003
2025-10-21,1,2,-9.754048668878312,3,5201.1
2025-10-22,7,12,-114.04018870947925,19,9422.67
2025-10-23,0,1,-8.864684802132956,1,1880.0600000000006
2025-10-24,0,1,-8.892875005091696,1,1890.9450000000006
2025-10-27,1,1,-1.1885919818580533,2,1999.2000000000007
2025-10-28,0,2,-27.136532182571273,2,1929.2000000000007
2025-10-29,5,4,21.58033175775958,9,7830.35
2025-10-30,2,3,-27.438638086217793,5,5202.95
2025-10-31,7,3,64.46049343742658,10,9569.39
2025-11-03,1,0,11.973238368624635,1,1914.2099999999982
2025-11-04,10,20,-140.5355691815796,30,23651.96
2025-11-05,7,2,80.59910227881056,9,9150.489999999998
2025-11-06,5,4,37.20489486682936,9,9578.284999999996
2025-11-07,5,6,-105.36427482289389,11,13179.739999999998
2025-11-11,2,1,48.390685868278695,3,3901.0999999999985
2025-11-12,2,7,-79.7612872626492,9,7694.6399999999985
2025-11-13,8,11,55.138010258852006,19,12846.904999999999
2025-11-14,7,3,64.10660107715807,10,9247.335000000001
2025-11-17,1,3,-24.302197075512936,4,3919.5
2025-11-18,2,1,41.54791391050293,3,3815.44
2025-11-19,0,1,-10.711365088560626,1,1914.3600000000001
2025-11-26,1,1,-4.634921004687158,2,1923.84
2025-12-01,2,0,35.90791839869155,2,1855.9099999999999
2025-12-02,1,2,-5.356083818452873,3,3896.83
2025-12-03,1,0,17.804201933263926,1,1854.3999999999996
2025-12-04,2,2,-1.5692835191785548,4,3729.9299999999994
2025-12-08,5,5,2.2246820861537913,10,6327.200000000001
2025-12-09,3,2,44.57215300518584,5,5895.645
2025-12-10,3,0,26.395988218123875,3,3837.9300000000003
2025-12-11,4,0,117.47032531551403,4,7745.539999999999
2025-12-12,12,18,-188.90513121271601,30,20757.71
2025-12-15,6,1,70.6239063126861,7,4336.809999999996
2025-12-16,7,0,79.59383230013333,7,5393.309999999996
