symbol,date,entry_time,exit_time,side,entry_price,exit_price,qty,pnl,exit_reason,hold_duration_bars,hold_duration_days,entry_rsi,entry_atr,sl_px,tp_px
NVDA,2025-10-06,2025-10-06 14:45:00+00:00,2025-10-06 15:30:00+00:00,LONG,184.785,186.36645606369376,10,15.814560636937642,TP,3,0.03,24.875714168793337,1.054304042462503,183.20354393630623,186.36645606369376
NVDA,2025-10-13,2025-10-10 19:45:00+00:00,2025-10-13 13:30:00+00:00,LONG,185.095,186.89776963037113,10,18.02769630371131,TP,1,2.74,23.95916644284098,1.2018464202474146,183.29223036962887,186.89776963037113
NVDA,2025-11-04,2025-11-04 14:45:00+00:00,2025-11-04 17:15:00+00:00,LONG,202.38,200.3099235163216,9,-18.630688353105654,SL,10,0.1,27.154381460474056,1.3800509891189423,200.3099235163216,204.4500764836784
NVDA,2025-11-04,2025-11-04 18:15:00+00:00,2025-11-04 19:45:00+00:00,LONG,200.335,198.61296888602448,9,-15.498280025779792,SL,6,0.06,29.460180996025827,1.148020742650358,198.61296888602448,202.05703111397554
NVDA,2025-11-04,2025-11-04 20:00:00+00:00,2025-11-04 20:45:00+00:00,LONG,199.1,198.6,10,-5.0,EOD,3,0.03,28.193932912193958,1.0488295743071814,197.5267556385392,200.67324436146077
AMD,2025-10-03,2025-10-03 18:00:00+00:00,2025-10-03 19:45:00+00:00,LONG,164.35,164.65,12,3.6000000000001364,EOD,7,0.07,24.121205829905435,0.9366649597498923,162.94500256037514,165.75499743962484
AMD,2025-10-10,2025-10-10 15:15:00+00:00,2025-10-10 15:30:00+00:00,LONG,221.175,217.77137382863785,9,-30.632635542259465,SL,1,0.01,27.01035754480006,2.2690841142414455,217.77137382863785,224.57862617136217
AMD,2025-10-10,2025-10-10 15:45:00+00:00,2025-10-10 19:45:00+00:00,LONG,218.91,214.7777662093867,9,-37.19010411551969,SL,16,0.17,28.61221479967969,2.7548225270755338,214.7777662093867,223.0422337906133
AMD,2025-10-13,2025-10-13 13:30:00+00:00,2025-10-13 13:45:00+00:00,LONG,220.205,223.4048568564227,9,28.79871170780416,TP,1,0.01,25.98944280729026,2.1332379042817857,217.00514314357733,223.4048568564227
AMD,2025-10-22,2025-10-22 14:30:00+00:00,2025-10-22 14:45:00+00:00,LONG,233.04,230.6099471164819,8,-19.44042306814481,SL,1,0.01,26.90354088615264,1.620035255678733,230.6099471164819,235.4700528835181
AMD,2025-10-22,2025-10-22 15:30:00+00:00,2025-10-22 17:45:00+00:00,LONG,228.39,225.34067243059764,8,-24.394620555218808,SL,9,0.09,26.637653874928887,2.0328850462682286,225.34067243059764,231.43932756940234
AMD,2025-10-22,2025-10-22 18:00:00+00:00,2025-10-22 19:00:00+00:00,LONG,226.12,228.83595119429702,8,21.72760955437616,TP,4,0.04,26.700811617035413,1.8106341295313533,223.40404880570298,228.83595119429702
AMD,2025-11-05,2025-11-05 14:45:00+00:00,2025-11-05 15:00:00+00:00,LONG,246.345,249.35877770448272,8,24.110221635861762,TP,1,0.01,25.3135299750291,2.009185136321814,243.33122229551728,249.35877770448272
AMD,2025-11-06,2025-11-06 15:00:00+00:00,2025-11-06 15:30:00+00:00,LONG,244.225,240.55523531333466,8,-29.358117493322652,SL,2,0.02,25.537096076741406,2.4465097911102194,240.55523531333466,247.89476468666533
SOXL,2025-10-07,2025-10-07 16:00:00+00:00,2025-10-07 19:45:00+00:00,LONG,39.41,38.84,50,-28.49999999999966,EOD,15,0.16,28.116628682002244,0.5783229092137446,38.54251563617938,40.27748436382061
