entry_price,atm_strike,otm_strike,spread_width,entry_debit,exit_value,cost,max_profit,max_loss,pnl,pnl_pct,reason,bars_held,dte,symbol,entry_time,atr,entry_rsi,entry_close,kc_lower,entry_slope,entry_adx,entry_reason,exit_time
592.4,592.4,600.17,7.77,2.0,10.3,200.0,577.47,-200.0,577.47,288.7,MAX_PROFIT,1,9,APP,2025-11-05 14:45:00+00:00,5.18,22.5,592.99,605.46,-1.2186,24.3,"RSI=22.5, Close=$592.99 < KC_Lower=$605.46",2025-11-05 15:00:00+00:00
596.15,596.15,607.55,11.4,2.0,3.46,200.0,940.4,-200.0,146.06,73.0,BARS_STOP,10,3,APP,2025-11-11 16:00:00+00:00,7.6,23.6,596.1,615.04,-3.3344,30.1,"RSI=23.6, Close=$596.10 < KC_Lower=$615.04",2025-11-11 18:30:00+00:00
555.21,555.21,564.05,8.84,2.0,8.35,200.0,684.16,-200.0,634.97,317.5,MAX_PROFIT,2,8,APP,2025-11-13 14:45:00+00:00,5.89,16.6,554.57,572.85,-1.2651,27.2,"RSI=16.6, Close=$554.57 < KC_Lower=$572.85",2025-11-13 15:15:00+00:00
559.45,559.45,568.67,9.22,2.0,2.92,200.0,721.77,-200.0,92.29,46.1,BARS_STOP,10,8,APP,2025-11-13 15:30:00+00:00,6.15,24.2,559.21,565.56,-2.2641,35.3,"RSI=24.2, Close=$559.21 < KC_Lower=$565.56",2025-11-13 18:00:00+00:00
545.22,545.22,553.08,7.86,2.0,8.15,200.0,585.58,-200.0,585.58,292.8,MAX_PROFIT,1,8,APP,2025-11-13 18:30:00+00:00,5.24,21.3,545.33,552.16,-1.3468,43.2,"RSI=21.3, Close=$545.33 < KC_Lower=$552.16",2025-11-13 18:45:00+00:00
497.4,497.4,507.46,10.06,2.0,13.29,200.0,805.8,-200.0,805.8,402.9,MAX_PROFIT,4,7,APP,2025-11-21 15:30:00+00:00,6.71,22.8,498.15,510.55,-2.2683,20.4,"RSI=22.8, Close=$498.15 < KC_Lower=$510.55",2025-11-21 16:30:00+00:00
274.61,274.61,276.11,1.5,0.49,1.57,48.9,101.57,-48.9,101.57,207.7,MAX_PROFIT,5,3,BURL,2025-11-17 19:30:00+00:00,1.0,24.7,274.81,276.79,-0.4258,31.5,"RSI=24.7, Close=$274.81 < KC_Lower=$276.79",2025-11-17 20:45:00+00:00
254.24,254.24,260.27,6.03,1.96,6.82,195.98,407.04,-195.98,407.04,207.7,MAX_PROFIT,1,3,BURL,2025-11-25 15:30:00+00:00,4.02,18.2,254.4,268.23,-2.8713,37.1,"RSI=18.2, Close=$254.40 < KC_Lower=$268.23",2025-11-25 15:45:00+00:00
255.84,255.84,261.62,5.78,1.88,5.76,187.91,390.27,-187.91,388.29,206.6,MAX_PROFIT,1,3,BURL,2025-11-25 16:15:00+00:00,3.85,24.1,256.26,263.63,-1.6459,41.1,"RSI=24.1, Close=$256.26 < KC_Lower=$263.63",2025-11-25 16:30:00+00:00
249.44,249.44,253.71,4.27,1.39,4.2,138.83,288.35,-138.83,281.11,202.5,MAX_PROFIT,1,3,BURL,2025-11-25 19:45:00+00:00,2.85,24.6,249.33,253.27,-0.9541,45.1,"RSI=24.6, Close=$249.33 < KC_Lower=$253.27",2025-11-25 20:00:00+00:00
247.54,247.54,249.95,2.41,0.78,2.5,78.47,162.99,-78.47,162.99,207.7,MAX_PROFIT,7,3,BURL,2025-12-01 14:45:00+00:00,1.61,21.9,248.14,251.65,-0.4641,25.9,"RSI=21.9, Close=$248.14 < KC_Lower=$251.65",2025-12-01 16:30:00+00:00
242.58,242.58,244.42,1.84,0.6,2.02,59.73,124.05,-59.73,124.05,207.7,MAX_PROFIT,1,3,BURL,2025-12-01 20:45:00+00:00,1.23,23.9,242.63,244.31,-0.4378,40.8,"RSI=23.9, Close=$242.63 < KC_Lower=$244.31",2025-12-02 14:30:00+00:00
259.8,259.8,261.54,1.74,0.57,1.87,56.53,117.41,-56.53,117.41,207.7,MAX_PROFIT,2,3,BURL,2025-12-16 19:15:00+00:00,1.16,22.7,259.64,261.27,-0.3357,36.5,"RSI=22.7, Close=$259.64 < KC_Lower=$261.27",2025-12-16 19:45:00+00:00
351.11,351.11,353.94,2.83,0.92,3.74,91.88,190.83,-91.88,190.83,207.7,MAX_PROFIT,1,9,AVGO,2025-11-05 14:30:00+00:00,1.88,24.3,352.1,353.5,-0.441,23.9,"RSI=24.3, Close=$352.10 < KC_Lower=$353.50",2025-11-05 14:45:00+00:00
342.76,342.76,347.66,4.9,1.59,1.55,159.29,330.83,-159.29,-4.44,-2.8,BARS_STOP,10,7,AVGO,2025-11-07 15:45:00+00:00,3.27,24.9,342.76,346.95,-0.8918,24.8,"RSI=24.9, Close=$342.76 < KC_Lower=$346.95",2025-11-07 18:15:00+00:00
341.98,341.98,345.73,3.75,1.22,4.96,121.75,252.86,-121.75,252.86,207.7,MAX_PROFIT,1,8,AVGO,2025-11-13 14:45:00+00:00,2.5,24.4,341.53,347.94,-0.3528,16.3,"RSI=24.4, Close=$341.53 < KC_Lower=$347.94",2025-11-13 15:00:00+00:00
370.88,370.88,374.44,3.56,1.16,4.72,115.73,240.36,-115.73,240.36,207.7,MAX_PROFIT,1,9,AVGO,2025-12-03 14:45:00+00:00,2.37,18.0,370.96,377.18,-0.4995,42.6,"RSI=18.0, Close=$370.96 < KC_Lower=$377.18",2025-12-03 15:00:00+00:00
371.79,371.79,378.88,7.09,2.0,1.39,200.0,508.52,-200.0,-61.33,-30.7,BARS_STOP,10,7,AVGO,2025-12-12 14:45:00+00:00,4.72,18.4,371.79,392.76,-0.9628,20.1,"RSI=18.4, Close=$371.79 < KC_Lower=$392.76",2025-12-12 17:15:00+00:00
