,,,,,,,,,,,
,,,,,,,,,,,
,Asset,Order Type,Side,Qty,Filled Qty,Avg. Fill Price,Status,Source,Submitted At,Filled At,Expires At
,UBER,Market,sell,23,23,86.803044,filled,access_key,"Dec 01, 2025, 12:50:02 PM","Dec 01, 2025, 12:50:03 PM","Dec 01, 2025, 1:00:00 PM"
,TSLA,Market,sell,4,4,429.11,filled,access_key,"Dec 01, 2025, 12:50:02 PM","Dec 01, 2025, 12:50:02 PM","Dec 01, 2025, 1:00:00 PM"
,SMCI,Market,sell,59,59,33.42,filled,access_key,"Dec 01, 2025, 12:50:02 PM","Dec 01, 2025, 12:50:03 PM","Dec 01, 2025, 1:00:00 PM"
,RIOT,Market,sell,127,127,15.514252,filled,access_key,"Dec 01, 2025, 12:50:02 PM","Dec 01, 2025, 12:50:03 PM","Dec 01, 2025, 1:00:00 PM"
,MSTR,Market,sell,11,11,169.8,filled,access_key,"Dec 01, 2025, 12:50:02 PM","Dec 01, 2025, 12:50:02 PM","Dec 01, 2025, 1:00:00 PM"
,MARA,Market,sell,174,174,11.43,filled,access_key,"Dec 01, 2025, 12:50:02 PM","Dec 01, 2025, 12:50:02 PM","Dec 01, 2025, 1:00:00 PM"
,BURL,Market,sell,8,8,241.96,filled,access_key,"Dec 01, 2025, 12:50:02 PM","Dec 01, 2025, 12:50:02 PM","Dec 01, 2025, 1:00:00 PM"
,CLSK,Stop @ $14.06,sell,136,136,14.06,filled,access_key,"Dec 01, 2025, 12:47:47 PM","Dec 01, 2025, 12:47:47 PM","Dec 01, 2025, 1:00:00 PM"
,U,Stop @ $43.11,sell,45,45,43.09,filled,access_key,"Dec 01, 2025, 12:47:19 PM","Dec 01, 2025, 12:47:20 PM","Dec 01, 2025, 1:00:00 PM"
,TSLA,Limit @ $435.29,sell,4,0,-,canceled,access_key,"Dec 01, 2025, 12:45:11 PM",-,"Dec 01, 2025, 1:00:00 PM"
,TSLA,Market,buy,4,4,429.1575,filled,access_key,"Dec 01, 2025, 12:45:10 PM","Dec 01, 2025, 12:45:11 PM","Dec 01, 2025, 1:00:00 PM"
,TSLA,Stop @ $427.31,sell,4,0,-,canceled,access_key,"Dec 01, 2025, 12:45:10 PM",-,"Dec 01, 2025, 1:00:00 PM"
,BURL,Limit @ $244.37,sell,8,0,-,canceled,access_key,"Dec 01, 2025, 12:45:09 PM",-,"Dec 01, 2025, 1:00:00 PM"
,BURL,Market,buy,8,8,242.88,filled,access_key,"Dec 01, 2025, 12:45:08 PM","Dec 01, 2025, 12:45:09 PM","Dec 01, 2025, 1:00:00 PM"
,BURL,Stop @ $239.72,sell,8,0,-,canceled,access_key,"Dec 01, 2025, 12:45:08 PM",-,"Dec 01, 2025, 1:00:00 PM"
,MSTR,Limit @ $179.01,sell,11,0,-,canceled,access_key,"Dec 01, 2025, 12:15:10 PM",-,"Dec 01, 2025, 1:00:00 PM"
,MSTR,Market,buy,11,11,169.039091,filled,access_key,"Dec 01, 2025, 12:15:09 PM","Dec 01, 2025, 12:15:10 PM","Dec 01, 2025, 1:00:00 PM"
,MSTR,Stop @ $165.85,sell,11,0,-,canceled,access_key,"Dec 01, 2025, 12:15:09 PM",-,"Dec 01, 2025, 1:00:00 PM"
,BURL,Stop @ $244.70,sell,8,8,244.69,filled,access_key,"Dec 01, 2025, 11:30:10 AM","Dec 01, 2025, 11:30:10 AM","Dec 01, 2025, 1:00:00 PM"
,UBER,Limit @ $88.41,sell,23,0,-,canceled,access_key,"Dec 01, 2025, 10:30:10 AM",-,"Dec 01, 2025, 1:00:00 PM"
,UBER,Market,buy,23,23,86.75,filled,access_key,"Dec 01, 2025, 10:30:10 AM","Dec 01, 2025, 10:30:10 AM","Dec 01, 2025, 1:00:00 PM"
,UBER,Stop @ $86.13,sell,23,0,-,canceled,access_key,"Dec 01, 2025, 10:30:10 AM",-,"Dec 01, 2025, 1:00:00 PM"
,MARA,Limit @ $12.07,sell,174,0,-,canceled,access_key,"Dec 01, 2025, 10:30:09 AM",-,"Dec 01, 2025, 1:00:00 PM"
,RIOT,Limit @ $16.62,sell,127,0,-,canceled,access_key,"Dec 01, 2025, 10:30:09 AM",-,"Dec 01, 2025, 1:00:00 PM"
,RIOT,Market,buy,127,127,15.76,filled,access_key,"Dec 01, 2025, 10:30:09 AM","Dec 01, 2025, 10:30:09 AM","Dec 01, 2025, 1:00:00 PM"
,RIOT,Stop @ $15.44,sell,127,0,-,canceled,access_key,"Dec 01, 2025, 10:30:09 AM",-,"Dec 01, 2025, 1:00:00 PM"
,MARA,Market,buy,174,174,11.45,filled,access_key,"Dec 01, 2025, 10:30:09 AM","Dec 01, 2025, 10:30:09 AM","Dec 01, 2025, 1:00:00 PM"
,MARA,Stop @ $11.23,sell,174,0,-,canceled,access_key,"Dec 01, 2025, 10:30:09 AM",-,"Dec 01, 2025, 1:00:00 PM"
,DHR,Limit @ $224.62,sell,8,8,224.62,filled,access_key,"Dec 01, 2025, 10:30:07 AM","Dec 01, 2025, 10:46:13 AM","Dec 01, 2025, 1:00:00 PM"
,DHR,Market,buy,8,8,223.89,filled,access_key,"Dec 01, 2025, 10:30:07 AM","Dec 01, 2025, 10:30:07 AM","Dec 01, 2025, 1:00:00 PM"
,DHR,Stop @ $222.44,sell,8,0,-,canceled,access_key,"Dec 01, 2025, 10:30:07 AM",-,"Dec 01, 2025, 1:00:00 PM"
,SMCI,Limit @ $34.64,sell,59,0,-,canceled,access_key,"Dec 01, 2025, 10:15:08 AM",-,"Dec 01, 2025, 1:00:00 PM"
