symbol,bot_type,price,atr_pct,dollar_vol_m,sma,in_uptrend,has_options
RIVN,15M_OPT,22.41,5.93,30.9,15.52,True,True
WDC,15M_OPT,181.15,5.91,45.41,151.62,True,True
CIEN,15M_OPT,230.35,5.8,34.79,193.23,True,True
MU,15M_OPT,265.86,5.65,124.85,227.37,True,True
FN,15M_OPT,475.18,5.63,23.63,438.12,True,True
INFY,15M_OPT,20.28,5.62,20.84,17.25,True,True
FIX,15M_OPT,939.11,5.28,34.85,931.59,True,True
STX,15M_OPT,296.34,5.24,39.93,259.15,True,True
FLEX,15M_OPT,64.23,5.09,20.27,62.15,True,True
CVNA,15M_OPT,450.38,4.72,92.7,362.62,True,True
APP,15M_OPT,721.63,4.65,87.39,616.79,True,True
MDB,15M_OPT,430.63,4.3,40.56,360.1,True,True
LRCX,15M_OPT,172.21,4.18,62.2,154.38,True,True
LULU,15M_OPT,209.5,4.18,33.04,177.83,True,True
SHOP,15M_OPT,169.64,4.18,42.22,159.7,True,True
MCHP,15M_OPT,64.92,4.05,26.92,60.62,True,True
GLW,15M_OPT,87.81,4.04,25.22,85.93,True,True
FSLR,15M_OPT,266.91,3.9,21.52,252.78,True,True
HPE,15M_OPT,24.39,3.9,35.61,23.22,True,True
DKNG,15M_OPT,34.23,3.88,27.4,32.4,True,True
PLTR,15M_OPT,193.41,3.85,166.45,179.93,True,True
TER,15M_OPT,195.02,3.84,24.84,171.81,True,True
ON,15M_OPT,55.21,3.77,28.86,51.05,True,True
DASH,15M_OPT,234.44,3.75,56.13,229.38,True,True
TSLA,15M_OPT,481.07,3.67,481.77,439.68,True,True
DG,15M_OPT,137.29,3.66,25.1,109.9,True,True
AMAT,15M_OPT,256.34,3.42,70.41,239.79,True,True
WBD,15M_OPT,27.82,3.4,90.95,23.25,True,True
NEM,15M_OPT,101.27,3.38,30.12,89.04,True,True
RCL,15M_OPT,293.75,3.37,34.95,277.33,True,True
BURL,15M_OPT,278.77,3.35,21.47,270.66,True,True
B,15M_OPT,44.72,3.31,41.1,37.02,True,True
ULTA,15M_OPT,597.87,3.18,23.94,540.12,True,True
CCL,15M_OPT,31.1,3.18,37.43,27.31,True,True
LUV,15M_OPT,41.25,3.18,29.22,34.38,True,True
SNPS,15M_OPT,463.6,3.13,40.21,434.78,True,True
CAT,15M_OPT,576.16,3.12,62.37,561.17,True,True
NXPI,15M_OPT,226.23,3.11,29.51,211.61,True,True
APH,15M_OPT,135.31,3.05,52.76,134.67,True,True
UAL,15M_OPT,113.99,3.03,25.63,99.95,True,True
ARES,15M_OPT,165.73,3.02,37.11,154.94,True,True
KKR,15M_OPT,130.48,3.0,28.38,123.42,True,True
