entry_price,atm_strike,otm_strike,spread_width,entry_debit,exit_value,cost,max_profit,max_loss,pnl,pnl_pct,reason,bars_held,dte,symbol,entry_time,atr,entry_rsi,entry_close,kc_lower,entry_slope,entry_slope_10,entry_adx,entry_reason,exit_time
138.09,138.09,139.73,1.64,0.53,2.16,53.38,110.87,-53.38,110.87,207.7,MAX_PROFIT,4,3,HOOD,2025-11-04 20:00:00+00:00,1.1,24.2,138.0,138.97,-0.2896,-0.249,40.6,"RSI=24.2, Close=$138.00 < KC_Lower=$138.97",2025-11-05 14:30:00+00:00
135.64,135.64,137.6,1.96,0.64,2.6,63.76,132.42,-63.76,132.42,207.7,MAX_PROFIT,1,9,HOOD,2025-11-05 14:45:00+00:00,1.31,20.6,135.94,137.03,-0.3156,-0.271,44.3,"RSI=20.6, Close=$135.94 < KC_Lower=$137.03",2025-11-05 15:00:00+00:00
131.4,131.4,134.38,2.98,0.97,1.68,96.81,201.07,-96.81,71.64,74.0,BARS_STOP,10,8,HOOD,2025-11-06 15:30:00+00:00,1.99,23.1,131.45,134.7,-0.8447,-0.2073,36.5,"RSI=23.1, Close=$131.45 < KC_Lower=$134.70",2025-11-06 18:00:00+00:00
326.4,326.4,329.95,3.55,1.15,1.13,115.32,239.51,-115.32,-2.49,-2.2,BARS_STOP,10,9,COIN,2025-10-22 13:45:00+00:00,2.37,21.9,326.28,334.06,-0.5724,-0.3732,23.1,"RSI=21.9, Close=$326.28 < KC_Lower=$334.06",2025-10-22 16:15:00+00:00
297.19,297.19,301.96,4.77,1.55,6.3,154.89,321.69,-154.89,321.69,207.7,MAX_PROFIT,4,8,COIN,2025-11-06 16:45:00+00:00,3.18,24.9,297.56,302.81,-1.0064,-0.9318,38.9,"RSI=24.9, Close=$297.56 < KC_Lower=$302.81",2025-11-06 17:45:00+00:00
212.42,212.42,215.0,2.58,0.84,0.78,83.78,174.01,-83.78,-5.55,-6.6,BARS_STOP,10,3,CIEN,2025-12-16 14:45:00+00:00,1.72,20.3,212.83,216.04,-0.5125,-0.2985,27.2,"RSI=20.3, Close=$212.83 < KC_Lower=$216.04",2025-12-16 17:15:00+00:00
274.61,274.61,276.11,1.5,0.49,1.58,48.9,101.57,-48.9,101.57,207.7,MAX_PROFIT,5,4,BURL,2025-11-17 19:30:00+00:00,1.0,24.7,274.81,276.79,-0.4258,-0.2831,31.5,"RSI=24.7, Close=$274.81 < KC_Lower=$276.79",2025-11-17 20:45:00+00:00
370.88,370.88,374.44,3.56,1.16,4.72,115.73,240.36,-115.73,240.36,207.7,MAX_PROFIT,1,9,AVGO,2025-12-03 14:45:00+00:00,2.37,18.0,370.96,377.18,-0.4995,-0.3027,42.6,"RSI=18.0, Close=$370.96 < KC_Lower=$377.18",2025-12-03 15:00:00+00:00
370.25,370.25,377.2,6.95,2.26,2.0,226.03,469.44,-226.03,-25.68,-11.4,BARS_STOP,10,7,AVGO,2025-12-12 15:00:00+00:00,4.64,17.9,370.5,389.91,-2.0183,-0.3996,23.6,"RSI=17.9, Close=$370.50 < KC_Lower=$389.91",2025-12-12 17:30:00+00:00
269.82,269.82,272.12,2.3,0.75,3.04,74.67,155.09,-74.67,155.09,207.7,MAX_PROFIT,1,7,DASH,2025-10-10 15:30:00+00:00,1.53,17.5,270.67,272.34,-0.3638,-0.1847,98.7,"RSI=17.5, Close=$270.67 < KC_Lower=$272.34",2025-10-10 15:45:00+00:00
