entry_price,atm_strike,otm_strike,spread_width,entry_debit,exit_value,cost,max_profit,max_loss,pnl,pnl_pct,reason,bars_held,dte,symbol,entry_time,atr,entry_rsi,entry_close,kc_lower,entry_slope,entry_slope_10,entry_adx,entry_reason,exit_time
420.15,420.15,424.63,4.48,1.46,1.36,145.57,302.33,-145.57,-9.65,-6.6,BARS_STOP,10,3,APP,2025-08-19 14:00:00+00:00,2.99,20.4,419.5,428.89,-0.9771,-0.2762,19.3,"RSI=20.4, Close=$419.50 < KC_Lower=$428.89",2025-08-19 16:30:00+00:00
393.5,393.5,398.64,5.14,1.67,6.8,167.21,347.28,-167.21,347.28,207.7,MAX_PROFIT,5,9,APP,2025-08-20 13:45:00+00:00,3.43,21.4,397.64,408.48,-0.963,-0.5278,35.2,"RSI=21.4, Close=$397.64 < KC_Lower=$408.48",2025-08-20 15:00:00+00:00
476.05,476.05,483.1,7.05,2.0,9.32,200.0,504.53,-200.0,504.53,252.3,MAX_PROFIT,3,7,APP,2025-09-05 14:45:00+00:00,4.7,22.4,476.2,484.19,-1.2733,-0.3887,31.8,"RSI=22.4, Close=$476.20 < KC_Lower=$484.19",2025-09-05 15:30:00+00:00
621.94,621.94,629.31,7.37,2.0,9.76,200.0,536.95,-200.0,536.95,268.5,MAX_PROFIT,1,8,APP,2025-09-25 13:45:00+00:00,4.91,23.8,621.85,632.42,-0.961,-0.9252,36.7,"RSI=23.8, Close=$621.85 < KC_Lower=$632.42",2025-09-25 14:00:00+00:00
658.37,658.37,665.72,7.35,2.0,7.93,200.0,534.65,-200.0,534.65,267.3,MAX_PROFIT,6,3,APP,2025-10-06 14:15:00+00:00,4.9,22.3,658.35,667.5,-1.3904,-0.2987,20.5,"RSI=22.3, Close=$658.35 < KC_Lower=$667.50",2025-10-06 15:45:00+00:00
602.4,602.4,610.78,8.38,2.0,2.66,200.0,637.69,-200.0,65.62,32.8,BARS_STOP,10,8,APP,2025-10-09 14:00:00+00:00,5.58,23.4,602.4,611.69,-1.3687,-0.2571,16.3,"RSI=23.4, Close=$602.40 < KC_Lower=$611.69",2025-10-09 16:30:00+00:00
574.3,574.3,581.13,6.83,2.0,9.04,200.0,483.03,-200.0,483.03,241.5,MAX_PROFIT,1,7,APP,2025-10-10 15:30:00+00:00,4.55,22.6,575.05,584.5,-1.4014,-0.8347,36.8,"RSI=22.6, Close=$575.05 < KC_Lower=$584.50",2025-10-10 15:45:00+00:00
567.16,567.16,575.63,8.47,2.0,10.75,200.0,646.58,-200.0,646.58,323.3,MAX_PROFIT,4,3,APP,2025-10-20 13:45:00+00:00,5.64,20.9,567.66,584.17,-0.9811,-0.3391,11.7,"RSI=20.9, Close=$567.66 < KC_Lower=$584.17",2025-10-20 14:45:00+00:00
592.4,592.4,600.17,7.77,2.0,10.29,200.0,576.89,-200.0,576.89,288.4,MAX_PROFIT,1,9,APP,2025-11-05 14:45:00+00:00,5.18,22.5,592.99,605.46,-1.2186,-0.6817,39.0,"RSI=22.5, Close=$592.99 < KC_Lower=$605.46",2025-11-05 15:00:00+00:00
596.15,596.15,607.55,11.4,2.0,3.46,200.0,940.4,-200.0,146.06,73.0,BARS_STOP,10,3,APP,2025-11-11 16:00:00+00:00,7.6,23.6,596.1,615.04,-3.3344,-1.7137,30.1,"RSI=23.6, Close=$596.10 < KC_Lower=$615.04",2025-11-11 18:30:00+00:00
555.21,555.21,564.05,8.84,2.0,8.35,200.0,684.16,-200.0,634.97,317.5,MAX_PROFIT,2,8,APP,2025-11-13 14:45:00+00:00,5.89,16.6,554.57,572.85,-1.2651,-0.3804,27.2,"RSI=16.6, Close=$554.57 < KC_Lower=$572.85",2025-11-13 15:15:00+00:00
559.45,559.45,568.67,9.22,2.0,2.92,200.0,721.77,-200.0,92.29,46.1,BARS_STOP,10,8,APP,2025-11-13 15:30:00+00:00,6.15,24.2,559.21,565.56,-2.2641,-1.0932,35.3,"RSI=24.2, Close=$559.21 < KC_Lower=$565.56",2025-11-13 18:00:00+00:00
545.22,545.22,553.08,7.86,2.0,8.15,200.0,585.58,-200.0,585.58,292.8,MAX_PROFIT,1,8,APP,2025-11-13 18:30:00+00:00,5.24,21.3,545.33,552.16,-1.3468,-1.2142,43.2,"RSI=21.3, Close=$545.33 < KC_Lower=$552.16",2025-11-13 18:45:00+00:00
