symbol,date,entry_time,exit_time,side,entry_price,exit_price,qty,pnl,exit_reason,hold_duration_bars,hold_duration_days,entry_rsi,entry_atr,sl_px,tp_px
NVDA,2025-11-06,2025-11-06 15:00:00+00:00,2025-11-06 15:30:00+00:00,LONG,193.55,191.4850894075802,10,-20.649105924198068,SL,2,0.02,18.15191040269346,1.3766070616132022,191.4850894075802,196.3032141232264
NVDA,2025-11-06,2025-11-06 15:45:00+00:00,2025-11-06 16:30:00+00:00,LONG,190.5,188.23648922319742,10,-22.63510776802576,SL,3,0.03,15.877279608805623,1.5090071845350588,188.23648922319742,193.51801436907013
NVDA,2025-11-06,2025-11-06 16:45:00+00:00,2025-11-06 20:45:00+00:00,LONG,188.31,188.14,3,-0.5100000000000477,EOD,16,0.17,16.138603032240965,1.6041753227172473,185.90373701592412,191.5183506454345
AMD,2025-11-06,2025-11-06 15:15:00+00:00,2025-11-06 15:30:00+00:00,LONG,241.47,237.67878993381171,8,-30.329680529506277,SL,1,0.01,22.554284036261805,2.527473377458851,237.67878993381171,246.5249467549177
AMD,2025-11-07,2025-11-07 14:45:00+00:00,2025-11-07 15:30:00+00:00,LONG,231.11,227.18211136235885,2,-7.855777275282321,SL,3,0.03,23.55599380702037,2.6185924250941075,227.18211136235885,236.34718485018823
AMD,2025-11-18,2025-11-18 14:45:00+00:00,2025-11-18 15:00:00+00:00,LONG,231.01,227.4417713842132,2,-7.136457231573559,SL,1,0.01,22.722534185254347,2.378819077191192,227.4417713842132,235.76763815438238
AMZN,2025-11-13,2025-11-13 16:45:00+00:00,2025-11-13 19:45:00+00:00,LONG,239.295,237.66993272672948,8,-13.000538186164022,SL,12,0.12,23.76522497386418,1.0833781821803277,237.66993272672948,241.46175636436064
AMZN,2025-11-17,2025-11-17 14:45:00+00:00,2025-11-17 15:00:00+00:00,LONG,231.88,230.34276465434556,2,-3.074470691308875,SL,1,0.01,23.041823591363382,1.0248235637696232,230.34276465434556,233.92964712753925
SMH,2025-11-04,2025-11-04 18:30:00+00:00,2025-11-04 20:45:00+00:00,LONG,356.01,353.9402135443617,5,-10.348932278191398,SL,9,0.09,24.25947852404235,1.3798576370922018,353.9402135443617,358.7697152741844
SMH,2025-12-12,2025-12-12 16:15:00+00:00,2025-12-12 20:45:00+00:00,LONG,356.05,354.04,5,-10.049999999999955,EOD,18,0.19,24.760712662177312,2.1040498629557685,352.89392520556635,360.25809972591156
AVGO,2025-12-12,2025-12-12 15:00:00+00:00,2025-12-12 15:45:00+00:00,LONG,370.245,363.29038074776554,1,-6.954619252234465,SL,3,0.03,17.927010197794615,4.636412834822972,363.29038074776554,379.51782566964596
AVGO,2025-12-12,2025-12-12 16:00:00+00:00,2025-12-12 20:15:00+00:00,LONG,362.22,355.28599944129877,1,-6.934000558701257,SL,17,0.18,16.12416438196614,4.6226670391341855,355.28599944129877,371.46533407826837
CRWD,2025-11-18,2025-11-18 14:45:00+00:00,2025-11-18 15:00:00+00:00,LONG,520.95,517.1524040242439,1,-3.797595975756167,SL,1,0.01,24.218565848022905,2.531730650504087,517.1524040242439,526.0134613010082
PLTR,2025-11-12,2025-11-12 15:45:00+00:00,2025-11-12 16:45:00+00:00,LONG,183.26,180.75766106512782,3,-7.507016804616512,SL,4,0.04,24.871496342008584,1.6682259565814395,180.75766106512782,186.59645191316287
ARM,2025-10-30,2025-10-30 13:45:00+00:00,2025-10-30 14:45:00+00:00,LONG,167.38,165.40803716830183,11,-21.691591148679805,SL,4,0.04,24.276649564162952,1.314641887798784,165.40803716830183,170.00928377559757
QCOM,2025-11-17,2025-11-17 16:15:00+00:00,2025-11-17 19:30:00+00:00,LONG,168.865,167.55660988298834,3,-3.925170351035007,SL,13,0.14,17.59807954207362,0.872260078007775,167.55660988298834,170.60952015601555
MU,2025-11-18,2025-11-18 14:45:00+00:00,2025-11-18 15:00:00+00:00,LONG,234.795,230.9312361176053,8,-30.910111059157543,SL,1,0.01,22.53743250411617,2.5758425882631206,230.9312361176053,239.94668517652622
MU,2025-12-12,2025-12-12 15:15:00+00:00,2025-12-12 15:45:00+00:00,LONG,246.495,243.048460858294,8,-27.572313133648095,SL,2,0.02,24.168514654032364,2.297692761137336,243.048460858294,251.0903855222747
TSM,2025-11-07,2025-11-07 15:30:00+00:00,2025-11-07 16:00:00+00:00,LONG,282.13,279.3730113403876,2,-5.51397731922475,SL,2,0.02,24.5258453951473,1.8379924397415948,279.3730113403876,285.80598487948316
TSM,2025-12-12,2025-12-12 15:30:00+00:00,2025-12-12 16:00:00+00:00,LONG,295.675,293.2662690486493,6,-14.452385708104316,SL,2,0.02,23.501493654530123,1.6058206342338082,293.2662690486493,298.88664126846766
WDC,2025-11-21,2025-11-20 20:45:00+00:00,2025-11-21 15:00:00+00:00,LONG,138.555,135.73220295963336,4,-11.291188161466607,SL,3,0.76,24.114572088758706,1.8818646935777634,135.73220295963336,142.31872938715554
NET,2025-11-12,2025-11-12 15:00:00+00:00,2025-11-12 15:15:00+00:00,LONG,233.0,231.2124286480405,8,-14.30057081567611,SL,1,0.01,24.29724315787894,1.191714234639672,231.2124286480405,235.38342846927935
NET,2025-11-12,2025-11-12 16:00:00+00:00,2025-11-12 16:45:00+00:00,LONG,228.115,225.89250845003866,8,-17.77993239969078,SL,3,0.03,22.037945910839667,1.4816610333075713,225.89250845003866,231.07832206661516
GS,2025-11-13,2025-11-13 20:30:00+00:00,2025-11-13 20:45:00+00:00,LONG,808.0,805.23,2,-5.539999999999964,EOD,1,0.01,24.456095333550607,3.2979291553636467,803.0531062669545,814.5958583107273
FSLR,2025-10-28,2025-10-28 18:45:00+00:00,2025-10-28 19:30:00+00:00,LONG,239.245,237.53637023096823,8,-13.669038152254188,SL,3,0.03,23.46860243767742,1.1390865126878573,237.53637023096823,241.5231730253757
MS,2025-11-07,2025-11-07 16:15:00+00:00,2025-11-07 16:45:00+00:00,LONG,159.4,158.32766345003483,4,-4.289346199860688,SL,2,0.02,17.042543031623424,0.7148910333101126,158.32766345003483,160.82978206662023
SHOP,2025-11-04,2025-11-04 18:30:00+00:00,2025-11-04 20:45:00+00:00,LONG,161.71,160.95,4,-3.0400000000000773,EOD,9,0.09,24.15735300725767,1.582061406431717,159.33690789035242,164.87412281286345
BURL,2025-11-17,2025-11-17 19:30:00+00:00,2025-11-17 19:45:00+00:00,LONG,274.61,273.10528091191014,2,-3.009438176179742,SL,1,0.01,24.686548925264418,1.003146058726599,273.10528091191014,276.6162921174532
ZS,2025-11-05,2025-11-05 15:45:00+00:00,2025-11-05 17:30:00+00:00,LONG,321.915,319.34184708899704,6,-15.43891746601787,SL,7,0.07,24.10966429365679,1.7154352740019911,319.34184708899704,325.34587054800403
ZS,2025-11-12,2025-11-12 18:45:00+00:00,2025-11-12 19:30:00+00:00,LONG,318.51,316.37406051249536,6,-12.815636925027775,SL,3,0.03,24.98936658034353,1.423959658336429,316.37406051249536,321.35791931667285
ZS,2025-11-13,2025-11-13 14:45:00+00:00,2025-11-13 18:00:00+00:00,LONG,312.07,309.64559988514446,2,-4.84880022971106,SL,13,0.14,21.533527647599826,1.6162667432370372,309.64559988514446,315.3025334864741
IBM,2025-11-13,2025-11-13 18:00:00+00:00,2025-11-13 18:15:00+00:00,LONG,308.69,306.82361641997437,6,-11.19830148015376,SL,1,0.01,24.4123660475003,1.2442557200170843,306.82361641997437,311.1785114400342
IBM,2025-11-13,2025-11-13 18:30:00+00:00,2025-11-13 20:00:00+00:00,LONG,306.54,304.67078405599835,6,-11.21529566401,SL,6,0.06,19.21340035173634,1.246143962667789,304.67078405599835,309.0322879253356
IBM,2025-11-13,2025-11-13 20:15:00+00:00,2025-11-13 20:45:00+00:00,LONG,304.97,304.615,6,-2.130000000000109,EOD,2,0.02,20.279242985206153,1.154428501977383,303.23835724703395,307.2788570039548
IBM,2025-11-17,2025-11-17 19:00:00+00:00,2025-11-17 20:30:00+00:00,LONG,298.1,296.5717102720971,2,-3.0565794558058315,SL,6,0.06,23.169715051655828,1.0188598186019286,296.5717102720971,300.1377196372039
IBM,2025-11-18,2025-11-17 20:45:00+00:00,2025-11-18 14:30:00+00:00,LONG,297.33,295.877536695467,2,-2.904926609066024,SL,1,0.74,22.750773350582747,0.9683088696886565,295.877536695467,299.2666177393773
IBM,2025-11-18,2025-11-18 15:30:00+00:00,2025-11-18 20:45:00+00:00,LONG,291.95,289.97,2,-3.9599999999999227,EOD,21,0.22,15.562207626332011,1.494758099588922,289.7078628506166,294.93951619917783
MDB,2025-11-17,2025-11-17 19:15:00+00:00,2025-11-17 19:30:00+00:00,LONG,337.66,334.9087903321869,1,-2.7512096678131,SL,1,0.01,24.95845238238691,1.8341397785420788,334.9087903321869,341.32827955708416
AMAT,2025-12-17,2025-12-17 18:45:00+00:00,2025-12-17 20:45:00+00:00,LONG,248.7,248.36,2,-0.67999999999995,EOD,8,0.08,22.797601462158426,1.3692131069693745,246.64618033954594,251.43842621393873
HLT,2025-12-02,2025-12-02 15:00:00+00:00,2025-12-02 15:15:00+00:00,LONG,279.8,278.5822388973623,7,-8.524327718464065,SL,1,0.01,20.168182980032995,0.8118407350917983,278.5822388973623,281.4236814701836
HLT,2025-12-04,2025-12-04 16:00:00+00:00,2025-12-04 18:00:00+00:00,LONG,274.53,273.1173254182093,7,-9.888722072534676,SL,8,0.08,23.75220706420471,0.9417830545271287,273.1173254182093,276.4135661090542
CME,2025-11-19,2025-11-19 15:15:00+00:00,2025-11-19 15:45:00+00:00,LONG,273.49,271.8799974882522,7,-11.270017582234857,SL,2,0.02,18.00634427579405,1.0733350078318764,271.8799974882522,275.63667001566375
CME,2025-12-02,2025-12-02 15:45:00+00:00,2025-12-02 16:45:00+00:00,LONG,276.63,275.6070697460208,7,-7.160511777854481,SL,4,0.04,24.67879536510172,0.681953502652813,275.6070697460208,277.99390700530563
