symbol,price,sma_120,sma_22,atr_pct,dollar_vol_m
TSLA,454.6,378.73,425.35,3.9,508.66
GOOGL,317.66,231.74,297.72,3.62,446.8
AAPL,280.68,239.14,273.95,2.08,442.16
AVGO,381.04,321.9,362.79,4.52,221.49
GOOG,318.17,232.43,298.16,3.57,215.77
PLTR,177.95,166.72,173.32,4.69,215.29
BAC,54.16,49.81,52.85,1.8,125.02
TSM,292.95,260.72,287.37,3.13,121.79
INTC,40.53,29.2,37.52,5.07,116.48
WMT,114.84,101.32,105.64,2.3,107.62
CSCO,77.75,69.83,75.4,2.19,106.04
APP,683.71,505.87,589.75,4.86,96.12
XOM,117.13,112.66,116.83,1.83,88.52
PFE,25.7,24.82,25.18,2.28,82.55
AMAT,269.47,200.22,238.44,4.15,74.72
HOOD,137.11,115.95,125.03,6.22,74.52
MRK,100.86,85.35,95.18,3.04,72.1
UNH,333.56,317.95,324.86,2.78,70.15
LRCX,157.16,122.03,154.36,4.38,69.53
MRVL,98.2,79.09,87.96,5.44,67.79
WFC,90.22,82.06,85.64,2.25,64.68
JPM,316.11,299.28,308.23,2.1,63.67
LITE,327.8,157.26,265.82,8.25,60.54
CVNA,398.88,348.48,335.83,4.87,54.49
VRT,182.61,148.66,174.65,5.79,52.67
SHOP,162.32,142.41,153.49,4.28,52.5
ASML,1110.33,879.42,1036.18,3.21,52.09
KLAC,1208.82,1011.37,1169.77,3.39,51.45
APH,139.48,117.56,137.65,3.24,51.0
WDC,161.06,103.15,158.2,6.5,50.38
ABBV,228.68,211.61,227.47,2.41,50.23
B,40.93,28.76,37.39,4.2,49.99
SOFI,29.58,24.82,28.45,5.61,49.79
C,107.83,95.6,101.39,2.53,48.9
SCHW,95.05,93.98,93.34,2.02,48.44
QCOM,174.35,162.63,169.87,2.67,48.1
BE,118.14,68.52,112.72,10.72,47.74
CAT,599.24,466.89,565.17,2.61,47.72
WBD,24.55,16.34,23.21,3.57,46.85
IBM,307.89,277.53,303.51,2.44,46.84
CLS,322.68,233.73,319.49,7.72,46.72
GS,837.42,752.2,800.91,2.46,45.16
COHR,177.3,112.04,151.29,6.49,45.13
ADI,277.32,240.06,243.9,2.98,44.7
MDT,102.0,93.26,98.41,2.08,44.45
BMY,51.99,46.49,47.88,2.78,43.39
DHR,227.15,205.73,221.52,2.06,41.97
CRDO,181.01,132.01,159.68,8.78,41.45
RGTI,30.06,23.97,27.88,8.05,40.56
FCX,44.62,42.44,41.11,3.54,40.4
ISRG,568.58,498.52,562.35,2.16,40.38
CEG,368.61,338.25,353.52,4.16,39.97
ACN,269.36,258.94,248.67,2.66,39.84
EXPE,258.16,210.62,250.55,3.06,39.68
DELL,139.01,134.62,134.42,4.78,37.9
EXAS,101.14,58.62,83.82,3.34,37.47
MCD,308.52,302.93,305.28,1.62,37.26
REGN,722.82,593.87,711.55,3.07,37.19
MS,174.92,152.27,165.29,2.4,35.86
NU,17.66,14.59,16.31,3.08,35.67
AXP,371.2,329.42,360.22,2.22,35.19
MDB,396.7,284.78,352.56,4.92,34.86
LOW,246.18,240.49,234.91,2.41,34.45
OPEN,7.58,5.2,7.47,9.82,34.37
HPE,22.87,22.25,22.2,3.47,33.29
CIEN,195.62,130.47,195.48,5.55,33.18
IONQ,54.76,50.9,49.72,7.69,33.14
COF,229.66,216.3,215.56,2.51,33.05
AMGN,340.09,298.6,334.19,1.99,32.99
GM,75.26,59.25,70.95,2.17,32.94
NEM,90.74,75.37,87.21,3.39,31.95
PH,873.24,753.77,838.16,1.56,31.62
F,13.14,11.9,13.07,2.21,31.48
WMB,63.66,59.62,59.87,2.26,30.36
WELL,203.8,171.53,196.97,1.74,30.2
LEN,126.74,122.84,123.69,3.34,29.44
RKT,19.4,17.17,17.83,4.76,29.24
SLB,38.14,35.0,36.4,2.93,29.06
QBTS,28.7,22.48,24.95,7.62,28.86
HCA,487.57,414.31,484.34,2.29,28.07
RIVN,18.07,13.86,15.9,4.97,27.82
VRTX,457.53,421.95,429.96,2.28,27.76
EQT,60.06,54.76,58.69,3.7,27.64
GLW,85.47,71.73,83.86,3.33,27.52
TJX,150.32,136.7,147.77,1.83,27.45
CSX,36.19,34.5,34.94,1.8,27.39
PEP,146.91,143.31,145.94,1.5,27.34
MPWR,952.17,863.08,928.24,3.95,26.84
NXPI,226.14,218.28,200.92,3.12,26.79
AZN,90.04,79.31,88.8,1.65,26.73
TER,198.62,127.63,176.5,4.31,26.49
ON,54.79,51.62,48.86,4.18,26.47
ROK,403.92,351.82,382.31,2.15,26.39
FIX,1004.56,751.91,945.41,4.58,25.97
COP,93.13,92.3,88.76,2.41,25.76
FN,471.92,359.25,437.26,5.01,25.69
MNST,73.27,65.41,71.95,1.56,25.68
ADSK,305.83,304.16,298.34,2.54,25.67
CIFR,19.82,11.3,18.01,9.99,25.42
ORLY,99.53,99.15,98.74,1.72,24.85
CDNS,337.41,334.1,316.13,2.48,24.72
CNC,38.84,34.64,37.19,3.72,24.1
ALNY,465.39,418.85,448.87,3.24,23.94
WULF,15.1,9.59,13.39,9.61,23.76
CMI,510.79,403.58,477.11,2.2,23.73
IDXX,717.5,626.51,716.94,2.93,23.39
RKLB,49.4,47.86,46.05,6.27,23.13
BDX,193.68,185.42,189.11,1.73,23.12
HBAN,17.11,16.58,15.9,1.95,23.11
TEVA,28.41,19.37,25.22,2.65,23.02
ELV,333.52,325.66,324.67,2.52,22.73
USB,51.38,47.1,47.88,1.97,22.52
DHI,160.73,152.99,148.17,2.96,22.2
NTRA,241.99,174.83,219.02,2.95,22.13
CDTX,220.36,90.26,177.19,4.01,21.68
INSM,205.02,143.29,198.57,3.1,21.68
APO,136.78,135.83,130.56,2.72,21.6
UPS,94.77,91.6,94.57,2.39,21.16
DAL,67.26,57.32,60.25,3.22,21.12
RF,26.43,25.25,24.97,2.05,21.05
IQV,224.94,192.52,220.96,2.45,20.81
TFC,47.54,44.59,45.37,1.82,20.73
ONON,46.5,45.54,41.02,3.67,20.66
UAL,104.73,95.03,97.08,3.88,20.6
MAR,296.09,271.92,291.99,2.25,20.32
HLT,273.46,267.86,273.25,2.03,20.24
PWR,464.84,406.6,445.64,3.66,20.15
LYFT,22.52,18.27,21.61,4.72,20.0
CRH,121.07,108.49,114.43,2.21,19.74
AAL,14.34,12.37,13.28,3.44,19.7
FDX,274.19,238.89,266.32,1.95,19.68
VALE,13.56,10.76,12.4,1.82,19.66
ARGX,916.17,724.84,896.38,2.07,19.5
HAL,27.84,23.44,26.79,3.07,19.35
FITB,45.49,43.05,42.83,1.96,19.2
LVS,66.43,54.33,65.68,2.64,19.17
FERG,249.64,231.83,245.98,2.03,18.97
FICO,1772.58,1608.22,1747.0,2.63,18.88
KMI,27.84,27.32,26.88,1.93,18.83
TTWO,247.42,241.96,241.92,1.94,18.75
APLD,31.14,20.09,26.67,8.59,18.67
ROST,177.14,148.65,167.48,1.97,18.61
TPR,115.06,105.19,105.93,3.09,18.21
DKS,225.86,215.99,213.82,3.7,17.85
ALB,119.04,86.02,114.27,5.57,17.71
CNQ,34.45,31.75,33.07,2.33,17.56
DVN,37.7,34.03,35.41,2.79,17.51
KEY,19.11,18.09,17.92,2.13,17.35
U,44.14,36.58,40.52,5.0,16.98
ONDS,9.18,5.33,7.07,13.31,16.75
DG,125.25,107.37,104.52,2.86,16.6
EOSE,15.6,9.7,14.65,9.13,16.37
CDE,16.09,13.93,15.15,5.39,16.3
NRG,169.45,160.19,166.65,4.05,16.18
BKR,50.63,45.1,48.65,2.76,16.06
CCJ,94.1,81.63,88.46,3.99,15.91
CORZ,17.07,15.87,16.97,7.26,15.89
ULTA,533.45,515.33,523.32,2.94,15.85
RIOT,15.61,15.23,15.33,7.36,15.84
LUV,35.82,32.61,33.1,2.95,15.84
DLTR,115.84,103.71,105.5,3.27,15.68
MMM,169.25,157.22,168.08,1.84,15.53
PSX,139.43,130.16,137.19,2.68,15.33
CTSH,80.18,72.4,74.73,1.96,15.21
EL,103.88,89.84,91.82,2.69,15.15
CLSK,15.02,12.98,13.15,8.34,14.73
AEM,171.45,147.31,166.44,3.22,14.65
MLM,618.85,600.47,609.62,1.62,14.58
JAZZ,166.94,129.47,158.94,4.0,14.4
ENB,48.18,47.21,47.92,1.58,14.22
FIVE,168.45,145.31,155.25,3.45,14.22
HSY,182.45,180.95,179.32,1.79,14.06
ASTS,72.66,56.52,60.88,7.41,13.97
BTI,58.04,53.5,55.69,1.59,13.96
WAT,396.21,328.39,386.73,2.36,13.71
BBAI,7.03,6.39,6.03,8.41,13.65
OKE,76.14,74.39,70.16,1.89,13.64
BP,37.25,33.91,36.34,1.65,13.6
TRGP,179.9,165.55,170.78,2.41,13.59
GSK,48.58,41.64,47.47,1.73,13.59
AKAM,86.52,78.5,85.94,2.3,13.56
BK,113.97,103.5,109.87,1.78,13.5
CFG,55.88,50.0,52.53,2.22,13.48
LPLA,369.39,357.42,362.69,2.4,13.46
PLD,128.18,114.66,125.66,1.7,13.31
BIIB,182.02,143.49,168.78,2.74,13.27
GEHC,82.52,74.86,76.16,2.67,13.23
PNC,198.18,192.12,187.08,1.85,13.15
NVT,108.32,92.13,106.91,3.7,13.12
INFY,18.3,17.2,17.09,1.95,13.11
PBR,12.89,12.48,12.76,1.9,13.09
EW,85.77,78.98,84.94,1.97,12.9
HUBB,437.76,429.67,436.81,2.37,12.7
EPD,32.61,31.46,31.84,1.53,12.59
ODFL,153.51,147.85,137.02,2.96,12.52
JBHT,187.45,150.69,170.57,2.52,12.45
PCAR,108.5,98.29,100.68,2.34,12.43
KEYS,209.09,170.43,185.77,2.98,12.38
EMR,136.63,134.02,130.55,2.3,12.12
ICLR,185.91,169.01,168.15,4.05,12.09
SN,106.4,104.21,92.57,3.91,12.06
VMC,293.64,285.64,288.99,1.52,11.91
KGC,27.34,21.18,25.67,4.05,11.79
CVE,18.34,16.18,17.78,2.77,11.66
FTAI,175.84,150.75,162.4,4.51,11.61
GMED,88.77,62.87,83.13,2.45,11.42
FOXA,67.78,59.56,65.57,1.87,11.38
PATH,18.48,13.08,14.13,4.7,11.32
PAAS,44.2,34.29,39.12,4.45,11.31
JOBY,15.75,14.88,14.47,5.8,11.31
THC,212.03,186.63,203.94,2.92,11.28
CTRA,27.36,24.57,26.29,2.43,11.21
ZM,86.53,79.73,83.13,3.23,11.17
RIO,73.75,64.5,70.7,1.71,11.14
AA,44.02,33.43,38.67,3.99,11.13
GH,108.52,65.67,101.13,4.58,11.03
TSEM,115.03,65.98,99.13,5.36,11.02
EME,635.5,617.54,622.92,3.24,10.96
WYNN,125.69,116.36,124.74,3.54,10.94
HL,16.83,10.09,14.83,5.73,10.91
HUT,42.83,31.8,40.97,10.11,10.89
