symbol,price,sma_120,sma_22,atr_pct,dollar_vol_m
TSLA,446.82,377.65,425.97,4.37,509.66
GOOGL,319.65,230.55,296.19,3.65,448.03
AAPL,284.16,238.44,273.43,2.01,434.47
PLTR,176.12,166.38,174.66,5.13,223.62
AVGO,380.64,320.8,361.94,4.79,222.99
GOOG,320.59,231.24,296.62,3.59,218.63
MU,234.17,160.77,232.91,6.86,172.33
LLY,1033.36,813.43,1014.09,2.59,156.0
TSM,295.48,260.04,287.91,3.24,125.27
BAC,54.08,49.73,52.82,1.89,124.42
INTC,43.75,29.03,37.47,4.51,113.69
CSCO,77.77,69.71,75.25,2.64,106.32
WMT,114.45,101.15,105.04,2.32,103.93
APP,662.12,503.21,587.4,5.08,99.2
XOM,117.83,112.62,116.67,1.81,87.74
PFE,25.61,24.81,25.13,2.4,84.97
HOOD,133.62,115.41,125.48,6.85,77.47
AMAT,268.68,199.39,236.99,4.28,77.06
UNH,339.79,317.79,324.88,2.63,71.54
LRCX,159.77,121.46,154.55,4.53,69.21
MRK,102.26,85.19,94.34,3.11,69.12
MRVL,100.22,78.83,87.6,5.28,67.31
WFC,89.37,81.91,85.5,2.36,65.73
JPM,312.12,298.85,307.92,2.24,64.17
LITE,302.99,155.21,259.99,9.06,62.51
CVNA,394.86,347.63,332.81,4.95,55.02
SHOP,159.99,141.94,153.94,4.67,53.82
VRT,178.84,148.07,175.05,6.11,53.02
APH,138.6,117.17,137.75,3.49,52.58
QCOM,175.07,162.47,170.16,2.81,52.26
SNOW,265.28,229.32,257.57,4.12,52.24
KLAC,1211.88,1008.53,1170.12,3.56,51.86
ASML,1141.18,876.51,1034.2,3.08,51.8
ABBV,230.34,211.3,226.71,2.51,50.83
TMO,580.45,495.89,578.98,2.15,50.34
B,40.48,28.59,37.03,4.35,49.86
SOFI,29.05,24.69,28.5,6.41,49.71
CAT,591.62,464.87,563.87,2.86,49.04
SCHW,93.99,93.92,93.26,2.18,48.33
C,106.74,95.34,101.11,2.63,47.58
WBD,24.59,16.22,23.11,3.59,45.96
COHR,170.87,111.21,149.23,6.87,45.3
GS,836.65,750.33,798.55,2.68,44.95
MDT,101.97,93.14,97.87,2.15,43.93
ADI,278.2,239.63,241.91,3.03,43.73
BMY,50.99,46.47,47.61,2.79,42.58
DHR,228.46,205.5,220.92,2.17,41.71
ISRG,569.78,498.05,561.24,2.2,41.42
CRDO,189.22,131.12,159.67,8.79,40.87
FCX,44.52,42.41,40.95,3.64,40.24
CEG,361.26,337.65,353.93,4.34,40.13
EXPE,262.38,209.85,248.61,3.21,39.54
ACN,272.99,259.3,247.71,2.42,38.06
REGN,723.12,592.25,707.9,3.28,36.85
EXAS,101.31,58.23,82.27,3.4,36.38
NU,17.44,14.54,16.24,3.22,36.02
AXP,368.14,328.73,359.78,2.35,35.89
AMGN,345.18,298.23,332.2,2.04,35.52
MCD,307.82,302.88,304.73,1.56,35.51
MS,173.76,151.89,164.77,2.54,35.37
NEE,84.94,76.9,84.24,1.98,34.43
LOW,247.0,240.25,234.43,2.49,33.89
MDB,405.86,283.19,351.3,4.91,33.75
NEM,89.68,75.09,86.79,3.55,32.2
PH,869.24,751.94,833.53,1.62,32.15
F,13.11,11.88,13.07,2.25,32.12
GM,74.68,59.03,70.63,2.17,31.62
COF,227.21,215.99,215.19,2.65,31.33
GILD,125.0,116.01,124.29,2.23,30.26
WELL,201.93,171.1,195.99,1.69,30.24
WMB,61.58,59.59,59.66,2.25,30.16
RIVN,17.51,13.82,15.67,5.41,29.36
RKT,19.71,17.12,17.72,4.74,28.93
LEN,133.13,122.69,123.41,2.99,28.7
TJX,150.1,136.48,147.32,1.84,28.1
SLB,37.53,34.98,36.35,2.98,27.86
MPWR,957.27,860.75,930.56,4.08,27.42
EQT,61.18,54.73,58.5,3.49,27.33
PEP,148.07,143.18,145.79,1.52,27.14
HCA,486.88,413.34,483.16,2.31,26.89
VRTX,463.24,421.93,428.53,2.27,26.84
NXPI,227.63,218.15,200.21,3.16,26.81
CSX,35.96,34.46,34.93,1.85,26.8
AZN,90.84,79.18,88.42,1.68,26.77
TER,195.06,126.66,175.79,4.54,26.71
FN,447.7,357.36,435.95,5.68,26.25
CDNS,336.17,333.79,316.03,2.48,26.14
ON,57.13,51.59,48.66,4.02,26.03
MNST,73.98,65.32,71.64,1.62,25.78
TEVA,27.85,19.27,24.86,2.77,25.6
FIX,949.04,747.64,944.14,5.0,25.53
CIFR,18.63,11.16,18.15,10.85,25.33
ROK,400.43,351.1,380.52,2.37,25.28
ADSK,307.17,304.05,298.24,2.53,24.98
VLO,177.06,155.96,176.44,3.42,24.65
CNC,38.82,34.78,36.99,3.8,24.62
BDX,193.58,185.24,188.36,1.83,24.45
ALNY,473.4,417.53,447.45,3.12,23.88
WULF,14.4,9.5,13.44,10.01,23.74
IDXX,725.78,624.88,717.17,2.93,23.69
HBAN,17.05,16.57,15.82,2.01,23.6
CMI,507.9,401.99,473.8,2.33,23.15
NTRA,238.32,174.19,217.03,3.11,22.2
ELV,330.51,326.08,323.75,2.6,21.79
USB,50.93,47.03,47.66,2.04,21.79
DHI,165.02,152.68,147.46,2.75,21.79
CDTX,221.02,88.62,171.84,4.09,21.68
RF,26.21,25.21,24.87,2.08,21.42
INSM,206.82,142.41,197.72,3.07,21.25
LYFT,22.35,18.21,21.54,4.94,20.9
TFC,47.42,44.52,45.22,1.87,20.9
ONON,47.08,45.59,40.57,3.89,20.76
MAR,306.55,271.58,290.53,1.98,20.68
DAL,67.53,57.15,59.85,3.29,20.66
HLT,280.25,267.62,272.6,1.97,20.58
UPS,98.21,91.64,94.54,2.1,20.37
PWR,456.63,405.72,445.0,3.85,20.31
TTWO,244.98,241.82,242.3,1.94,19.77
CRH,121.36,108.23,114.31,2.25,19.66
U,44.61,36.41,40.22,5.28,19.64
ARGX,922.01,722.02,892.28,2.07,19.59
AAL,14.56,12.34,13.24,3.42,19.57
VALE,13.31,10.73,12.34,1.83,19.45
UAL,108.51,94.78,96.69,3.75,19.26
FDX,270.5,238.48,265.36,1.84,19.2
ROST,178.01,148.27,166.75,1.92,19.19
FITB,44.94,42.98,42.65,2.04,19.1
HAL,27.42,23.4,26.76,3.14,19.09
FICO,1762.6,1608.36,1741.55,2.76,19.06
LVS,66.87,54.11,65.47,2.63,18.65
FERG,252.82,231.53,245.89,2.19,18.57
