period,model,basis,top_k,share_of_net_profit,share_of_gross_profit,top_tickers,net_profit_usd,net_profit_ex_top_k_usd
dev,FINAL,per-stock $10K strategy P&L,5,0.5054793890500707,0.2745027502547421,LLY COP OXY MPC EOG,81946.58883949315,40524.27717816881
dev,FINAL,per-stock $10K strategy P&L,10,0.8485263061646504,0.46079584994240286,LLY COP OXY MPC EOG AAPL XOM COST NOW ADBE,81946.58883949315,12412.752508724661
dev,FINAL,per-stock $10K strategy P&L,20,1.2725008948105594,0.6910370687587385,LLY COP OXY MPC EOG AAPL XOM COST NOW ADBE FCX UPS ABBV GM CVX NVDA DE BAC PYPL PFE,81946.58883949315,-22330.518785434877
dev,SPY_only,per-stock $10K strategy P&L,5,0.5229212890479059,0.2646462001580535,OXY EOG FCX COP COST,60785.285041236355,28999.36543232865
dev,SPY_only,per-stock $10K strategy P&L,10,0.8318586279266745,0.4209968680952254,OXY EOG FCX COP COST UPS GM PFE XOM LLY,60785.285041236355,10220.52122870167
dev,SPY_only,per-stock $10K strategy P&L,20,1.3207732019169625,0.6684325470747623,OXY EOG FCX COP COST UPS GM PFE XOM LLY CDNS AAPL CRM ABBV MPC ADBE BAC PYPL SPG INTU,60785.285041236355,-19498.29051211263
oos,FINAL,per-stock $10K strategy P&L,5,0.6149232573462726,0.4664025578082557,WDC MU INTC AMD NFLX,235925.58559894064,90849.45601111319
oos,FINAL,per-stock $10K strategy P&L,10,0.8350403400400255,0.6333553753495939,WDC MU INTC AMD NFLX CAT META GOOGL NVDA IBM,235925.58559894064,38918.20437625912
oos,FINAL,per-stock $10K strategy P&L,20,1.0883411048846137,0.825477112829718,WDC MU INTC AMD NFLX CAT META GOOGL NVDA IBM AMAT AVGO MS MPC JPM GS COST LLY CMG WMT,235925.58559894064,-20841.926902359904
oos,SPY_only,per-stock $10K strategy P&L,5,0.6440060630046015,0.46905265591209544,WDC MU INTC AMD GOOGL,198884.4448662691,70801.65653508742
oos,SPY_only,per-stock $10K strategy P&L,10,0.8634345776908888,0.6288702935229294,WDC MU INTC AMD GOOGL NVDA CAT IBM META AMAT,198884.4448662691,27160.738203875168
oos,SPY_only,per-stock $10K strategy P&L,20,1.1241011223944368,0.818723063744061,WDC MU INTC AMD GOOGL NVDA CAT IBM META AMAT MPC NFLX RTX MS JPM LLY COST AVGO CSCO WMT,198884.4448662691,-24681.782834698504
