,equity
2023-01-02,50000.0
2023-01-03,49747.53635328258
2023-01-04,50429.26550996412
2023-01-05,50047.956723739975
2023-01-06,51271.567186282635
2023-01-09,51250.07512082156
2023-01-10,51635.862380992796
2023-01-11,52141.89893369927
2023-01-12,52487.302732457974
2023-01-13,52618.31045750525
2023-01-17,52431.393536963595
2023-01-18,51596.46946044397
2023-01-19,51274.438292696286
2023-01-20,52212.71754361175
2023-01-23,52867.4035503866
2023-01-24,52741.114999205965
2023-01-25,52853.30772604344
2023-01-26,53309.169696714285
2023-01-27,53323.45745941618
2023-01-30,52698.51907285386
2023-01-31,53384.32239496248
2023-02-01,53949.43226441082
2023-02-02,54489.3612571806
2023-02-03,53842.18519722762
2023-02-06,53518.59400049081
2023-02-07,54114.19154519822
2023-02-08,53509.81708435029
2023-02-09,53072.927758087775
2023-02-10,53246.149631653
2023-02-13,53721.58213825459
2023-02-14,53786.57095890818
2023-02-15,53794.085713642744
2023-02-16,53038.05266765929
2023-02-17,52851.934458913645
2023-02-21,51851.11338438454
2023-02-22,51689.96406212108
2023-02-23,51895.84264754261
2023-02-24,51305.21732609872
2023-02-27,51444.444387890144
2023-02-28,51287.83409793355
2023-03-01,51228.57648607839
2023-03-02,51682.538332243676
2023-03-03,52427.947477066504
2023-03-06,52352.085896779405
2023-03-07,51504.70849693039
2023-03-08,51666.847225305355
2023-03-09,50703.50654710539
2023-03-10,50025.25195816049
2023-03-13,49791.2256321235
2023-03-14,50544.859850071625
2023-03-15,50073.754273913415
2023-03-16,50905.20381988049
2023-03-17,50416.19202331531
2023-03-20,50900.85430877961
2023-03-21,51439.787853859554
2023-03-22,50577.380108839876
2023-03-23,50764.47972454666
2023-03-24,50930.6101617451
2023-03-27,51158.821840342905
2023-03-28,51137.14165603866
2023-03-29,51942.02431145121
2023-03-30,52240.838300547286
2023-03-31,52947.74407222285
2023-04-03,53217.91837756715
2023-04-04,52860.551012459444
2023-04-05,52794.49490823653
2023-04-06,52843.307967026274
2023-04-10,53051.89764858043
2023-04-11,53148.077990725775
2023-04-12,52855.56190357987
2023-04-13,53460.837673966176
2023-04-14,53338.5078400004
2023-04-17,53533.80988896507
2023-04-18,53607.628351913256
2023-04-19,53512.10461048243
2023-04-20,53113.62113866085
2023-04-21,53137.25323249797
2023-04-24,53194.82496332814
2023-04-25,52274.32384571444
2023-04-26,51977.05189788697
2023-04-27,52891.003806917346
2023-04-28,53513.059674836615
2023-05-01,53465.041871209025
2023-05-02,52693.55730104676
2023-05-03,52156.171569407736
2023-05-04,51740.32129034058
2023-05-05,52577.55159358871
2023-05-08,52636.148648683906
2023-05-09,52399.838501820566
2023-05-10,52440.10565623599
2023-05-11,52199.5002300902
2023-05-12,52103.62228686096
2023-05-15,52453.38022274549
2023-05-16,51947.66540363561
2023-05-17,52744.77927720792
2023-05-18,53329.17212819863
2023-05-19,53180.74841326625
2023-05-22,53102.46257650949
2023-05-23,52596.844233146876
2023-05-24,52156.8249124122
2023-05-25,52568.695177524896
2023-05-26,53357.55403925565
2023-05-30,53358.67275848998
2023-05-31,53035.605627956036
2023-06-01,53468.97291725203
2023-06-02,54284.13766076375
2023-06-05,54120.23751687498
2023-06-06,54302.69493434914
2023-06-07,54277.31542056986
2023-06-08,54588.55702488985
2023-06-09,54643.5245396864
2023-06-12,55201.11617940212
2023-06-13,55585.623799926354
2023-06-14,55691.47576932214
2023-06-15,56305.242313232884
2023-06-16,56081.611398875946
2023-06-20,55647.540730055734
2023-06-21,55291.326528919984
2023-06-22,55235.862835814085
2023-06-23,54778.50377513266
2023-06-26,54767.8796488409
2023-06-27,55446.857189168455
2023-06-28,55400.20362306928
2023-06-29,55629.03900222764
2023-06-30,56182.221537605765
2023-07-03,56391.52964747766
2023-07-05,56241.22932583972
2023-07-06,55600.5475305014
2023-07-07,55542.62940101777
2023-07-10,55933.80480527421
2023-07-11,56435.24403615276
2023-07-12,56874.93035561817
2023-07-13,57318.07056163007
2023-07-14,57091.20215661505
2023-07-17,57196.44374828204
2023-07-18,57664.27866563844
2023-07-19,57903.5487294003
2023-07-20,57638.11419858015
2023-07-21,57703.58711854895
2023-07-24,57931.38171751244
2023-07-25,57994.4620372814
2023-07-26,58064.59158540341
2023-07-27,57837.67130358008
2023-07-28,58323.35628473469
2023-07-31,58556.20485710863
2023-08-01,58463.13215756075
2023-08-02,57609.41495247528
2023-08-03,57323.7610457975
2023-08-04,57233.49256088613
2023-08-07,57815.758074849495
2023-08-08,57597.85781901597
2023-08-09,57231.48615401877
2023-08-10,57258.584154217126
2023-08-11,57211.80001494061
2023-08-14,57586.958833212215
2023-08-15,56883.79124723095
2023-08-16,56348.173523230675
2023-08-17,55982.26080104605
2023-08-18,56006.084854274115
2023-08-21,56278.78564201189
2023-08-22,56060.15848614386
2023-08-23,56614.640403387086
2023-08-24,55839.62282198653
2023-08-25,56208.897402142764
2023-08-28,56640.60722639481
2023-08-29,57421.648211039545
2023-08-30,57619.02778022282
2023-08-31,57618.163461176635
2023-09-01,57851.79573801179
2023-09-05,57575.346719141875
2023-09-06,57327.76520485807
2023-09-07,57145.1540481197
2023-09-08,57230.24260264008
2023-09-11,57465.757974548374
2023-09-12,57228.67481790373
2023-09-13,57269.763938196855
2023-09-14,57798.76238911366
2023-09-15,57092.896509065766
2023-09-18,57109.09986335803
2023-09-19,56885.48127833762
2023-09-20,56492.290577628846
2023-09-21,55565.379314696744
2023-09-22,55462.208741123126
2023-09-25,55627.16014681504
2023-09-26,54902.60867782733
2023-09-27,54898.973008042565
2023-09-28,55259.40122991522
2023-09-29,55102.9415782621
2023-10-02,54914.63653206458
2023-10-03,54166.12751810717
2023-10-04,54406.126350266124
2023-10-05,54324.36463616327
2023-10-06,54962.355310757004
2023-10-09,55299.54447702321
2023-10-10,55637.46011353786
2023-10-11,55831.68800418988
