,equity
2023-01-02,50000.0
2023-01-03,49223.900350081625
2023-01-04,49458.39578127733
2023-01-05,48684.16687952765
2023-01-06,50027.91026988349
2023-01-09,50351.7550290863
2023-01-10,50777.95100618533
2023-01-11,51656.42849033566
2023-01-12,51935.59849047657
2023-01-13,52292.93173318255
2023-01-17,52399.02539799958
2023-01-18,51717.8415024736
2023-01-19,51209.75181323978
2023-01-20,52611.200940399256
2023-01-23,53779.999528662716
2023-01-24,53670.192885010874
2023-01-25,53551.08554307032
2023-01-26,54595.19572402332
2023-01-27,55138.65966414702
2023-01-30,54023.82436576638
2023-01-31,54833.41592128824
2023-02-01,56005.95106285531
2023-02-02,58016.00209846233
2023-02-03,56984.911488250065
2023-02-06,56502.87805099921
2023-02-07,57673.550809531676
2023-02-08,56648.05894554094
2023-02-09,56147.40719132783
2023-02-10,55778.89946029752
2023-02-13,56672.247110988785
2023-02-14,57091.010856567606
2023-02-15,57528.38132199097
2023-02-16,56448.9086773825
2023-02-17,56050.61403468282
2023-02-21,54723.6149811369
2023-02-22,54764.55889039569
2023-02-23,55242.885052312246
2023-02-24,54317.87631968261
2023-02-27,54706.86475070977
2023-02-28,54636.13963328211
2023-03-01,54196.918381941854
2023-03-02,54645.44014145412
2023-03-03,55775.168800611114
2023-03-06,55838.438492283145
2023-03-07,55153.54161792234
2023-03-08,55428.99255549455
2023-03-09,54468.63884994434
2023-03-10,53703.71045636666
2023-03-13,54101.97601121372
2023-03-14,55345.23627020847
2023-03-15,55635.56345805549
2023-03-16,57102.16215065652
2023-03-17,56832.29246857092
2023-03-20,57033.995623559575
2023-03-21,57848.57089783083
2023-03-22,57061.96083716468
2023-03-23,57738.60170441433
2023-03-24,57951.102156226625
2023-03-27,57554.05486908942
2023-03-28,57248.35845840648
2023-03-29,58292.20741903591
2023-03-30,58843.96824135779
2023-03-31,59822.5921602222
2023-04-03,59677.20232744495
2023-04-04,59475.87636395698
2023-04-05,58888.71828662648
2023-04-06,59285.74237952825
2023-04-10,59252.19572031984
2023-04-11,58871.93326484621
2023-04-12,58351.87991293357
2023-04-13,59494.51787515466
2023-04-14,59382.68040508634
2023-04-17,59433.01189595833
2023-04-18,59436.730958527034
2023-04-19,59408.77734203963
2023-04-20,58955.82301204433
2023-04-21,59017.33469474117
2023-04-24,58894.29973222979
2023-04-25,57783.3401525653
2023-04-26,58133.77482128253
2023-04-27,59714.491243457494
2023-04-28,60126.437784988244
2023-05-01,60057.458889301386
2023-05-02,59533.674877702324
2023-05-03,59144.08890993794
2023-05-04,58935.319117812054
2023-05-05,60187.95536130228
2023-05-08,60337.06406653154
2023-05-09,59954.939418139984
2023-05-10,60607.35143497145
2023-05-11,60804.9410352725
2023-05-12,60586.841837238666
2023-05-15,60914.90452518849
2023-05-16,60983.894827876386
2023-05-17,61722.04737782287
2023-05-18,62868.433490465286
2023-05-19,62726.75093302235
2023-05-22,62937.40059891775
2023-05-23,62139.58125857412
2023-05-24,61820.84227303173
2023-05-25,63325.124183647524
2023-05-26,64943.11773460063
2023-05-30,65237.62216622433
2023-05-31,64866.683413158134
2023-06-01,65616.02223866335
2023-06-02,66108.12786770581
2023-06-05,66154.7228052742
2023-06-06,66143.55421056705
2023-06-07,65021.391054725624
2023-06-08,65828.51679685846
2023-06-09,66080.17425121841
2023-06-12,67196.72687360393
2023-06-13,67713.06705656507
2023-06-14,68205.16679199033
2023-06-15,69017.9028774624
2023-06-16,68583.57256792985
2023-06-20,68485.39270019312
2023-06-21,67552.10476621691
2023-06-22,68349.14101593991
2023-06-23,67671.55431818831
2023-06-26,66764.39811251852
2023-06-27,67912.32740228344
2023-06-28,68044.87770481953
2023-06-29,67908.61423333193
2023-06-30,68955.78187079396
2023-07-03,69118.17136708749
2023-07-05,69116.30309043569
2023-07-06,68589.91410003504
2023-07-07,68362.18948441657
2023-07-10,68384.59055303659
2023-07-11,68722.45261533675
2023-07-12,69590.42273060624
2023-07-13,70771.97415590304
2023-07-14,70757.02832292196
2023-07-17,71417.80680465787
2023-07-18,72002.0640816268
2023-07-19,71985.26175922832
2023-07-20,70325.86592769175
2023-07-21,70114.93793097125
2023-07-24,70226.93776068754
2023-07-25,70702.90248327448
2023-07-26,70467.72814540088
2023-07-27,70299.7283057681
2023-07-28,71580.21949518683
2023-07-31,71617.54301243582
2023-08-01,71451.41734307205
2023-08-02,69883.48835916686
2023-08-03,69771.47103871567
2023-08-04,69444.83574682788
2023-08-07,70032.80029913112
2023-08-08,69437.36283033734
2023-08-09,68673.931415528
2023-08-10,68800.85369387326
2023-08-11,68362.18948441657
2023-08-14,69129.36315603004
2023-08-15,68395.79983271405
2023-08-16,67671.55431818831
2023-08-17,66932.38065153308
2023-08-18,66848.38063665834
2023-08-21,67925.41655573042
2023-08-22,67828.35077176082
2023-08-23,68897.90788072515
2023-08-24,67425.17659425444
2023-08-25,67947.81192084993
2023-08-28,68459.26097188669
2023-08-29,69954.40511421181
2023-08-30,70344.51903600713
2023-08-31,70555.45292634483
2023-09-01,70480.77661387753
2023-09-05,70570.3753749738
2023-09-06,69948.80617787359
2023-09-07,69448.55480939659
2023-09-08,69545.6205933662
2023-09-11,70365.05772159254
2023-09-12,69584.812387267
2023-09-13,69849.87211725218
2023-09-14,70421.05773150903
2023-09-15,69215.2312574399
2023-09-18,69287.3778773124
2023-09-19,69139.71367864673
2023-09-20,68143.38229185222
2023-09-21,66894.6799427834
2023-09-22,66904.03824642728
2023-09-25,67221.80839734898
2023-09-26,66212.39375072469
2023-09-27,66367.54816649912
2023-09-28,66922.7204425953
2023-09-29,66971.32871584523
2023-10-02,67530.24914236274
2023-10-03,66345.11230652596
2023-10-04,67247.98081062576
2023-10-05,67049.83435855784
2023-10-06,68173.28536481541
2023-10-09,68520.98159281904
2023-10-10,68900.44917043766
2023-10-11,69392.0616368023
2023-10-12,69150.92295832421
2023-10-13,68281.71119099275
2023-10-16,69053.72960605976
2023-10-17,68827.54246406326
2023-10-18,67924.65646922855
2023-10-19,67289.11635750184
2023-10-20,66285.30616059959
2023-10-23,66485.2976950839
2023-10-24,67132.08206795789
2023-10-25,65488.97790540709
2023-10-26,64240.28125983878
2023-10-27,64548.72181473585
2023-10-30,65275.87991685757
2023-10-31,65588.03953432334
2023-11-01,66726.4479706797
2023-11-02,67937.75721979325
2023-11-03,68735.94785802036
2023-11-06,69016.342209605
2023-11-07,69668.72532870053
2023-11-08,69713.59134514634
2023-11-09,69177.09537160097
2023-11-10,70732.36448553122
2023-11-13,70511.77038625574
2023-11-14,72029.64640023072
2023-11-15,72083.85341970218
2023-11-16,72145.5392492814
2023-11-17,72162.3647659153
2023-11-20,73040.92913339013
2023-11-21,72616.59553932572
2023-11-22,72913.8211110448
