,equity
2023-01-02,50000.0
2023-01-03,49538.206970007486
2023-01-04,49920.65256539976
2023-01-05,49350.88598534495
2023-01-06,50482.60706372029
2023-01-09,50453.984766946596
2023-01-10,50807.81638485056
2023-01-11,51450.42294537683
2023-01-12,51637.74379365764
2023-01-13,51838.067003077114
2023-01-17,51743.122544972066
2023-01-18,50926.18904163655
2023-01-19,50555.45945492894
2023-01-20,51497.25833995267
2023-01-23,52115.15484994099
2023-01-24,52059.20861043964
2023-01-25,52078.73697362204
2023-01-26,52651.08826017689
2023-01-27,52772.06621710377
2023-01-30,52109.95229618114
2023-01-31,52876.138022323335
2023-02-01,53438.09252064386
2023-02-02,54215.986072567066
2023-02-03,53639.72253977647
2023-02-06,53311.91200995714
2023-02-07,54009.14518038923
2023-02-08,53418.58502386577
2023-02-09,52955.487366267764
2023-02-10,53079.06244043187
2023-02-13,53702.157276346494
2023-02-14,53677.44722580855
2023-02-15,53851.76189426234
2023-02-16,53110.28199082453
2023-02-17,52977.600299568476
2023-02-21,51914.82332123614
2023-02-22,51843.28196757417
2023-02-23,52119.054685439536
2023-02-24,51562.302740878855
2023-02-27,51737.91167192684
2023-02-28,51546.686760313925
2023-03-01,51348.95657667986
2023-03-02,51748.31677944654
2023-03-03,52578.24418825362
2023-03-06,52614.66615602439
2023-03-07,51808.1503073275
2023-03-08,51892.710387935425
2023-03-09,50935.295522346765
2023-03-10,50200.32511876367
2023-03-13,50128.77953726814
2023-03-14,50957.40845564747
2023-03-15,50638.70440653835
2023-03-16,51527.17503570229
2023-03-17,50924.67820485904
2023-03-20,51414.35461542552
2023-03-21,52089.44593963067
2023-03-22,51201.50788111271
2023-03-23,51339.91665025268
2023-03-24,51676.81293075965
2023-03-27,51773.45547775409
2023-03-28,51657.23056041314
2023-03-29,52408.05834021889
2023-03-30,52714.92977426632
2023-03-31,53457.92051448164
2023-04-03,53661.62735456098
2023-04-04,53363.90413403239
2023-04-05,53224.18869156102
2023-04-06,53431.807914257835
2023-04-10,53486.646870513425
2023-04-11,53501.01427636287
2023-04-12,53282.94834971946
2023-04-13,53990.690686929345
2023-04-14,53858.79564547764
2023-04-17,54052.064237277504
2023-04-18,54087.3125039012
2023-04-19,54078.1768375013
2023-04-20,53783.071600614254
2023-04-21,53824.85841640063
2023-04-24,53881.00854658462
2023-04-25,53025.71754600132
2023-04-26,52801.100659458025
2023-04-27,53852.27373488573
2023-04-28,54311.900341136534
2023-05-01,54257.06547633277
2023-05-02,53647.26417654508
2023-05-03,53279.02355636477
2023-05-04,52901.65968052177
2023-05-05,53881.00854658462
2023-05-08,53895.35508602976
2023-05-09,53659.01359875298
