,equity
2023-01-02,50000.0
2023-01-03,50000.0
2023-01-04,49870.20615575499
2023-01-05,49833.9344315195
2023-01-06,49684.61813440903
2023-01-09,49124.34047628769
2023-01-10,49059.350374124406
2023-01-11,49283.13050412439
2023-01-12,49132.3868719394
2023-01-13,49189.1166321769
2023-01-17,49430.26702217689
2023-01-18,49397.11741217689
2023-01-19,49363.96676217689
2023-01-20,49774.1166321769
2023-01-23,50319.14807021069
2023-01-24,50304.96697881457
2023-01-25,49766.06932480913
2023-01-26,49936.93924182269
2023-01-27,49778.85828983378
2023-01-30,49454.99572163378
2023-01-31,49648.50228043378
2023-02-01,49970.07916763378
2023-02-02,50015.572558790336
2023-02-03,49558.00810130784
2023-02-06,49429.00292944169
2023-02-07,49585.920794328085
2023-02-08,49033.5301578002
2023-02-09,48800.62025157999
2023-02-10,48806.37228017998
2023-02-13,49150.510128929986
2023-02-14,49778.07539415499
2023-02-15,49894.57822115498
2023-02-16,49286.802402187786
2023-02-17,49275.10285718778
2023-02-21,49158.75233718778
2023-02-22,49245.85305218779
2023-02-23,49416.802402187786
2023-02-24,49370.17423391134
2023-02-27,49242.101147951944
2023-02-28,49136.688842153206
2023-03-01,49172.4082530833
2023-03-02,49354.93283559614
2023-03-03,50147.7421268782
2023-03-06,50163.17862930415
2023-03-07,49500.54561391428
2023-03-08,49835.40061228597
2023-03-09,48719.20427642388
2023-03-10,48662.06037133369
2023-03-13,48701.06076133369
2023-03-14,49153.597624484384
2023-03-15,48409.57014641134
2023-03-16,48846.9625402298
2023-03-17,48384.81904780205
2023-03-20,48570.26670305059
2023-03-21,48935.03881101395
2023-03-22,48458.33529210775
2023-03-23,48608.902496538954
2023-03-24,48294.54093658819
2023-03-27,48345.89145658819
2023-03-28,48216.5411315882
2023-03-29,48393.3411965882
2023-03-30,48458.99087158819
2023-03-31,48659.1909365882
2023-04-03,48743.69113158819
2023-04-04,48751.49087158819
2023-04-05,48494.74106658819
2023-04-06,48557.14145658819
2023-04-10,48887.99126158819
2023-04-11,49124.357842172394
2023-04-12,48997.446463443004
2023-04-13,49277.767662937105
2023-04-14,49117.868182937105
2023-04-17,49027.5182479371
2023-04-18,49067.1682479371
2023-04-19,49060.6678579371
2023-04-20,49064.5677279371
2023-04-21,49160.265540107146
2023-04-24,48469.25721635656
2023-04-25,47703.514952738
2023-04-26,47674.15550910701
2023-04-27,47739.554859223004
2023-04-28,48298.943805642666
2023-05-01,48256.21651644605
2023-05-02,46737.14926327117
2023-05-03,46590.412641026065
2023-05-04,46627.73191408916
2023-05-05,46889.39945882578
2023-05-08,47132.00350630017
2023-05-09,46957.26136119942
2023-05-10,47114.08566122237
2023-05-11,47177.32118182237
2023-05-12,46943.250376822376
2023-05-15,47152.085152548374
2023-05-16,46981.38983269797
2023-05-17,47246.93436885027
2023-05-18,47626.08207915613
2023-05-19,47369.462246033225
2023-05-22,47107.076433138216
2023-05-23,46716.75906722859
2023-05-24,46593.557747133185
2023-05-25,47353.81084144919
2023-05-26,47976.541449303084
2023-05-30,47585.03171140605
2023-05-31,47530.46659750225
2023-06-01,47737.29412539369
2023-06-02,47937.93114537865
2023-06-05,47671.84470849575
2023-06-06,47763.674202729366
2023-06-07,47225.47170189231
2023-06-08,47947.10799948671
2023-06-09,48274.88508054386
2023-06-12,48557.127353655815
2023-06-13,48220.437895164614
2023-06-14,48444.840958464614
2023-06-15,48359.182892130324
2023-06-16,47824.88342533032
2023-06-20,47589.50867823032
2023-06-21,46995.10666873031
2023-06-22,47097.968555997715
2023-06-23,47085.95381599772
2023-06-26,46831.570425525715
2023-06-27,46877.78301657273
2023-06-28,47147.34420349527
2023-06-29,46731.20671859528
2023-06-30,46937.79242493982
2023-07-03,47013.92071243982
2023-07-05,47002.15186603982
2023-07-06,46885.278869039816
2023-07-07,46596.78356903982
2023-07-10,46617.97613043012
2023-07-11,46712.79235763922
2023-07-12,46735.06095043922
2023-07-13,47034.11815453922
2023-07-14,47176.71420953272
2023-07-17,46890.99428488272
2023-07-18,46622.72865967073
2023-07-19,46562.97016819093
2023-07-20,46527.424786504074
