,equity
2023-01-02,50000.0
2023-01-03,50000.0
2023-01-04,50297.83229595855
2023-01-05,50185.41289802361
2023-01-06,51369.6568776178
2023-01-09,51036.43847335901
2023-01-10,51435.91227668782
2023-01-11,52003.569899227885
2023-01-12,52174.53293967748
2023-01-13,52445.02332967748
2023-01-17,51969.65732437747
2023-01-18,51076.39603420626
2023-01-19,50693.25398983279
2023-01-20,51526.03365084854
2023-01-23,52107.246894821044
2023-01-24,52120.26549136029
2023-01-25,52205.65045323575
2023-01-26,52412.52246823574
2023-01-27,52175.335602835745
2023-01-30,51451.196115735744
2023-01-31,51547.442616641885
2023-02-01,51563.33195617512
2023-02-02,51330.76848669348
2023-02-03,50891.731488973404
2023-02-06,50643.78653358916
2023-02-07,50732.348885483
2023-02-08,50129.43811986929
2023-02-09,49694.39209099366
2023-02-10,49473.68579795563
2023-02-13,49905.25651253952
2023-02-14,50097.965958139524
2023-02-15,50184.041057039525
2023-02-16,49475.93804099742
2023-02-17,49326.72228468476
2023-02-21,48392.86362404904
2023-02-22,48108.25435048331
2023-02-23,48177.54804009422
2023-02-24,48039.52837259048
2023-02-27,48098.94745288069
2023-02-28,47749.71062101
2023-03-01,47822.28741459751
2023-03-02,48006.8395310975
2023-03-03,48781.1056306975
2023-03-06,48643.4601869975
2023-03-07,47961.36284512098
2023-03-08,48048.29297346085
2023-03-09,47365.1069602701
2023-03-10,46791.09453664352
2023-03-13,46914.290446186744
2023-03-14,48318.06630153679
2023-03-15,48128.624598253155
2023-03-16,49399.31682756621
2023-03-17,48830.11711269636
2023-03-20,49358.98362409636
2023-03-21,49467.265336878656
2023-03-22,48946.39801527867
2023-03-23,49805.36632487867
2023-03-24,49586.467569278655
2023-03-27,49253.86557427866
2023-03-28,49044.36090613076
2023-03-29,49694.97569308152
2023-03-30,50181.43751738152
2023-03-31,50925.688045881514
2023-04-03,51087.98379708151
2023-04-04,50829.22438008151
2023-04-05,50214.75223274052
2023-04-06,50293.238904656915
2023-04-10,50526.61371998807
2023-04-11,50471.820996888055
2023-04-12,50117.39337974561
2023-04-13,50962.17275735116
2023-04-14,50927.673483032195
2023-04-17,50929.40002983734
2023-04-18,51184.643755265846
2023-04-19,51204.24273336584
2023-04-20,50886.90737006585
2023-04-21,50916.860796765846
2023-04-24,50959.913615667596
2023-04-25,49970.37702157556
2023-04-26,50727.75982711008
2023-04-27,51087.901457658634
2023-04-28,51536.37090414523
2023-05-01,51481.04724894524
2023-05-02,51226.914805509776
2023-05-03,50537.90647557794
2023-05-04,50301.67213339709
2023-05-05,51026.182098724144
2023-05-08,51086.95147852415
2023-05-09,50802.98929222415
2023-05-10,50970.79510008108
2023-05-11,50934.66179587573
2023-05-12,50829.66616037574
2023-05-15,50783.00141129953
2023-05-16,50637.147293169415
2023-05-17,50914.86596367512
2023-05-18,51574.473558227124
2023-05-19,51523.62850524298
2023-05-22,51131.20051705871
2023-05-23,50145.74962361856
2023-05-24,50131.763804816066
2023-05-25,51537.53433959507
2023-05-26,52722.55521549507
2023-05-30,53293.269817595065
2023-05-31,53123.54583069506
2023-06-01,53326.84252399505
2023-06-02,53380.904487595064
2023-06-05,53364.969110895065
2023-06-06,53196.44518369506
2023-06-07,52392.25725939507
2023-06-08,52994.665929437455
2023-06-09,53286.11670652394
2023-06-12,54249.045721823946
2023-06-13,54808.39800203491
2023-06-14,55550.71877957481
2023-06-15,56235.08255488092
2023-06-16,55670.61506278091
2023-06-20,55456.211587480924
2023-06-21,54905.62971317229
2023-06-22,55191.52458523554
2023-06-23,54666.92503808638
2023-06-26,54239.43810918638
2023-06-27,55085.362371706535
2023-06-28,55054.63950550654
2023-06-29,55264.578363606546
2023-06-30,56145.55158660654
2023-07-03,55986.74441470654
2023-07-05,55687.57853010654
2023-07-06,55191.28379187967
2023-07-07,54847.63971032067
2023-07-10,55090.004000345325
2023-07-11,55362.42595459422
2023-07-12,55848.76443179422
2023-07-13,56399.28897849612
2023-07-14,55983.19498999611
2023-07-17,56658.813054296115
2023-07-18,57354.066433091575
2023-07-19,57478.212657491575
2023-07-20,56113.51908970541
