,equity
2023-01-02,50000.0
2023-01-03,50000.0
2023-01-04,50227.488637748604
2023-01-05,50062.3945972933
2023-01-06,51241.72636883976
2023-01-09,50826.17016649709
2023-01-10,51218.71675097094
2023-01-11,51735.61268916229
2023-01-12,51970.49783156229
2023-01-13,52223.62758386229
2023-01-17,51805.79577096228
2023-01-18,50907.28110531023
2023-01-19,50413.19281319916
2023-01-20,51222.77748556399
2023-01-23,51726.04678996878
2023-01-24,51787.27636748286
2023-01-25,51977.34636311136
2023-01-26,52275.69900772341
2023-01-27,52111.72984002046
2023-01-30,51407.98634995987
2023-01-31,51561.51233464991
2023-02-01,51794.005043401885
2023-02-02,51488.80118356923
2023-02-03,50931.743366814284
2023-02-06,50626.55545529438
2023-02-07,50796.208963449506
2023-02-08,50073.65745806882
2023-02-09,49720.5801629704
2023-02-10,49630.487553209525
2023-02-13,50067.72227508868
2023-02-14,50459.94111648867
2023-02-15,50621.99465268866
2023-02-16,49807.630263223
2023-02-17,49543.245281816395
2023-02-21,48598.19314504063
2023-02-22,48391.408273102395
2023-02-23,48535.77877159801
2023-02-24,48211.04418950954
2023-02-27,48221.59160068684
2023-02-28,47900.499778840516
2023-03-01,48052.87543872798
2023-03-02,48203.23294602797
2023-03-03,48923.243244327976
2023-03-06,48842.47293172797
2023-03-07,48171.47760937974
2023-03-08,48183.747856958544
2023-03-09,47431.84797901345
2023-03-10,46780.28694754343
2023-03-13,46825.533706115515
2023-03-14,48297.93405864301
2023-03-15,48141.591236506516
2023-03-16,49387.0179845539
2023-03-17,48856.23273501636
2023-03-20,49203.38500574247
2023-03-21,49418.76414304161
2023-03-22,48910.84278933654
2023-03-23,49726.43909114979
2023-03-24,49499.60584454979
2023-03-27,49322.118029149795
2023-03-28,49156.13319445814
2023-03-29,49864.226437758145
2023-03-30,50231.06405625814
2023-03-31,50990.189436858134
2023-04-03,51168.69690725814
2023-04-04,50883.66198685814
2023-04-05,50272.77005519359
2023-04-06,50443.569720822954
2023-04-10,50777.56157998465
2023-04-11,50654.79454858465
2023-04-12,50305.358832612605
2023-04-13,51138.24972449856
2023-04-14,51046.22504597627
2023-04-17,50911.37526230503
2023-04-18,51173.09001388127
2023-04-19,51146.02760998128
2023-04-20,50787.967480081265
2023-04-21,50706.89268826258
2023-04-24,50764.04664933747
2023-04-25,49702.21362091654
2023-04-26,50030.587355857446
2023-04-27,50258.47970396827
2023-04-28,50728.47621200052
2023-05-01,50866.265475700515
2023-05-02,50572.87347759031
2023-05-03,50022.890339404534
2023-05-04,49785.36513415944
2023-05-05,50392.43458424288
2023-05-08,50361.176851442884
2023-05-09,50025.49983784289
2023-05-10,50237.88360234593
2023-05-11,50231.44264694594
2023-05-12,50203.491812345936
2023-05-15,50090.43756379793
2023-05-16,49943.98264034043
2023-05-17,50077.82911414857
2023-05-18,50662.3322686344
2023-05-19,50627.23622943959
2023-05-22,50242.49677386547
2023-05-23,49377.71856493915
2023-05-24,49131.77579227403
2023-05-25,50533.48959390957
2023-05-26,51957.42677974957
2023-05-30,52209.82872754957
2023-05-31,52072.99232204956
2023-06-01,52314.45132014957
2023-06-02,52655.65275264958
2023-06-05,52552.59355184956
2023-06-06,52361.91984444957
2023-06-07,51431.155412979264
2023-06-08,52171.46394810967
2023-06-09,52489.48651586636
2023-06-12,53744.76891826637
2023-06-13,54045.964271066376
2023-06-14,54703.71362716118
2023-06-15,55471.31673378317
2023-06-16,54959.663391183174
2023-06-20,54596.51091247056
2023-06-21,54043.01855249032
2023-06-22,54301.49432874246
2023-06-23,53884.97588492427
2023-06-26,53376.12153758623
2023-06-27,54368.474808942236
2023-06-28,54175.32940874223
2023-06-29,54414.49022565348
2023-06-30,55116.85746315349
2023-07-03,54882.82069382458
2023-07-05,54671.76439902458
2023-07-06,54299.44298370004
2023-07-07,54020.74718779659
2023-07-10,54372.15392632179
2023-07-11,54671.600090743144
2023-07-12,55066.98891401254
2023-07-13,55362.177575589405
2023-07-14,55193.8983726894
2023-07-17,55893.79659712724
2023-07-18,56088.74576063609
2023-07-19,56099.93141093609
2023-07-20,55673.15634734339
