,equity
2023-01-02,50000.0
2023-01-03,50000.0
2023-01-04,50341.229595580306
2023-01-05,49767.31313065409
2023-01-06,50863.22272356585
2023-01-09,50527.50849435842
2023-01-10,50843.454595473464
2023-01-11,51301.38874637075
2023-01-12,51589.90361973805
2023-01-13,51661.80294532986
2023-01-17,51450.635281428105
2023-01-18,50641.44559928257
2023-01-19,50412.47870738905
2023-01-20,51533.421103293855
2023-01-23,52526.65896326071
2023-01-24,52411.13231511951
2023-01-25,52656.7079950554
2023-01-26,53514.97120379992
2023-01-27,53573.86538603787
2023-01-30,52762.554921855255
2023-01-31,53157.58485452726
2023-02-01,53696.86537255824
2023-02-02,54276.151701903786
2023-02-03,53408.450470600146
2023-02-06,52851.27739058022
2023-02-07,53369.41974574939
2023-02-08,52452.51309548953
2023-02-09,52182.53184561713
2023-02-10,51742.45155127905
2023-02-13,52190.5606296669
2023-02-14,52412.256946472204
2023-02-15,52549.637530777705
2023-02-16,51608.60631865279
2023-02-17,51122.24456427871
2023-02-21,50081.683867074054
2023-02-22,49797.192197933146
2023-02-23,50044.590517254175
2023-02-24,49605.89484555746
2023-02-27,49670.464439318326
2023-02-28,49443.653699690316
2023-03-01,49519.62817504752
2023-03-02,49637.35241398733
2023-03-03,50409.91446239693
2023-03-06,50232.49145044713
2023-03-07,49464.55856151243
2023-03-08,49649.93163952056
2023-03-09,48733.62594199276
2023-03-10,48088.32256614759
2023-03-13,47941.6448261684
2023-03-14,48754.16085448514
2023-03-15,48591.82686550035
2023-03-16,49324.0958820205
2023-03-17,48818.05485799453
2023-03-20,49203.84373912899
2023-03-21,49145.82637476982
2023-03-22,48714.478786615924
2023-03-23,49263.45332506387
2023-03-24,49417.67424676442
2023-03-27,49237.029593297826
2023-03-28,49064.76533929339
2023-03-29,49835.06904991679
2023-03-30,50231.89496565099
2023-03-31,50813.054779751
2023-04-03,51035.24707805099
2023-04-04,50990.823420851
2023-04-05,50702.81918745664
2023-04-06,50854.431629034145
2023-04-10,50856.73820523014
2023-04-11,50671.01719298474
2023-04-12,50390.19851920314
2023-04-13,51078.59522234654
2023-04-14,50923.89918041656
2023-04-17,50988.80790783807
2023-04-18,50998.69070599596
2023-04-19,51138.29868813036
2023-04-20,50862.276874547766
2023-04-21,51029.36517020937
2023-04-24,51026.91176135611
2023-04-25,50368.33082523468
2023-04-26,50485.55562939303
2023-04-27,51401.00815449828
2023-04-28,51947.00618843548
2023-05-01,51989.068736580186
2023-05-02,51651.90043827987
2023-05-03,51567.823241800805
2023-05-04,51184.08146538529
2023-05-05,51639.672230272234
2023-05-08,51736.468214045686
2023-05-09,51367.70668316957
2023-05-10,51492.8376280277
2023-05-11,51519.23698419696
2023-05-12,51487.271520833114
2023-05-15,51479.010540778865
2023-05-16,51346.962513601015
2023-05-17,51748.11062296462
2023-05-18,52391.30291681832
2023-05-19,52389.37049241692
2023-05-22,52071.482486287736
2023-05-23,51258.696679663946
2023-05-24,50989.13126360025
2023-05-25,51727.880212416174
2023-05-26,52633.30595129111
2023-05-30,52732.41623910866
2023-05-31,52489.02669638479
2023-06-01,52977.793126805336
2023-06-02,53355.477584623346
2023-06-05,53130.94013429899
2023-06-06,53207.75923976176
2023-06-07,52504.11789406312
2023-06-08,52955.762557681475
2023-06-09,53205.81166264783
2023-06-12,54214.47516278103
2023-06-13,54708.64428148102
2023-06-14,55186.66089730483
2023-06-15,56048.248107093226
2023-06-16,55510.001914264714
2023-06-20,55128.85105364182
2023-06-21,54549.46101464766
2023-06-22,54601.965874129906
2023-06-23,54211.03181320382
2023-06-26,53678.02326588358
2023-06-27,54676.020268332286
2023-06-28,54617.553898734994
2023-06-29,54671.28588065604
2023-06-30,55589.08869235199
2023-07-03,55474.90009875198
2023-07-05,55476.187664051984
2023-07-06,54845.08591185949
2023-07-07,54719.35193264428
2023-07-10,55271.280110540196
2023-07-11,55715.894208414036
2023-07-12,56161.17624796359
2023-07-13,56806.02412052338
2023-07-14,56445.43603523297
2023-07-17,56873.55116640714
2023-07-18,57597.21198296909
2023-07-19,57841.49171566909
2023-07-20,56760.078387374255
