,equity
2023-01-02,50000.0
2023-01-03,50000.0
2023-01-04,50319.332093216806
2023-01-05,50218.33077047046
2023-01-06,51406.88656889475
2023-01-09,50848.13228356946
2023-01-10,51292.756142669416
2023-01-11,51620.01198320932
2023-01-12,51842.075706220116
2023-01-13,52074.721204552516
2023-01-17,51600.472684252505
2023-01-18,50842.718925329515
2023-01-19,50505.46249777592
2023-01-20,51475.70514735659
2023-01-23,51892.57369580254
2023-01-24,51889.78058173204
2023-01-25,52223.6294037908
2023-01-26,52546.3607759908
2023-01-27,52561.0065248908
2023-01-30,51833.2759497908
2023-01-31,51881.274872603295
2023-02-01,51863.3842411743
2023-02-02,51574.672656025876
2023-02-03,51118.607192582676
2023-02-06,50988.63369264802
2023-02-07,51354.74611841228
2023-02-08,50846.06999058883
2023-02-09,50442.30673444742
2023-02-10,50107.05454460658
2023-02-13,50686.390674535825
2023-02-14,51061.12994013582
2023-02-15,51104.02785473583
2023-02-16,50306.65708720963
2023-02-17,50216.17785083137
2023-02-21,49211.803289784075
2023-02-22,49109.64180435872
2023-02-23,49213.815356434134
2023-02-24,48788.79543782801
2023-02-27,48841.38535400031
2023-02-28,48516.783047354096
2023-03-01,48708.26548178876
2023-03-02,48941.08934771826
2023-03-03,49757.14783548911
2023-03-06,49580.788801389106
2023-03-07,48892.97042636917
2023-03-08,48996.43611889676
2023-03-09,48232.829698251284
2023-03-10,47812.79600452237
2023-03-13,47556.65268604169
2023-03-14,48906.37564421813
2023-03-15,48419.41106835921
2023-03-16,49614.54546252355
2023-03-17,49210.36939168431
2023-03-20,49537.69958379996
2023-03-21,49577.52225118649
2023-03-22,49092.34812713686
2023-03-23,49914.68868952085
2023-03-24,49632.44649622085
2023-03-27,49460.469543920844
2023-03-28,49246.01803598213
2023-03-29,49947.39722776883
2023-03-30,50362.025209668835
2023-03-31,51092.70285836883
2023-04-03,51190.50684396883
2023-04-04,51044.17238376883
2023-04-05,50428.24947916884
2023-04-06,50538.00405678083
2023-04-10,50833.20844486359
2023-04-11,50596.989145063584
2023-04-12,50233.11459363599
2023-04-13,51003.644864595786
2023-04-14,50895.11570769578
2023-04-17,50857.637480095786
2023-04-18,51094.955547395686
2023-04-19,51132.29257385478
2023-04-20,50770.01658468659
2023-04-21,50772.437936103386
2023-04-24,50786.69549421128
2023-04-25,49524.395807404726
2023-04-26,49895.91969538981
2023-04-27,50286.344097751076
2023-04-28,50719.507464865776
2023-05-01,50824.66734096578
2023-05-02,50562.09103898056
2023-05-03,50256.26586414352
2023-05-04,50058.36973210608
2023-05-05,50608.69426253003
2023-05-08,50638.99063017602
2023-05-09,50459.440689621326
2023-05-10,50724.21964576222
2023-05-11,50810.49934744476
2023-05-12,50854.279199465964
2023-05-15,50830.89124316597
2023-05-16,50744.07751266598
2023-05-17,50977.34868365148
2023-05-18,51464.57830295715
2023-05-19,51421.42434980585
2023-05-22,51072.69535705484
2023-05-23,50246.63267840663
2023-05-24,50000.1471157814
2023-05-25,51933.111451158984
2023-05-26,53182.96865850284
2023-05-30,53459.81258733869
2023-05-31,52979.896863038695
2023-06-01,53516.49161833868
2023-06-02,53690.21584943868
2023-06-05,53686.64210413869
2023-06-06,53644.911692738686
2023-06-07,52459.631227108206
2023-06-08,53140.11887263416
2023-06-09,53503.361450631615
2023-06-12,54569.6863048316
2023-06-13,54994.66992796855
2023-06-14,55623.97158324536
2023-06-15,56333.82137884536
2023-06-16,55892.17781534535
2023-06-20,55741.73246094536
2023-06-21,55067.78315114536
2023-06-22,55235.897881170895
2023-06-23,54934.621282607164
2023-06-26,54309.767452791406
2023-06-27,55414.13409897061
2023-06-28,55132.32924448551
2023-06-29,55412.10964288551
2023-06-30,56161.25961528552
2023-07-03,56059.70606208552
2023-07-05,55964.468090985516
2023-07-06,55501.267583892484
2023-07-07,55328.5963853241
2023-07-10,55798.9956760635
2023-07-11,56232.921275499044
2023-07-12,56870.50788604639
2023-07-13,57374.56922820024
2023-07-14,57111.83570350024
2023-07-17,57654.01067050024
2023-07-18,58129.86187948023
2023-07-19,58114.62108506474
2023-07-20,57473.54496756474
