ticker,signal_i,entry_i,exit_i,signal_date,entry_date,exit_date,entry_px,stop_px,exit_px,exit_type,exit_reason,ret,ret_gross,risk_pct,R,hold_days,mfe,mae,peak_close_ret,giveback_pp,prio,state,shares,cost_basis,pnl_usd,size_state
PG,1259,1260,1262,2023-01-03,2023-01-04,2023-01-06,137.835856,134.9439867753015,137.708898,open,signal,-0.0019196607155760326,-0.0009210810864772601,0.020980529367470944,-0.09149724880404361,2,0.009211093810017168,-0.012237846152310272,0.0015789868203814894,0.0025000679068587495,0.033585575305464355,ON,90,12411.42965352,-23.825733929998023,ON
SPG,1261,1262,1265,2023-01-05,2023-01-06,2023-01-11,96.946241,93.33275012649916,96.929777,open,signal,-0.0011691565878435561,-0.0001698260791772599,0.03727314062131441,-0.0313672679134256,3,0.01510771315001258,-0.02020025717139451,0.008911928828679416,0.009081754907856676,0.05856803480519435,ON,128,12415.323407423999,-14.515457151997907,ON
BRK.B,1259,1260,1270,2023-01-03,2023-01-04,2023-01-19,312.0,303.48810365940335,306.119995,open,signal,-0.01982683337017388,-0.01884616987179477,0.027281719040373877,-0.726744283995902,10,0.029871817307692172,-0.01884616987179477,0.0268269070512821,0.04567307692307687,0.04097352393619469,ON,40,12486.24,-247.56259989999853,ON
GM,1264,1265,1270,2023-01-10,2023-01-11,2023-01-19,35.961089,34.32686517300668,34.324313,open,stop,-0.04646920340538885,-0.04551519560489403,0.04544422520111447,-1.0225546414255786,5,0.03373504623288803,-0.04551519560489403,0.02623844344647064,0.07175363905136467,0.015991729523571974,ON,311,11189.4906283395,-519.9667160110002,ON
CAT,1259,1260,1280,2023-01-03,2023-01-04,2023-02-02,226.644316,219.33794109072863,236.578023,open,signal,0.04278619194181155,0.04382949978767603,0.03223718572881117,1.3272309903768202,20,0.1137863832420134,-0.010166793682132358,0.10750657872223024,0.06367707893455421,0.016527635528529094,ON,55,12471.67009869,533.615270677501,ON
FCX,1264,1265,1282,2023-01-10,2023-01-11,2023-02-06,42.843449,40.64972798954034,40.761008,open,signal,-0.04955673941379346,-0.04860582069384756,0.05120318418948161,-0.9678448752406619,17,0.04143011455496959,-0.04860582069384756,0.03942434699876762,0.08803016769261518,0.028365365113521057,ON,29,1243.0812510105,-61.603053626500014,ON
SBUX,1269,1270,1282,2023-01-18,2023-01-19,2023-02-06,95.894123,93.03777010327184,94.980852,open,signal,-0.010513724446985506,-0.009523743180799515,0.029786527133974148,-0.35296912593055135,12,0.05552384060074256,-0.018666524537692464,0.04752381957755647,0.057047562758355985,0.0003006901069229073,ON,131,12568.411178056498,-132.14081186249678,ON
WMT,1279,1280,1282,2023-02-01,2023-02-02,2023-02-06,46.114023,44.887999057695964,45.286973,open,signal,-0.018916465840110752,-0.01793489151879024,0.026586792098014064,-0.7114986182001154,2,0.0031161453859707144,-0.024582717495717166,-0.005470526828682876,,0.022610530546880114,ON,283,13056.793643254501,-246.98839093399874,ON
CSCO,1281,1282,1283,2023-02-03,2023-02-06,2023-02-07,43.748449,42.5301707116836,42.993069,open,signal,-0.018248683129506782,-0.017266440691417473,0.0278473481040756,-0.6553113445957174,1,0.004368612016393936,-0.017266440691417473,-0.010401488747635468,,0.0061768287842781655,ON,291,12737.1640583295,-232.4364708689991,ON
ORCL,1259,1260,1284,2023-01-03,2023-01-04,2023-02-08,80.355954,77.89471815966829,83.272403,open,signal,0.035258348278632834,0.03629412451502967,0.03062916582798221,1.1511364193412505,24,0.08743501446078294,-0.011638938416436373,0.07348764722524481,0.03719352271021514,0.002738500170148095,ON,155,12461.400456435,439.36839733250054,ON
