ticker,member_ticker_2019,name,sector,industry,bucket,price_2019_median,median_dollar_volume_2019,atr_pct_2019,realized_vol_2019,sessions_2019,price_latest,history_start,history_end,atr_pct_full_period,realized_vol_full_period,eligible
A,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,Healthcare,75.785,139495580.4981848,0.01991836051334587,0.24670324282214065,252,165.320007,2018-01-02,2026-09-23,0.024936761177975508,0.30454511215971164,True
AAL,AAL,American Airlines Group,Industrials,Passenger Airlines,Transportation,30.945000999999998,195774378.40788043,0.0315680862778719,0.3571238947364856,252,13.35,2018-01-02,2026-09-23,0.04100797100345627,0.5904223356198142,True
AAP,AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,Consumer Discretionary,158.57,160266576.47431558,0.02488099433592521,0.2666557852916586,252,41.099998,2018-01-02,2026-09-23,0.03574518592545023,0.5139785941464305,True
AAPL,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",Tech Hardware & IT Services,203.0149995,5257921767.818797,0.019520392834539747,0.2634918383890539,252,337.019989,2018-01-02,2026-09-23,0.022661198247661787,0.31247805273219137,True
ABBV,ABBV,AbbVie,Health Care,Biotechnology,Biotech,78.7000005,524020996.1158732,0.021095298142837324,0.2802869260173748,252,265.079987,2018-01-02,2026-09-23,0.020601970175753413,0.2531324680162919,True
COR,ABC,Cencora,Health Care,Health Care Distributors,Healthcare,83.884998,97796659.2666081,0.02626949641864104,0.27692581226686264,252,312.279999,2018-01-02,2026-09-23,0.020839516678816058,0.2689516240083473,False
ABT,ABT,Abbott Laboratories,Health Care,Health Care Equipment,Healthcare,81.839996,385745168.73365974,0.017627395232965665,0.1955161772613034,252,103.489998,2018-01-02,2026-09-23,0.019926696371523386,0.25995545079865406,True
ACN,ACN,Accenture,Information Technology,IT Consulting & Other Services,Tech Hardware & IT Services,184.8250045,310233620.77156955,0.014639456094844829,0.16879147510566117,252,183.520004,2018-01-02,2026-09-23,0.02238577943156861,0.3231773158473625,True
ADBE,ADBE,Adobe Inc.,Information Technology,Application Software,Software,277.779999,672673979.9343,0.022861187494459978,0.23838548738978363,252,240.690002,2018-01-02,2026-09-23,0.027931592847284595,0.38792301260366285,True
ADI,ADI,Analog Devices,Information Technology,Semiconductors,Semiconductors,110.324997,249630650.8814823,0.024553264929872635,0.28935492023898973,252,385.230011,2018-01-02,2026-09-23,0.025911060053208305,0.36310808600584477,True
ADM,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,Consumer Staples,41.869999,127836756.39045711,0.017871560971453256,0.20249047345588633,252,82.150002,2018-01-02,2026-09-23,0.022779136941099516,0.30449415960281384,True
ADP,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,Industrials,162.33499899999998,266846802.0437128,0.016710747502647928,0.18193531102339205,252,263.679993,2018-01-02,2026-09-23,0.01860938037474027,0.2705197517705077,True
ADSK,ADSK,Autodesk,Information Technology,Application Software,Software,159.015007,247192063.38030002,0.026270434159694114,0.2937532308651861,252,217.149994,2018-01-02,2026-09-23,0.02807513160591488,0.3830830608020372,True
AEE,AEE,Ameren,Utilities,Multi-Utilities,Utilities,74.97999949999999,101422206.29837242,0.014453101922330774,0.14014808877990922,252,99.739998,2018-01-02,2026-09-23,0.018172856773557233,0.2438675828796461,True
AEP,AEP,American Electric Power,Utilities,Electric Utilities,Utilities,89.35499949999999,192498315.40681332,0.013872396644998387,0.13399622063125605,252,118.400002,2018-01-02,2026-09-23,0.01878100160753372,0.23548522469459676,True
AES,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,Utilities,16.93,87582178.6019561,0.019110842440756608,0.19873316470621022,252,14.81,2018-01-02,2026-09-23,0.029962395957173784,0.4077963933056553,False
AFL,AFL,Aflac,Financials,Life & Health Insurance,Financials,51.91,150874557.19110793,0.013286969149643096,0.15069284447965856,252,115.230003,2018-01-02,2026-09-23,0.018486948225022354,0.2941531451532342,True
AIG,AIG,American International Group,Financials,Multi-line Insurance,Financials,52.41,200707722.8833533,0.02014806016848824,0.2335647244408431,252,75.580002,2018-01-02,2026-09-23,0.022661971989149998,0.37110930950019494,True
AIV,AIV,Apartment Investment & Management,Real Estate,Multi-Family Residential REITs,Real Estate,50.655,50058780.14660327,0.01515257939039342,0.14919800753771584,252,2.2,2018-01-02,2026-09-23,0.02689611357055909,0.36204600648429625,False
AIZ,AIZ,Assurant,Financials,Multi-line Insurance,Financials,108.904999,50164903.28474502,0.016018495144643666,0.18011591231076152,252,266.970001,2018-01-02,2026-09-23,0.02081777666365104,0.29836136382758704,False
AJG,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,Financials,87.574997,72796740.26350519,0.014204102188869392,0.15981149216352092,252,229.639999,2018-01-02,2026-09-23,0.019168149680545678,0.26868474958380273,False
AKAM,AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,Tech Hardware & IT Services,81.1150015,92270256.71159999,0.020834937917650002,0.2175295207145181,252,118.440002,2018-01-02,2026-09-23,0.023256965124000068,0.3751387372832884,False
ALB,ALB,Albemarle Corporation,Materials,Specialty Chemicals,Materials,70.3450015,95364531.98988736,0.02932147648068878,0.3632786631583856,252,113.470001,2018-01-02,2026-09-23,0.04568149032871893,0.5536276434389683,False
ALGN,ALGN,Align Technology,Health Care,Health Care Supplies,Healthcare,259.130005,241129626.46400002,0.03416711103102618,0.48798686949200537,252,148.169998,2018-01-02,2026-09-23,0.03781802271999614,0.534554038830797,True
ALK,ALK,Alaska Air Group,Industrials,Passenger Airlines,Transportation,63.3500005,65024900.5492634,0.022674239339610956,0.23476087577880694,252,39.700001,2018-01-02,2026-09-23,0.036241538565499845,0.4999378021382349,False
ALL,ALL,Allstate,Financials,Property & Casualty Insurance,Financials,101.834999,166818224.4927146,0.014319837427719972,0.1612203404178751,252,225.660004,2018-01-02,2026-09-23,0.022191801892957552,0.28912948040044717,True
ALLE,ALLE,Allegion,Industrials,Building Products,Industrials,100.2599985,63213465.70585564,0.017821330548906673,0.19543731434203906,252,154.089996,2018-01-02,2026-09-23,0.023103571513470696,0.3001525368183877,False
AMAT,AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,Semiconductors,44.664998999999995,365762063.34624267,0.02762006769503564,0.3556306843620906,252,474.380005,2018-01-02,2026-09-23,0.03450163955367863,0.4908827286031886,True
AMCR,AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,Materials,10.43,34478195.17565447,0.01609542898479497,0.22715837754572538,252,42.799999,2018-01-02,2026-09-23,0.02113857635670758,0.29643842802044307,False
AMD,AMD,Advanced Micro Devices,Information Technology,Semiconductors,Semiconductors,29.5300005,1714633071.6631,0.040836121843852866,0.5272197864879029,252,614.609985,2018-01-02,2026-09-23,0.04270363843905302,0.558433170864622,True
AME,AME,Ametek,Industrials,Electrical Components & Equipment,Industrials,86.4850005,91494108.15259665,0.016414296786531085,0.18563220615147205,252,246.449997,2018-01-02,2026-09-23,0.019221880602288834,0.26987489964711403,False
AMGN,AMGN,Amgen,Health Care,Biotechnology,Biotech,191.83000149999998,483632035.63528407,0.018918835276007566,0.2084254975216594,252,406.089996,2018-01-02,2026-09-23,0.021326719829892538,0.26737484226542924,True
AMP,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,Financials,143.58499899999998,122492567.63879845,0.02311552895701257,0.26155687799022004,252,502.790009,2018-01-02,2026-09-23,0.022948328918750285,0.3699113020438128,True
AMT,AMT,American Tower,Real Estate,Telecom Tower REITs,Real Estate,208.8600005,321057916.11210567,0.01684868815311394,0.182107673764316,252,170.779999,2018-01-02,2026-09-23,0.023657815923424256,0.2952721837285335,True
AMZN,AMZN,Amazon,Consumer Discretionary,Broadline Retail,Consumer Discretionary,1786.4499665,6139864595.434,0.01861969697923664,0.22830477533498986,252,249.270004,2018-01-02,2026-09-23,0.0262798089956559,0.3557606503813272,True
ANET,ANET,Arista Networks,Information Technology,Communications Equipment,Tech Hardware & IT Services,243.08000199999998,177113196.144,0.029831605499788142,0.451801690331334,252,203.470001,2018-01-02,2026-09-23,0.03387631820505856,0.468500218235017,True
