member_ticker_2019,reason
ABMD,no usable Yahoo history (acquired/delisted/renamed)
ADS,no usable Yahoo history (acquired/delisted/renamed)
AGN,no usable Yahoo history (acquired/delisted/renamed)
ALXN,no usable Yahoo history (acquired/delisted/renamed)
ANSS,no usable Yahoo history (acquired/delisted/renamed)
ARNC,no usable Yahoo history (acquired/delisted/renamed)
ATVI,no usable Yahoo history (acquired/delisted/renamed)
AVB,no usable Yahoo history (acquired/delisted/renamed)
CERN,no usable Yahoo history (acquired/delisted/renamed)
CMA,no usable Yahoo history (acquired/delisted/renamed)
COG,no usable Yahoo history (acquired/delisted/renamed)
CTVA,no usable Yahoo history (acquired/delisted/renamed)
CTXS,no usable Yahoo history (acquired/delisted/renamed)
CXO,no usable Yahoo history (acquired/delisted/renamed)
DFS,no usable Yahoo history (acquired/delisted/renamed)
DISCK,no usable Yahoo history (acquired/delisted/renamed)
DISH,no usable Yahoo history (acquired/delisted/renamed)
DOW,no usable Yahoo history (acquired/delisted/renamed)
DRE,no usable Yahoo history (acquired/delisted/renamed)
EA,no usable Yahoo history (acquired/delisted/renamed)
EQR,no usable Yahoo history (acquired/delisted/renamed)
ETFC,no usable Yahoo history (acquired/delisted/renamed)
FBHS,no usable Yahoo history (acquired/delisted/renamed)
FLIR,no usable Yahoo history (acquired/delisted/renamed)
FOX,no usable Yahoo history (acquired/delisted/renamed)
FOXA,no usable Yahoo history (acquired/delisted/renamed)
FRC,no usable Yahoo history (acquired/delisted/renamed)
HBI,no usable Yahoo history (acquired/delisted/renamed)
HES,no usable Yahoo history (acquired/delisted/renamed)
HFC,no usable Yahoo history (acquired/delisted/renamed)
HOLX,no usable Yahoo history (acquired/delisted/renamed)
INFO,no usable Yahoo history (acquired/delisted/renamed)
IPG,no usable Yahoo history (acquired/delisted/renamed)
JNPR,no usable Yahoo history (acquired/delisted/renamed)
JWN,no usable Yahoo history (acquired/delisted/renamed)
K,no usable Yahoo history (acquired/delisted/renamed)
KSU,no usable Yahoo history (acquired/delisted/renamed)
LB,no usable Yahoo history (acquired/delisted/renamed)
LEG,no usable Yahoo history (acquired/delisted/renamed)
MRO,no usable Yahoo history (acquired/delisted/renamed)
MXIM,no usable Yahoo history (acquired/delisted/renamed)
NBL,no usable Yahoo history (acquired/delisted/renamed)
NLSN,no usable Yahoo history (acquired/delisted/renamed)
PBCT,no usable Yahoo history (acquired/delisted/renamed)
PXD,no usable Yahoo history (acquired/delisted/renamed)
RTN,no usable Yahoo history (acquired/delisted/renamed)
SEE,no usable Yahoo history (acquired/delisted/renamed)
SIVB,no usable Yahoo history (acquired/delisted/renamed)
TIF,no usable Yahoo history (acquired/delisted/renamed)
TWTR,no usable Yahoo history (acquired/delisted/renamed)
VAR,no usable Yahoo history (acquired/delisted/renamed)
WBA,no usable Yahoo history (acquired/delisted/renamed)
WCG,no usable Yahoo history (acquired/delisted/renamed)
WRK,no usable Yahoo history (acquired/delisted/renamed)
XEC,no usable Yahoo history (acquired/delisted/renamed)
XLNX,no usable Yahoo history (acquired/delisted/renamed)
