period,model,dimension,value,share_of_days,trades,win_rate,avg_win,avg_loss,median_ret,expectancy,t_stat,profit_factor,sum_ret,avg_R,avg_hold,avg_mfe,avg_mae,avg_giveback_pp,giveback_pct_of_peak,sig_fwd10,all_days_fwd10
dev,FINAL,market_state,BEARISH,0.3478835978835979,414,0.34057971014492755,0.07372370598023854,-0.026957892076698586,-0.00900752014249262,0.007332217406461158,1.8323579475761176,1.4124649955766715,3.0355380062749195,0.06852999829465856,9.710144927536232,0.05968626597734833,-0.026948579032265548,0.049087858456521236,0.6488872699499437,0.0054623441472545385,0.006642009069405195
dev,FINAL,market_state,BULLISH,0.5873015873015873,2008,0.32121513944223107,0.05794438458401416,-0.022807081565098027,-0.011263733992626479,0.0031315118941536452,2.352077899185017,1.2022796541812353,6.28807588346052,0.07368193241447898,9.444223107569721,0.049215251439002315,-0.021544880346062528,0.04482344215609767,0.7192089165311553,0.0022773571406668404,0.004137659635391657
dev,FINAL,market_state,MIXED,0.06481481481481481,120,0.3,0.05749066128906291,-0.027794887650909022,-0.018744190835710328,-0.0022092229689174374,-0.47161946644893543,0.8864527587814881,-0.2651067562700925,-0.037304128910760605,10.375,0.0512558302614934,-0.02747157775521338,0.0520443352321217,0.8045045011043694,0.009832716823444838,-0.0057587760057974625
dev,FINAL,spy_trend,SPY<SMA200,0.3478835978835979,414,0.34057971014492755,0.07372370598023854,-0.026957892076698586,-0.00900752014249262,0.007332217406461158,1.8323579475761176,1.4124649955766715,3.0355380062749195,0.06852999829465856,9.710144927536232,0.05968626597734833,-0.026948579032265548,0.049087858456521236,0.6488872699499437,0.0054623441472545385,0.006642009069405195
dev,FINAL,spy_trend,SPY>SMA200,0.6521164021164021,2128,0.3200187969924812,0.05792039921159383,-0.02309662939592604,-0.011465635729137003,0.0028303426349579074,2.204624741182057,1.180216063942668,6.022969127190427,0.06742331993373238,9.49671052631579,0.0493303216733533,-0.021879092605977053,0.04522059127527899,0.7240682589132937,0.0027565497376860755,0.0031540382430625146
dev,FINAL,vol_regime,HIGH,0.25132275132275134,499,0.2965931863727455,0.06616955787236815,-0.024925473292713628,-0.013460741332078974,0.0020926922632625313,0.6990802158244932,1.119359058458086,1.0442534393680032,0.0071206499705986775,9.178356713426854,0.051886299389641996,-0.025373336515822954,0.04858553084692727,0.7240576242731794,0.007788183576155768,0.01317686422447093
dev,FINAL,vol_regime,LOW,0.2619047619047619,945,0.3343915343915344,0.05704151817157689,-0.02053837248958366,-0.009808113710320754,0.005403686186529286,2.967462265820621,1.395280378616418,5.106483446270175,0.15952654608620492,9.996825396825397,0.048288241480782465,-0.01941772294603573,0.04124565423015551,0.6888153136257787,0.003424950434216397,0.0041473378908414476
dev,FINAL,vol_regime,NORMAL,0.31084656084656087,798,0.2907268170426065,0.05173550526207868,-0.024716809875137857,-0.01268553833587438,-0.002490071639756608,-1.384038936497732,0.8579615628149203,-1.987077168525773,-0.08202364252737065,8.672932330827068,0.04541640114639693,-0.023218141991016433,0.047556141966940406,0.820499167120697,-0.005971010143243317,-0.005910974940156408
dev,FINAL,vol_regime,SHOCK,0.17592592592592593,300,0.42,0.0795078006204603,-0.02944330725186813,-0.004672082277969558,0.016316158054509807,2.879981548895057,1.9554397795699148,4.894847416352942,0.2766577348767351,10.936666666666667,0.07306366308640837,-0.027254334568821908,0.05202425009250404,0.5565511676102056,0.02601492771921628,0.009838157319750853
dev,FINAL,vix_state2,VIX high/shock,0.42724867724867727,799,0.3429286608260325,0.07230320234776819,-0.02642281254774769,-0.010935557148181507,0.00743316752906251,2.617023330525599,1.4281365974221538,5.9391008557209455,0.10832356044849721,9.83854818523154,0.05983775008930395,-0.026079593607061607,0.04990092442241975,0.646463841109954,0.013842607970358689,0.011802102557821489
dev,FINAL,vix_state2,VIX low/normal,0.5727513227513228,1743,0.3144004589787722,0.05479517693981852,-0.022517448272197614,-0.011031789865694863,0.0017896765793140573,1.3885799958971192,1.1159270709018705,3.119406277744402,0.048937303106495626,9.390705679862306,0.046973423014437285,-0.021157673834099184,0.04405515524152825,0.7463849377022216,-0.0007258098431617188,-0.0013823506797545294
dev,FINAL,vix_level_bucket,15-20,0.2605820105820106,874,0.2963386727688787,0.05531717192230954,-0.021588990774498835,-0.011434865505217717,0.0012012794068208097,0.6435773809744395,1.0790766036917316,1.0499182015613877,0.03657188994439926,9.242562929061785,0.04363111474714653,-0.020392756876586447,0.04141832678086574,0.7510760737180038,-0.001206981448597591,-0.00288290326769832
dev,FINAL,vix_level_bucket,20-25,0.30687830687830686,793,0.3203026481715006,0.056806336398800776,-0.024469474979849113,-0.012387481601386696,0.0015633826370198296,0.807722067719399,1.0939993943328654,1.2397624311567248,0.016785270804832754,9.254728877679698,0.050129842625871585,-0.023206348940492012,0.047621005519175544,0.7390775437962103,0.005152310152722394,0.0030461092287745006
dev,FINAL,vix_level_bucket,25-30,0.2261904761904762,464,0.30603448275862066,0.05883607337638705,-0.02463501039571217,-0.012266651131492112,0.0009100195517837106,0.30680340976593284,1.0532304432091175,0.4222490720276417,-0.006931851591294108,8.967672413793103,0.05078628778614293,-0.024845573524373117,0.04804822177987908,0.7641759534063151,0.005698544269667811,0.005325759094696988
