model,period,ticker,signal_i,entry_i,exit_i,signal_date,entry_date,exit_date,entry_px,stop_px,exit_px,exit_type,exit_reason,ret,ret_gross,risk_pct,R,hold_days,mfe,mae,peak_close_ret,giveback_pp,sig_atr_pct,sig_ext,sig_ext_atr,sig_pb_depth,sig_pb_depth_atr,sig_pb_vol_ratio,sig_range_atr,sig_clv,sig_body_frac,sig_vol_ratio,sig_low_to_ema20,sig_ret_20d,sig_base_range_atr,reg_market_state,reg_vol_regime,reg_breadth_state,reg_vix,reg_vix_pct,reg_vix_roc5,reg_vix_gt_sma,reg_pct_above_50,reg_pct_above_200,reg_spy_above_200,reg_spy_50_gt_200,reg_spy_ema20_rising,reg_qqq_above_200,sector,bucket,vol_bucket,atr_pct_2019,year
FINAL,dev,ABBV,503,504,511,2020-01-02,2020-01-03,2020-01-14,67.1596,65.5372,67.2409,open,signal,0.000210316,0.00121103,0.0241574,0.00870604,7,0.0240446,-0.00306223,0.0231369,0.0219259,0.0158568,0.0120841,0.752976,0.0446791,2.89444,0.786858,0.732213,0.981135,0.443398,0.832789,0.000330083,0.0418847,2.64966,BULLISH,LOW,STRONG,12.47,8.33333,-0.0157853,False,79.1111,84.4098,True,True,True,True,Health Care,Biotech,High,0.0210953,2020
FINAL,dev,ABT,503,504,505,2020-01-02,2020-01-03,2020-01-06,75.7215,74.2829,75.6067,open,signal,-0.00251399,-0.001516,0.0189982,-0.132328,1,0.0107288,-0.00186593,0.00163264,0.00314865,0.0124906,0.00685732,0.545257,0.0385478,3.16742,0.698535,1.0737,0.991378,0.767244,1.23785,-0.0064593,0.0307017,2.7844,BULLISH,LOW,STRONG,12.47,8.33333,-0.0157853,False,79.1111,84.4098,True,True,True,True,Health Care,Healthcare,Medium,0.0176274,2020
FINAL,dev,ACN,503,504,506,2020-01-02,2020-01-03,2020-01-07,187.147,183.664,182.39,open,stop,-0.0263937,-0.0254196,0.0186095,-1.41829,2,0.0102158,-0.0254196,0.00623502,0.0316546,0.0123089,0.0157986,1.26355,0.0208207,1.71646,0.68124,1.2213,0.430867,0.228298,1.26669,0.00932149,0.0573584,4.3553,BULLISH,LOW,STRONG,12.47,8.33333,-0.0157853,False,79.1111,84.4098,True,True,True,True,Information Technology,Tech Hardware & IT Services,Low,0.0146395,2020
FINAL,dev,ADBE,503,504,539,2020-01-02,2020-01-03,2020-02-25,329.17,322.15,361,open,signal,0.0956016,0.0966977,0.0213254,4.483,35,0.174925,-0.00297722,0.164383,0.0676854,0.0139933,0.0409399,2.81061,0.0231615,1.64751,0.64183,1.14654,0.99058,0.834274,0.825826,0.0245678,0.100424,1.92324,BULLISH,LOW,STRONG,12.47,8.33333,-0.0157853,False,79.1111,84.4098,True,True,True,True,Information Technology,Software,Very High,0.0228612,2020
FINAL,dev,ADSK,503,504,538,2020-01-02,2020-01-03,2020-02-24,184.49,179.599,195.56,open,signal,0.0589437,0.0600032,0.026512,2.22329,34,0.146837,-0.00720907,0.142392,0.0823893,0.0173604,0.0390496,2.16482,0.0208344,1.18683,0.558311,1.97093,0.990017,0.602329,1.299,0.00613508,0.0708666,1.37366,BULLISH,LOW,STRONG,12.47,8.33333,-0.0157853,False,79.1111,84.4098,True,True,True,True,Information Technology,Software,Very High,0.0262704,2020
FINAL,dev,AMAT,503,504,506,2020-01-02,2020-01-03,2020-01-07,57.1422,55.4118,56.7468,open,signal,-0.00791298,-0.0069204,0.0302835,-0.261297,2,0.0171363,-0.0229031,0.00856813,0.0154885,0.0196989,0.0350374,1.71844,0.0306453,1.55069,0.557871,0.794531,0.526315,0.210527,1.06737,0.0267172,0.123961,1.42552,BULLISH,LOW,STRONG,12.47,8.33333,-0.0157853,False,79.1111,84.4098,True,True,True,True,Information Technology,Semiconductors,Very High,0.0276201,2020
FINAL,dev,AMGN,503,504,507,2020-01-02,2020-01-03,2020-01-08,193.21,189.257,193.837,open,signal,0.00224394,0.00324669,0.0204613,0.109668,3,0.0138724,-0.00387923,0.01324,0.00999328,0.0134738,0.00776052,0.571535,0.0264906,2.00612,0.718329,1.33225,0.266035,0.688834,1.04604,0.00305955,0.0314905,1.85357,BULLISH,LOW,STRONG,12.47,8.33333,-0.0157853,False,79.1111,84.4098,True,True,True,True,Health Care,Biotech,Medium,0.0189188,2020
FINAL,dev,AVGO,503,504,505,2020-01-02,2020-01-03,2020-01-06,27.166,26.4318,26.5962,open,signal,-0.0219539,-0.0209754,0.027025,-0.812357,1,0.0078423,-0.0209754,-0.0104563,,0.017744,0.0188819,1.04441,0.0461412,2.64466,0.527073,0.914863,0.978763,0.592663,0.822314,0.00285866,0.0624285,2.15654,BULLISH,LOW,STRONG,12.47,8.33333,-0.0157853,False,79.1111,84.4098,True,True,True,True,Information Technology,Semiconductors,Very High,0.0254838,2020
FINAL,dev,AXP,503,504,539,2020-01-02,2020-01-03,2020-02-25,114.29,112.126,117.407,open,signal,0.0262418,0.0272685,0.0189363,1.38579,35,0.111084,-0.0096523,0.101432,0.0741634,0.0124707,0.0220575,1.73057,0.019797,1.5874,0.694313,1.34195,0.794118,0.583333,0.932208,0.00890112,0.0833509,1.60649,BULLISH,LOW,STRONG,12.47,8.33333,-0.0157853,False,79.1111,84.4098,True,True,True,True,Financials,Financials,Low,0.015091,2020
FINAL,dev,BAC,503,504,507,2020-01-02,2020-01-03,2020-01-08,29.7143,29.1681,29.3661,open,signal,-0.0127086,-0.0117208,0.0183848,-0.691258,3,0.00485998,-0.0174384,-0.00228698,,0.0120296,0.0287091,2.31995,0.0209969,1.74936,0.651645,0.864755,0.945944,0.783788,0.840973,0.0186068,0.0911869,1.92719,BULLISH,LOW,STRONG,12.47,8.33333,-0.0157853,False,79.1111,84.4098,True,True,True,True,Financials,Financials,High,0.0208292,2020
