entry_price,exit_price,premium,exit_premium,cost,pnl,pnl_pct,reason,symbol,entry_time,atr
196.48,196.20764972675533,0.34,0.2,34.04,-13.62,-40.0,SL,NVDA,2025-11-06 14:30:00+00:00,1.13
195.16,194.86364617484423,0.37,0.22,37.04,-14.82,-40.0,SL,NVDA,2025-11-06 14:45:00+00:00,1.23
193.55,193.21961430521253,0.41,0.25,41.3,-16.52,-40.0,SL,NVDA,2025-11-06 15:00:00+00:00,1.38
192.56,192.72736478686562,0.42,0.5,41.84,8.37,20.0,TP,NVDA,2025-11-06 15:15:00+00:00,1.39
193.14,192.80397968153525,0.42,0.25,42.0,-16.8,-40.0,SL,NVDA,2025-11-06 15:30:00+00:00,1.4
190.5,190.13783827571132,0.45,0.27,45.27,-18.11,-40.0,SL,NVDA,2025-11-06 15:45:00+00:00,1.51
190.335,190.5199893719912,0.46,0.55,46.25,9.25,20.0,TP,NVDA,2025-11-06 16:00:00+00:00,1.54
191.08,190.71227688058784,0.46,0.28,45.97,-18.39,-40.0,SL,NVDA,2025-11-06 16:15:00+00:00,1.53
190.675,190.31142853197443,0.45,0.27,45.45,-18.18,-40.0,SL,NVDA,2025-11-06 16:30:00+00:00,1.51
188.31,188.50250103872617,0.48,0.58,48.13,9.63,20.0,TP,NVDA,2025-11-06 16:45:00+00:00,1.6
183.19,182.76366050318754,0.53,0.32,53.29,-21.32,-40.0,SL,NVDA,2025-11-07 14:45:00+00:00,1.78
183.085,182.6620276101027,0.53,0.32,52.87,-21.15,-40.0,SL,NVDA,2025-11-07 15:00:00+00:00,1.76
183.09,182.66638278080967,0.53,0.32,52.95,-21.18,-40.0,SL,NVDA,2025-11-07 15:15:00+00:00,1.77
182.39,181.97204115360896,0.52,0.31,52.24,-20.9,-40.0,SL,NVDA,2025-11-07 15:30:00+00:00,1.74
181.23,180.81155249977974,0.52,0.31,52.31,-20.92,-40.0,SL,NVDA,2025-11-07 15:45:00+00:00,1.74
180.56,180.1518987497955,0.51,0.31,51.01,-20.41,-40.0,SL,NVDA,2025-11-07 16:00:00+00:00,1.7
179.37,179.57704700902352,0.52,0.62,51.76,10.35,20.0,TP,NVDA,2025-11-07 16:15:00+00:00,1.73
180.095,180.30165793695042,0.52,0.62,51.66,10.33,20.0,TP,NVDA,2025-11-07 16:30:00+00:00,1.72
18.83,18.787882895767034,0.05,0.03,5.26,-2.11,-40.0,SL,MARA,2025-10-28 19:30:00+00:00,0.18
18.795,18.753319831783678,0.05,0.03,5.21,-2.08,-40.0,SL,MARA,2025-10-28 19:45:00+00:00,0.17
15.14,15.081341626324942,0.07,0.04,7.33,-2.93,-40.0,SL,MARA,2025-11-07 14:45:00+00:00,0.24
