symbol,price,sma_120,sma_22,atr_pct,dollar_vol_m
NVDA,188.62,180.73,180.72,2.6,692.76
TSLA,485.4,395.85,454.91,3.61,421.01
GOOGL,314.05,247.73,313.79,2.33,322.74
AMZN,232.44,227.62,228.82,1.71,257.69
AMD,215.06,194.12,214.1,3.7,157.66
GOOG,315.51,248.45,314.65,2.3,152.23
PLTR,194.15,172.41,180.26,3.48,145.8
LLY,1076.31,844.91,1047.18,2.46,120.84
BAC,56.26,50.74,54.23,1.63,119.68
MU,286.65,176.92,245.71,5.28,118.52
TSM,298.88,269.18,292.77,2.79,110.92
WBD,29.24,18.4,26.87,3.2,92.96
XOM,119.34,113.45,117.13,1.76,90.64
CVNA,441.74,363.12,420.2,4.75,90.52
BKNG,5450.04,5347.54,5199.89,2.23,79.56
APP,727.24,547.5,669.81,4.05,79.46
V,355.11,342.62,338.4,1.53,73.74
JPM,328.98,303.17,313.75,1.95,71.85
CSCO,78.04,71.04,77.68,1.81,68.56
CRM,265.3,249.15,251.01,2.25,67.42
MRK,106.54,87.74,101.36,2.23,66.27
AMAT,260.65,209.65,259.08,2.88,65.26
WFC,95.3,83.66,90.16,1.81,64.53
LRCX,177.31,130.33,162.51,3.77,57.46
LITE,396.16,187.88,337.51,5.95,56.77
C,121.54,99.15,109.62,2.0,56.16
GE,316.83,287.74,296.21,2.35,54.58
BA,218.32,215.55,201.78,1.86,54.16
CRH,127.52,112.49,123.04,2.35,51.47
ADI,277.51,244.95,272.75,1.8,51.42
JNJ,207.83,184.75,206.68,1.84,51.27
ACN,269.98,255.48,265.61,1.99,49.11
APH,137.94,122.03,136.35,2.9,48.83
SCHW,101.8,94.8,95.44,1.87,46.9
ADBE,353.08,348.23,340.24,2.92,46.89
GS,910.12,776.87,861.0,2.18,46.0
TMO,578.83,516.32,576.83,1.67,43.26
BMY,54.71,47.19,51.74,2.07,43.13
FCX,51.95,43.02,46.07,2.69,42.9
KLAC,1276.73,1051.06,1210.67,2.9,41.51
WDC,179.65,116.37,169.32,5.68,41.35
COHR,191.4,123.74,176.81,5.75,40.8
DIS,114.46,113.63,108.34,1.77,40.08
