Bot,Days,SMA,Trades,PnL,Win%
Stock,30,SMA 20,3,-0.029999999999999805,33.33333333333333
Stock,30,SMA 50,4,13.05,50.0
Stock,30,SMA 80,5,25.77,60.0
Stock,30,SMA 120,6,32.699999999999996,50.0
Stock,60,SMA 20,8,-2.9499999999999993,50.0
Stock,60,SMA 50,14,34.28,71.42857142857143
Stock,60,SMA 80,17,14.899999999999999,64.70588235294117
Stock,60,SMA 120,19,27.019999999999996,63.1578947368421
Stock,90,SMA 20,16,-21.88,43.75
Stock,90,SMA 50,20,19.31,60.0
Stock,90,SMA 80,25,-1.0599999999999996,56.00000000000001
Stock,90,SMA 120,32,5.380000000000001,53.125
Stock,120,SMA 20,18,-19.41,44.44444444444444
Stock,120,SMA 50,22,26.26,63.63636363636363
Stock,120,SMA 80,29,-6.719999999999998,55.172413793103445
Stock,120,SMA 120,37,-9.100000000000001,48.64864864864865
Stock,220,SMA 20,32,-18.59,46.875
Stock,220,SMA 50,53,83.89,62.264150943396224
Stock,220,SMA 80,64,59.77,59.375
Stock,220,SMA 120,68,44.17,54.41176470588235
Options,30,SMA 20,24,2916.67,
Options,30,SMA 50,24,2916.67,
Options,30,SMA 80,24,2916.67,
Options,30,SMA 120,24,2916.67,
Options,60,SMA 20,30,4480.75,
Options,60,SMA 50,30,4480.75,
Options,60,SMA 80,30,4480.75,
Options,60,SMA 120,30,4480.75,
Options,90,SMA 20,31,5842.25,
Options,90,SMA 50,31,5842.25,
Options,90,SMA 80,31,5842.25,
Options,90,SMA 120,31,5842.25,
Options,120,SMA 20,14,1728.22,
Options,120,SMA 50,14,1728.22,
Options,120,SMA 80,14,1728.22,
Options,120,SMA 120,14,1728.22,
Options,220,SMA 20,15,1796.91,
Options,220,SMA 50,15,1796.91,
Options,220,SMA 80,15,1796.91,
Options,220,SMA 120,15,1796.91,
