entry_price,atm_strike,otm_strike,spread_width,entry_debit,exit_value,cost,max_profit,max_loss,pnl,pnl_pct,reason,bars_held,dte,symbol,entry_time,atr,entry_rsi,entry_close,kc_lower,entry_slope,entry_slope_10,entry_adx,entry_reason,exit_time
422.55,422.55,424.39,1.84,0.6,0.56,59.92,124.44,-59.92,-3.97,-6.6,BARS_STOP,10,3,ADBE,2025-01-07 20:00:00+00:00,1.23,24.8,422.47,423.01,-0.2942,-0.3184,96.3,"RSI=24.8, Close=$422.47 < KC_Lower=$423.01",2025-01-08 16:00:00+00:00
412.45,412.45,415.08,2.62,0.85,0.83,85.26,177.08,-85.26,-2.38,-2.8,BARS_STOP,10,7,ADBE,2025-01-10 14:45:00+00:00,1.75,21.4,412.17,416.76,-0.3853,-0.1568,76.4,"RSI=21.4, Close=$412.17 < KC_Lower=$416.76",2025-01-10 17:15:00+00:00
431.13,431.13,433.81,2.68,0.87,3.55,87.15,181.0,-87.15,181.0,207.7,MAX_PROFIT,1,4,ADBE,2025-02-03 15:15:00+00:00,1.79,23.1,431.15,434.12,-0.5224,-0.3227,39.2,"RSI=23.1, Close=$431.15 < KC_Lower=$434.12",2025-02-03 15:30:00+00:00
442.9,442.9,444.96,2.05,0.67,2.62,66.66,138.45,-66.66,138.45,207.7,MAX_PROFIT,8,7,ADBE,2025-02-21 18:45:00+00:00,1.37,23.5,443.26,446.01,-0.5061,-0.2901,35.8,"RSI=23.5, Close=$443.26 < KC_Lower=$446.01",2025-02-21 20:45:00+00:00
433.89,433.89,436.13,2.24,0.73,2.69,72.85,151.29,-72.85,151.29,207.7,MAX_PROFIT,1,7,ADBE,2025-02-28 16:30:00+00:00,1.49,24.5,433.52,435.09,-0.3618,-0.2977,15.3,"RSI=24.5, Close=$433.52 < KC_Lower=$435.09",2025-02-28 16:45:00+00:00
209.15,209.15,210.79,1.64,0.53,2.08,53.3,110.7,-53.3,110.7,207.7,MAX_PROFIT,1,4,ADI,2025-01-13 14:45:00+00:00,1.09,23.5,209.1,211.19,-0.2483,-0.1654,20.4,"RSI=23.5, Close=$209.10 < KC_Lower=$211.19",2025-01-13 15:00:00+00:00
217.73,217.73,218.95,1.22,0.4,1.25,39.64,82.32,-39.64,82.32,207.7,MAX_PROFIT,4,7,ADI,2025-01-24 19:00:00+00:00,0.81,23.6,217.7,219.08,-0.2988,-0.2766,42.3,"RSI=23.6, Close=$217.70 < KC_Lower=$219.08",2025-01-24 20:00:00+00:00
204.63,204.63,206.62,1.98,0.64,2.62,64.37,133.69,-64.37,133.69,207.7,MAX_PROFIT,2,4,ADI,2025-02-03 14:45:00+00:00,1.32,20.2,204.97,209.86,-0.3632,-0.2302,29.7,"RSI=20.2, Close=$204.97 < KC_Lower=$209.86",2025-02-03 15:15:00+00:00
238.41,238.41,239.73,1.32,0.43,1.61,43.03,89.37,-43.03,89.37,207.7,MAX_PROFIT,4,7,ADI,2025-02-21 19:30:00+00:00,0.88,24.9,238.12,239.26,-0.2566,-0.2057,26.4,"RSI=24.9, Close=$238.12 < KC_Lower=$239.26",2025-02-21 20:30:00+00:00
225.57,225.57,226.91,1.34,0.43,1.43,43.47,90.28,-43.47,90.28,207.7,MAX_PROFIT,2,8,ADI,2025-02-27 20:30:00+00:00,0.89,22.1,225.56,227.38,-0.305,-0.1573,34.3,"RSI=22.1, Close=$225.56 < KC_Lower=$227.38",2025-02-28 14:30:00+00:00
210.19,210.19,213.22,3.03,0.99,0.92,98.61,204.81,-98.61,-6.54,-6.6,BARS_STOP,10,3,ADI,2025-03-11 14:30:00+00:00,2.02,19.6,210.18,216.48,-0.9503,-0.2621,30.9,"RSI=19.6, Close=$210.18 < KC_Lower=$216.48",2025-03-11 17:00:00+00:00
207.61,207.61,208.99,1.38,0.45,1.82,44.75,92.94,-44.75,92.94,207.7,MAX_PROFIT,1,8,ADI,2025-03-27 13:45:00+00:00,0.92,23.3,206.21,208.84,-0.1892,-0.1602,26.3,"RSI=23.3, Close=$206.21 < KC_Lower=$208.84",2025-03-27 14:00:00+00:00
202.93,202.93,204.14,1.21,0.39,0.38,39.47,81.97,-39.47,-1.1,-2.8,BARS_STOP,10,7,ADI,2025-03-28 16:00:00+00:00,0.81,24.1,202.91,204.38,-0.2991,-0.2753,34.7,"RSI=24.1, Close=$202.91 < KC_Lower=$204.38",2025-03-28 18:30:00+00:00
197.08,197.08,198.54,1.46,0.47,1.93,47.46,98.56,-47.46,98.56,207.7,MAX_PROFIT,1,4,ADI,2025-03-31 13:45:00+00:00,0.97,20.1,197.92,200.31,-0.2512,-0.1789,42.1,"RSI=20.1, Close=$197.92 < KC_Lower=$200.31",2025-03-31 14:00:00+00:00
188.65,188.65,190.92,2.28,0.74,0.72,74.05,153.79,-74.05,-1.8,-2.4,BARS_STOP,10,8,ADI,2025-04-03 14:00:00+00:00,1.52,22.6,189.21,194.6,-0.5386,-0.1881,19.2,"RSI=22.6, Close=$189.21 < KC_Lower=$194.60",2025-04-03 16:30:00+00:00
182.91,182.91,185.07,2.16,0.7,0.68,70.06,145.51,-70.06,-1.7,-2.4,BARS_STOP,10,8,ADI,2025-04-03 16:45:00+00:00,1.44,21.6,182.84,185.56,-0.6778,-0.8258,43.7,"RSI=21.6, Close=$182.84 < KC_Lower=$185.56",2025-04-03 19:15:00+00:00
172.45,172.45,175.23,2.78,0.9,0.88,90.44,187.84,-90.44,-2.52,-2.8,BARS_STOP,10,7,ADI,2025-04-04 13:45:00+00:00,1.86,17.5,172.22,178.88,-0.5298,-0.3647,45.2,"RSI=17.5, Close=$172.22 < KC_Lower=$178.88",2025-04-04 16:15:00+00:00
165.54,165.54,168.05,2.5,0.81,2.63,81.34,168.94,-81.34,168.94,207.7,MAX_PROFIT,1,7,ADI,2025-04-04 18:45:00+00:00,1.67,24.1,165.58,166.75,-0.4436,-0.496,52.8,"RSI=24.1, Close=$165.58 < KC_Lower=$166.75",2025-04-04 19:00:00+00:00
159.82,159.82,162.9,3.08,1.0,4.07,100.0,207.88,-100.0,207.88,207.9,MAX_PROFIT,1,4,ADI,2025-04-07 13:45:00+00:00,2.05,21.5,159.89,163.73,-0.4777,-0.3928,49.5,"RSI=21.5, Close=$159.89 < KC_Lower=$163.73",2025-04-07 14:00:00+00:00
213.91,213.91,216.72,2.81,0.91,0.89,91.42,189.88,-91.42,-2.22,-2.4,BARS_STOP,10,8,ADI,2025-05-22 14:45:00+00:00,1.88,23.4,213.91,218.01,-0.5257,-0.3004,38.8,"RSI=23.4, Close=$213.91 < KC_Lower=$218.01",2025-05-22 17:15:00+00:00
206.9,206.9,209.28,2.38,0.77,2.61,77.48,160.92,-77.48,160.92,207.7,MAX_PROFIT,1,7,ADI,2025-05-23 13:45:00+00:00,1.59,23.3,206.97,210.13,-0.3375,-0.2295,50.1,"RSI=23.3, Close=$206.97 < KC_Lower=$210.13",2025-05-23 14:00:00+00:00
226.29,226.29,227.64,1.35,0.44,1.7,44.0,91.39,-44.0,91.39,207.7,MAX_PROFIT,1,7,ADI,2025-06-13 14:30:00+00:00,0.9,16.0,226.11,228.96,-0.4284,-0.1841,25.4,"RSI=16.0, Close=$226.11 < KC_Lower=$228.96",2025-06-13 14:45:00+00:00
225.29,225.29,226.36,1.07,0.35,1.42,34.88,72.45,-34.88,72.45,207.7,MAX_PROFIT,5,7,ADI,2025-06-13 18:45:00+00:00,0.72,24.3,224.92,226.24,-0.2257,-0.1695,38.7,"RSI=24.3, Close=$224.92 < KC_Lower=$226.24",2025-06-16 13:30:00+00:00
238.02,238.02,239.05,1.03,0.34,1.37,33.56,69.71,-33.56,69.71,207.7,MAX_PROFIT,1,9,ADI,2025-07-16 14:15:00+00:00,0.69,21.2,238.01,239.52,-0.3113,-0.1533,30.0,"RSI=21.2, Close=$238.01 < KC_Lower=$239.52",2025-07-16 14:30:00+00:00
237.64,237.64,239.0,1.36,0.44,0.41,44.16,91.71,-44.16,-2.93,-6.6,BARS_STOP,10,3,ADI,2025-07-22 14:30:00+00:00,0.91,24.7,237.29,238.66,-0.4251,-0.2255,29.1,"RSI=24.7, Close=$237.29 < KC_Lower=$238.66",2025-07-22 17:00:00+00:00
226.09,226.09,228.51,2.42,0.79,3.2,78.58,163.21,-78.58,163.21,207.7,MAX_PROFIT,1,9,ADI,2025-07-23 14:15:00+00:00,1.61,23.1,226.11,230.45,-1.0404,-0.3623,45.8,"RSI=23.1, Close=$226.11 < KC_Lower=$230.45",2025-07-23 14:30:00+00:00
224.59,224.59,226.56,1.97,0.64,2.13,64.04,133.0,-64.04,133.0,207.7,MAX_PROFIT,1,8,ADI,2025-07-24 14:00:00+00:00,1.31,24.1,224.86,226.88,-0.3959,-0.2117,34.8,"RSI=24.1, Close=$224.86 < KC_Lower=$226.88",2025-07-24 14:15:00+00:00
223.05,223.05,224.2,1.15,0.38,1.53,37.54,77.96,-37.54,77.96,207.7,MAX_PROFIT,1,8,ADI,2025-07-31 18:15:00+00:00,0.77,23.3,223.18,224.89,-0.2867,-0.2146,38.2,"RSI=23.3, Close=$223.18 < KC_Lower=$224.89",2025-07-31 18:30:00+00:00
219.97,219.97,221.42,1.45,0.47,1.57,47.23,98.1,-47.23,98.1,207.7,MAX_PROFIT,2,7,ADI,2025-08-01 13:45:00+00:00,0.97,23.0,220.87,223.06,-0.1996,-0.2073,45.7,"RSI=23.0, Close=$220.87 < KC_Lower=$223.06",2025-08-01 14:15:00+00:00
