entry_price,atm_strike,otm_strike,spread_width,entry_debit,exit_value,cost,max_profit,max_loss,pnl,pnl_pct,reason,bars_held,dte,symbol,entry_time,atr,entry_rsi,entry_close,kc_lower,entry_slope,entry_slope_10,entry_adx,entry_reason,exit_time
422.55,422.55,424.39,1.84,0.6,0.56,59.92,124.44,-59.92,-3.97,-6.6,BARS_STOP,10,3,ADBE,2025-01-07 20:00:00+00:00,1.23,24.8,422.47,423.01,-0.2942,-0.3184,96.3,"RSI=24.8, Close=$422.47 < KC_Lower=$423.01",2025-01-08 16:00:00+00:00
412.45,412.45,415.08,2.62,0.85,0.83,85.26,177.08,-85.26,-2.38,-2.8,BARS_STOP,10,7,ADBE,2025-01-10 14:45:00+00:00,1.75,21.4,412.17,416.76,-0.3853,-0.1568,76.4,"RSI=21.4, Close=$412.17 < KC_Lower=$416.76",2025-01-10 17:15:00+00:00
431.13,431.13,433.81,2.68,0.87,3.55,87.15,181.0,-87.15,181.0,207.7,MAX_PROFIT,1,4,ADBE,2025-02-03 15:15:00+00:00,1.79,23.1,431.15,434.12,-0.5224,-0.3227,39.2,"RSI=23.1, Close=$431.15 < KC_Lower=$434.12",2025-02-03 15:30:00+00:00
442.9,442.9,444.96,2.05,0.67,2.62,66.66,138.45,-66.66,138.45,207.7,MAX_PROFIT,8,7,ADBE,2025-02-21 18:45:00+00:00,1.37,23.5,443.26,446.01,-0.5061,-0.2901,35.8,"RSI=23.5, Close=$443.26 < KC_Lower=$446.01",2025-02-21 20:45:00+00:00
433.89,433.89,436.13,2.24,0.73,2.97,72.85,151.29,-72.85,151.29,207.7,MAX_PROFIT,1,7,ADBE,2025-02-28 16:30:00+00:00,1.49,24.5,433.52,435.09,-0.3618,-0.2977,15.3,"RSI=24.5, Close=$433.52 < KC_Lower=$435.09",2025-02-28 16:45:00+00:00
392.74,392.74,400.23,7.49,1.0,2.37,100.0,648.8,-100.0,137.44,137.4,BARS_STOP,10,8,ADBE,2025-03-13 14:00:00+00:00,4.99,15.2,393.08,420.05,-2.8352,-0.8915,20.3,"RSI=15.2, Close=$393.08 < KC_Lower=$420.05",2025-03-13 16:30:00+00:00
382.42,382.42,387.89,5.47,1.0,1.74,100.0,447.4,-100.0,73.58,73.6,BARS_STOP,10,8,ADBE,2025-03-13 16:45:00+00:00,3.65,18.2,383.3,392.35,-1.9011,-2.6883,52.3,"RSI=18.2, Close=$383.30 < KC_Lower=$392.35",2025-03-13 19:15:00+00:00
379.26,379.26,383.55,4.29,1.0,5.67,100.0,328.75,-100.0,328.75,328.7,MAX_PROFIT,2,8,ADBE,2025-03-13 19:30:00+00:00,2.86,24.3,379.3,380.64,-0.8218,-1.166,56.7,"RSI=24.3, Close=$379.30 < KC_Lower=$380.64",2025-03-14 13:30:00+00:00
389.9,389.9,391.95,2.05,0.67,0.65,66.62,138.36,-66.62,-1.86,-2.8,BARS_STOP,10,7,ADBE,2025-03-28 14:15:00+00:00,1.37,21.4,389.9,393.65,-0.5059,-0.2402,30.0,"RSI=21.4, Close=$389.90 < KC_Lower=$393.65",2025-03-28 16:45:00+00:00
375.52,375.52,378.09,2.57,0.84,3.4,83.53,173.48,-83.53,173.48,207.7,MAX_PROFIT,1,4,ADBE,2025-03-31 13:45:00+00:00,1.71,15.2,376.15,383.1,-0.5318,-0.3158,51.4,"RSI=15.2, Close=$376.15 < KC_Lower=$383.10",2025-03-31 14:00:00+00:00
377.82,377.82,380.4,2.58,0.84,2.72,83.96,174.37,-83.96,174.37,207.7,MAX_PROFIT,4,4,ADBE,2025-03-31 14:15:00+00:00,1.72,21.9,377.51,381.46,-0.9072,-0.4395,54.0,"RSI=21.9, Close=$377.51 < KC_Lower=$381.46",2025-03-31 15:15:00+00:00
369.6,369.6,373.1,3.5,1.0,3.57,100.0,250.44,-100.0,250.44,250.4,MAX_PROFIT,9,8,ADBE,2025-04-03 14:00:00+00:00,2.34,24.5,370.06,377.16,-0.6948,-0.22,17.6,"RSI=24.5, Close=$370.06 < KC_Lower=$377.16",2025-04-03 16:15:00+00:00
355.1,355.1,358.73,3.63,1.0,4.8,100.0,262.74,-100.0,262.74,262.7,MAX_PROFIT,1,7,ADBE,2025-04-04 13:45:00+00:00,2.42,17.2,355.5,364.1,-0.6727,-0.4156,36.7,"RSI=17.2, Close=$355.50 < KC_Lower=$364.10",2025-04-04 14:00:00+00:00
332.51,332.51,337.98,5.47,1.0,7.24,100.0,447.4,-100.0,447.4,447.4,MAX_PROFIT,1,4,ADBE,2025-04-07 13:45:00+00:00,3.65,16.6,332.84,345.8,-1.0375,-0.5789,46.2,"RSI=16.6, Close=$332.84 < KC_Lower=$345.80",2025-04-07 14:00:00+00:00
339.59,339.59,342.04,2.45,0.8,3.21,79.66,165.44,-79.66,165.44,207.7,MAX_PROFIT,1,4,ADBE,2025-04-21 14:30:00+00:00,1.63,22.7,339.59,343.7,-0.7706,-0.2253,26.7,"RSI=22.7, Close=$339.59 < KC_Lower=$343.70",2025-04-21 14:45:00+00:00
165.53,165.53,166.82,1.29,0.42,1.58,41.95,87.13,-41.95,87.13,207.7,MAX_PROFIT,5,3,BA,2025-01-14 16:45:00+00:00,0.86,23.6,165.6,166.97,-0.2795,-0.1514,19.5,"RSI=23.6, Close=$165.60 < KC_Lower=$166.97",2025-01-14 18:00:00+00:00
176.22,176.22,177.37,1.16,0.38,1.53,37.57,78.02,-37.57,78.02,207.7,MAX_PROFIT,3,7,BA,2025-02-21 19:15:00+00:00,0.77,22.7,176.24,177.74,-0.3111,-0.1628,27.1,"RSI=22.7, Close=$176.24 < KC_Lower=$177.74",2025-02-21 20:00:00+00:00
172.77,172.77,174.19,1.42,0.46,1.69,46.14,95.82,-46.14,95.82,207.7,MAX_PROFIT,6,9,BA,2025-02-26 18:00:00+00:00,0.95,22.4,172.63,174.26,-0.3011,-0.1946,42.7,"RSI=22.4, Close=$172.63 < KC_Lower=$174.26",2025-02-26 19:30:00+00:00
162.69,162.69,164.69,1.99,0.65,0.6,64.7,134.37,-64.7,-4.29,-6.6,BARS_STOP,10,3,BA,2025-03-04 14:45:00+00:00,1.33,16.5,162.66,168.67,-0.4759,-0.2601,30.5,"RSI=16.5, Close=$162.66 < KC_Lower=$168.67",2025-03-04 17:15:00+00:00
155.08,155.08,156.68,1.6,0.52,0.51,51.97,107.95,-51.97,-1.45,-2.8,BARS_STOP,10,7,BA,2025-03-07 15:30:00+00:00,1.07,22.3,155.15,156.26,-0.2949,-0.1574,31.8,"RSI=22.3, Close=$155.15 < KC_Lower=$156.26",2025-03-07 18:00:00+00:00
174.05,174.05,175.3,1.25,0.41,1.24,40.64,84.41,-40.64,82.89,204.0,MAX_PROFIT,1,7,BA,2025-03-28 14:30:00+00:00,0.83,18.8,173.94,176.53,-0.4097,-0.165,28.0,"RSI=18.8, Close=$173.94 < KC_Lower=$176.53",2025-03-28 14:45:00+00:00
156.69,156.69,158.92,2.23,0.72,0.71,72.31,150.19,-72.31,-1.76,-2.4,BARS_STOP,10,8,BA,2025-04-03 14:00:00+00:00,1.48,17.3,156.88,163.29,-0.6664,-0.2098,20.9,"RSI=17.3, Close=$156.88 < KC_Lower=$163.29",2025-04-03 16:30:00+00:00
152.28,152.28,153.87,1.58,0.52,0.5,51.5,106.97,-51.5,-1.25,-2.4,BARS_STOP,10,8,BA,2025-04-03 19:15:00+00:00,1.06,23.2,152.51,153.66,-0.3167,-0.3129,46.3,"RSI=23.2, Close=$152.51 < KC_Lower=$153.66",2025-04-04 15:15:00+00:00
129.69,129.69,132.8,3.11,1.0,4.12,100.0,211.23,-100.0,211.23,211.2,MAX_PROFIT,1,4,BA,2025-04-07 13:45:00+00:00,2.07,23.9,129.56,133.9,-0.3937,-0.302,43.9,"RSI=23.9, Close=$129.56 < KC_Lower=$133.90",2025-04-07 14:00:00+00:00
