entry_price,atm_strike,otm_strike,spread_width,entry_debit,exit_value,cost,max_profit,max_loss,pnl,pnl_pct,reason,bars_held,dte,symbol,entry_time,atr,entry_rsi,entry_close,kc_lower,entry_slope,entry_slope_10,entry_adx,entry_reason,exit_time
216.89,216.89,220.69,3.8,1.0,5.03,100.0,279.59,-100.0,279.59,279.6,MAX_PROFIT,1,7,AMD,2025-10-10 15:30:00+00:00,2.53,21.7,216.91,222.79,-0.8767,-0.3942,30.3,"RSI=21.7, Close=$216.91 < KC_Lower=$222.79",2025-10-10 15:45:00+00:00
230.18,230.18,232.81,2.63,0.85,3.48,85.33,177.23,-85.33,177.23,207.7,MAX_PROFIT,1,9,AMD,2025-10-22 14:45:00+00:00,1.75,21.7,230.1,233.84,-0.4971,-0.1765,16.5,"RSI=21.7, Close=$230.10 < KC_Lower=$233.84",2025-10-22 15:00:00+00:00
241.47,241.47,245.26,3.79,1.0,1.2,100.0,279.12,-100.0,20.22,20.2,BARS_STOP,10,8,AMD,2025-11-06 15:15:00+00:00,2.53,22.6,241.37,248.2,-1.0045,-0.1796,27.4,"RSI=22.6, Close=$241.37 < KC_Lower=$248.20",2025-11-06 17:45:00+00:00
231.11,231.11,235.04,3.93,1.0,1.24,100.0,292.79,-100.0,24.1,24.1,BARS_STOP,10,7,AMD,2025-11-07 14:45:00+00:00,2.62,23.6,230.96,235.09,-0.5559,-0.2478,36.0,"RSI=23.6, Close=$230.96 < KC_Lower=$235.09",2025-11-07 17:15:00+00:00
231.01,231.01,234.58,3.57,1.0,1.08,100.0,256.82,-100.0,8.28,8.3,BARS_STOP,10,3,AMD,2025-11-18 14:45:00+00:00,2.38,22.7,230.83,235.53,-0.4678,-0.4309,55.3,"RSI=22.7, Close=$230.83 < KC_Lower=$235.53",2025-11-18 17:15:00+00:00
274.59,274.59,276.32,1.73,0.56,2.25,56.37,117.07,-56.37,117.07,207.7,MAX_PROFIT,6,7,IBP,2025-12-12 19:30:00+00:00,1.16,24.6,274.68,277.99,-0.5044,-0.4817,36.1,"RSI=24.6, Close=$274.68 < KC_Lower=$277.99",2025-12-15 14:30:00+00:00
273.25,273.25,275.44,2.19,0.71,0.68,71.27,148.03,-71.27,-3.51,-4.9,BARS_STOP,10,4,IBP,2025-12-15 14:45:00+00:00,1.46,24.2,273.04,273.9,-0.4522,-0.4988,43.1,"RSI=24.2, Close=$273.04 < KC_Lower=$273.90",2025-12-15 17:15:00+00:00
185.09,185.09,186.9,1.8,0.59,2.39,58.59,121.69,-58.59,121.69,207.7,MAX_PROFIT,1,7,NVDA,2025-10-10 19:45:00+00:00,1.2,24.0,185.01,185.92,-0.2709,-0.2405,42.4,"RSI=24.0, Close=$185.01 < KC_Lower=$185.92",2025-10-13 13:30:00+00:00
193.55,193.55,195.61,2.06,0.67,0.65,67.11,139.38,-67.11,-1.63,-2.4,BARS_STOP,10,8,NVDA,2025-11-06 15:00:00+00:00,1.38,18.2,193.58,196.4,-0.5328,-0.2085,31.0,"RSI=18.2, Close=$193.58 < KC_Lower=$196.40",2025-11-06 17:30:00+00:00
183.19,183.19,185.85,2.66,0.87,0.84,86.6,179.86,-86.6,-2.41,-2.8,BARS_STOP,10,7,NVDA,2025-11-07 14:45:00+00:00,1.78,22.1,183.18,186.0,-0.3719,-0.1879,49.7,"RSI=22.1, Close=$183.18 < KC_Lower=$186.00",2025-11-07 17:15:00+00:00
