symbol,date,entry_time,exit_time,side,entry_price,exit_price,qty,pnl,exit_reason,hold_duration_bars,hold_duration_days,entry_rsi,entry_atr,sl_px,tp_px
SOXL,2025-12-12,2025-12-12 20:30:00+00:00,2025-12-12 20:45:00+00:00,LONG,41.53,41.725,48,9.360000000000014,EOD,1,0.01,22.681661139713924,0.7599295148074199,39.63017621298145,43.049859029614844
QCOM,2025-12-15,2025-12-15 15:30:00+00:00,2025-12-15 16:15:00+00:00,LONG,176.82,178.86,11,22.440000000000225,MeanRev,3,0.03,23.70867897378845,1.0807695133929507,174.1180762165176,178.9815390267859
TXN,2025-12-15,2025-12-15 14:45:00+00:00,2025-12-15 16:15:00+00:00,LONG,177.51,179.26208085019672,11,19.27288935216407,TP,6,0.06,21.635652366434243,0.8760404250983711,175.31989893725407,179.26208085019672
TXN,2025-12-16,2025-12-16 15:30:00+00:00,2025-12-16 15:45:00+00:00,LONG,176.1,177.48833031945333,11,15.271633513986643,TP,1,0.01,24.34604381812447,0.6941651597266617,174.36458710068334,177.48833031945333
MU,2025-12-16,2025-12-16 14:45:00+00:00,2025-12-16 15:00:00+00:00,LONG,235.04,238.86344903704702,2,7.646898074094054,TP,1,0.01,22.195865481109053,1.9117245185235148,230.26068870369122,238.86344903704702
TSM,2025-12-12,2025-12-12 20:15:00+00:00,2025-12-12 20:45:00+00:00,LONG,291.945,292.08,6,0.8099999999999454,EOD,2,0.02,21.55003820500336,1.5858364666225664,287.98040883344356,295.1166729332451
GS,2025-12-16,2025-12-16 18:00:00+00:00,2025-12-16 18:30:00+00:00,LONG,875.78,882.2222033023002,2,12.884406604600372,TP,2,0.02,24.288932238211387,3.221101651150093,867.7272458721247,882.2222033023002
UAL,2025-12-15,2025-12-12 20:45:00+00:00,2025-12-15 14:30:00+00:00,LONG,107.105,107.90427523578458,18,14.386954244122393,TP,1,2.74,20.076044480274874,0.3996376178922868,106.1059059552693,107.90427523578458
MS,2025-12-16,2025-12-16 15:30:00+00:00,2025-12-16 15:45:00+00:00,LONG,176.165,177.3675670220754,11,13.22823724282955,TP,1,0.01,24.109621695731136,0.6012835110377134,174.6617912224057,177.3675670220754
MCHP,2025-12-17,2025-12-17 18:00:00+00:00,2025-12-17 20:45:00+00:00,LONG,64.03,64.035,31,0.15499999999985903,EOD,11,0.11,24.994484304519247,0.3941770545674945,63.04455736358126,64.81835410913499
ADI,2025-12-17,2025-12-17 18:00:00+00:00,2025-12-17 20:45:00+00:00,LONG,272.34,271.18,7,-8.119999999999777,EOD,11,0.11,23.69474979756852,1.169161219279413,269.41709695180145,274.6783224385588
DHR,2025-12-15,2025-12-12 20:45:00+00:00,2025-12-15 14:30:00+00:00,LONG,227.01,228.26021044759864,8,10.001683580789177,TP,1,2.74,15.098511942486994,0.6251052237993168,225.4472369405017,228.26021044759864
TER,2025-12-12,2025-12-12 19:30:00+00:00,2025-12-12 20:45:00+00:00,LONG,193.22,193.38,10,1.599999999999966,EOD,5,0.05,19.239359468803258,1.369877973058433,189.79530506735392,195.95975594611687
CLH,2025-12-12,2025-12-12 15:00:00+00:00,2025-12-12 15:15:00+00:00,LONG,240.8,241.7230180574572,8,7.384144459657591,TP,1,0.01,18.189720216641433,0.46150902872860516,239.6462274281785,241.7230180574572
DLTR,2025-12-17,2025-12-17 15:30:00+00:00,2025-12-17 19:00:00+00:00,LONG,128.685,128.86,15,2.6250000000001705,MeanRev,14,0.15,24.106594848845916,0.6114445232416628,127.15638869189584,129.90788904648332
