symbol,bot_type,price,atr_pct,dollar_vol_m,sma,in_uptrend,has_options
LITE,15M_OPT,386.07,5.74,52.86,358.3,True,True
WDC,15M_OPT,187.68,5.14,38.73,175.78,True,True
MU,15M_OPT,315.38,4.9,120.25,262.43,True,True
COHR,15M_OPT,194.31,4.79,36.22,185.89,True,True
STX,15M_OPT,287.53,4.43,36.58,285.39,True,True
CIEN,15M_OPT,245.99,4.37,31.65,224.67,True,True
VRT,15M_OPT,175.58,4.32,48.09,168.91,True,True
FSLR,15M_OPT,274.33,4.03,20.66,263.75,True,True
CEG,15M_OPT,366.16,4.02,34.96,359.83,True,True
SATS,15M_OPT,112.16,3.84,28.39,101.8,True,True
LULU,15M_OPT,210.76,3.63,33.03,202.53,True,True
LRCX,15M_OPT,185.07,3.55,58.63,168.65,True,True
AMD,15M_OPT,223.37,3.39,140.19,214.41,True,True
MRVL,15M_OPT,89.36,3.38,51.34,87.75,True,True
NEM,15M_OPT,101.23,3.29,30.22,98.84,True,True
ANET,15M_OPT,133.58,2.96,26.16,129.7,True,True
SE,15M_OPT,131.46,2.91,30.93,126.62,True,True
GLW,15M_OPT,90.67,2.76,23.1,88.86,True,True
FCX,15M_OPT,51.94,2.71,43.13,48.73,True,True
NVO,15M_OPT,52.4,2.7,37.67,49.6,True,True
RCL,15M_OPT,283.24,2.7,30.21,278.52,True,True
AMAT,15M_OPT,268.8,2.64,56.0,262.29,True,True
SNPS,15M_OPT,480.42,2.57,36.15,468.73,True,True
TGT,15M_OPT,100.49,2.56,29.79,96.46,True,True
NVDA,15M_OPT,188.82,2.55,629.17,182.94,True,True
ON,15M_OPT,56.69,2.53,22.58,55.04,True,True
TSM,15M_OPT,319.67,2.53,111.78,297.1,True,True
PDD,15M_OPT,115.77,2.45,30.66,112.88,True,True
UAL,15M_OPT,113.02,2.4,20.36,110.31,True,True
BABA,15M_OPT,155.73,2.36,40.42,152.38,True,True
COP,15M_OPT,96.72,2.31,32.77,93.65,True,True
GE,15M_OPT,320.83,2.13,52.26,301.76,True,True
DG,15M_OPT,136.81,2.1,23.39,133.28,True,True
UNH,15M_OPT,336.46,2.03,45.5,330.89,True,True
MU,15M_STK,315.38,4.9,120.25,262.43,True,True
SYM,15M_STK,64.84,4.84,5.44,60.13,True,True
COHR,15M_STK,194.31,4.79,36.22,185.89,True,True
STRL,15M_STK,318.94,4.77,7.59,316.45,True,True
LNW,15M_STK,86.37,4.56,12.57,77.14,True,True
TSEM,15M_STK,121.73,4.51,11.73,119.56,True,True
FN,15M_STK,479.19,4.48,18.38,476.39,True,True
STX,15M_STK,287.53,4.43,36.58,285.39,True,True
PRAX,15M_STK,285.58,4.42,8.25,270.29,True,True
CIEN,15M_STK,245.99,4.37,31.65,224.67,True,True
VRT,15M_STK,175.58,4.32,48.09,168.91,True,True
PAAS,15M_STK,51.04,4.31,14.49,50.21,True,True
KTOS,15M_STK,79.29,4.3,5.48,76.7,True,True
RH,15M_STK,193.27,4.3,6.22,171.14,True,True
AMKR,15M_STK,42.92,4.23,6.63,42.13,True,True
SITM,15M_STK,369.93,4.19,7.31,366.57,True,True
XPEV,15M_STK,20.44,4.19,8.19,19.68,True,True
AFRM,15M_STK,74.0,4.16,13.05,72.5,True,True
NXT,15M_STK,92.77,4.07,6.59,89.47,True,True
FSLR,15M_STK,274.33,4.03,20.66,263.75,True,True
CEG,15M_STK,366.16,4.02,34.96,359.83,True,True
