symbol,bot_type,price,atr_pct,dollar_vol_m,sma,in_uptrend,has_options
LITE,15M_OPT,386.07,5.74,52.86,218.45,True,True
CLS,15M_OPT,302.26,5.55,27.78,274.29,True,True
WDC,15M_OPT,187.68,5.14,38.73,131.05,True,True
MU,15M_OPT,315.38,4.9,120.25,198.39,True,True
COHR,15M_OPT,194.31,4.79,36.22,132.52,True,True
STX,15M_OPT,287.53,4.43,36.58,234.88,True,True
CIEN,15M_OPT,245.99,4.37,31.65,166.75,True,True
VRT,15M_OPT,175.58,4.32,48.09,159.83,True,True
CVNA,15M_OPT,400.18,4.32,83.34,370.02,True,True
AVGO,15M_OPT,347.53,4.08,316.48,345.67,True,True
TSLA,15M_OPT,438.1,4.05,374.84,418.42,True,True
FSLR,15M_OPT,274.33,4.03,20.66,235.78,True,True
CEG,15M_OPT,366.16,4.02,34.96,348.43,True,True
SATS,15M_OPT,112.16,3.84,28.39,73.68,True,True
LULU,15M_OPT,210.76,3.63,33.03,182.67,True,True
LRCX,15M_OPT,185.07,3.55,58.63,140.45,True,True
SHOP,15M_OPT,157.17,3.53,33.83,154.97,True,True
AMD,15M_OPT,223.37,3.39,140.19,203.22,True,True
MRVL,15M_OPT,89.36,3.38,51.34,82.37,True,True
NEM,15M_OPT,101.23,3.29,30.22,85.46,True,True
MDB,15M_OPT,399.59,2.83,31.9,337.4,True,True
GLW,15M_OPT,90.67,2.76,23.1,81.33,True,True
MCHP,15M_OPT,65.02,2.71,22.79,62.99,True,True
FCX,15M_OPT,51.94,2.71,43.13,43.36,True,True
AMAT,15M_OPT,268.8,2.64,56.0,217.47,True,True
SNPS,15M_OPT,480.42,2.57,36.15,479.65,True,True
TGT,15M_OPT,100.49,2.56,29.79,92.93,True,True
NVDA,15M_OPT,188.82,2.55,629.17,183.03,True,True
ON,15M_OPT,56.69,2.53,22.58,50.87,True,True
TSM,15M_OPT,319.67,2.53,111.78,278.85,True,True
UAL,15M_OPT,113.02,2.4,20.36,101.92,True,True
COP,15M_OPT,96.72,2.31,32.77,92.1,True,True
NXPI,15M_OPT,221.19,2.29,21.76,219.09,True,True
GE,15M_OPT,320.83,2.13,52.26,294.52,True,True
DG,15M_OPT,136.81,2.1,23.39,110.66,True,True
DAL,15M_OPT,69.05,2.08,26.65,61.58,True,True
UNH,15M_OPT,336.46,2.03,45.5,332.64,True,True
MU,15M_STK,315.38,4.9,120.25,0.0,True,True
MP,15M_STK,54.99,4.89,8.73,0.0,True,True
MOD,15M_STK,140.59,4.88,8.79,0.0,True,True
SYM,15M_STK,64.84,4.84,5.44,0.0,True,True
COHR,15M_STK,194.31,4.79,36.22,0.0,True,True
STRL,15M_STK,318.94,4.77,7.59,0.0,True,True
LNW,15M_STK,86.37,4.56,12.57,0.0,True,True
TEM,15M_STK,62.38,4.53,5.47,0.0,True,True
CYTK,15M_STK,61.77,4.52,6.2,0.0,True,True
TSEM,15M_STK,121.73,4.51,11.73,0.0,True,True
FN,15M_STK,479.19,4.48,18.38,0.0,True,True
HIMS,15M_STK,33.42,4.45,10.01,0.0,True,True
STX,15M_STK,287.53,4.43,36.58,0.0,True,True
PRAX,15M_STK,285.58,4.42,8.25,0.0,True,True
HOOD,15M_STK,115.16,4.42,46.67,0.0,True,True
TERN,15M_STK,40.12,4.4,11.0,0.0,True,True
PLTR,15M_STK,167.87,4.38,133.99,0.0,True,True
CIEN,15M_STK,245.99,4.37,31.65,0.0,True,True
VRT,15M_STK,175.58,4.32,48.09,0.0,True,True
CVNA,15M_STK,400.18,4.32,83.34,0.0,True,True
PAAS,15M_STK,51.04,4.31,14.49,0.0,True,True
KTOS,15M_STK,79.29,4.3,5.48,0.0,True,True
RH,15M_STK,193.27,4.3,6.22,0.0,True,True
COIN,15M_STK,236.6,4.29,40.25,0.0,True,True
KYMR,15M_STK,72.72,4.26,6.27,0.0,True,True
AMKR,15M_STK,42.92,4.23,6.63,0.0,True,True
SMCI,15M_STK,30.97,4.2,28.23,0.0,True,True
SITM,15M_STK,369.93,4.19,7.31,0.0,True,True
XPEV,15M_STK,20.44,4.19,8.19,0.0,True,True
U,15M_STK,44.26,4.19,14.32,0.0,True,True
AFRM,15M_STK,74.0,4.16,13.05,0.0,True,True
FROG,15M_STK,59.55,4.13,5.95,0.0,True,True
GFI,15M_STK,43.56,4.11,5.16,0.0,True,True
INSM,15M_STK,177.15,4.09,31.37,0.0,True,True
AVGO,15M_STK,347.53,4.08,316.48,0.0,True,True
NXT,15M_STK,92.77,4.07,6.59,0.0,True,True
TSLA,15M_STK,438.1,4.05,374.84,0.0,True,True
ARWR,15M_STK,67.73,4.05,6.69,0.0,True,True
FSLR,15M_STK,274.33,4.03,20.66,0.0,True,True
CEG,15M_STK,366.16,4.02,34.96,0.0,True,True
PI,15M_STK,179.13,4.0,5.38,0.0,True,True
CPNG,15M_STK,23.38,3.94,23.18,0.0,True,True
W,15M_STK,106.52,3.93,13.82,0.0,True,True
BIRK,15M_STK,41.71,3.92,5.52,0.0,True,True
AVAV,15M_STK,256.19,3.89,9.74,0.0,True,True
DUOL,15M_STK,176.49,3.88,12.91,0.0,True,True
ENPH,15M_STK,33.75,3.88,7.76,0.0,True,True
VSCO,15M_STK,53.34,3.86,8.12,0.0,True,True
SATS,15M_STK,112.16,3.84,28.39,0.0,True,True
VST,15M_STK,165.21,3.83,31.14,0.0,True,True
PRIM,15M_STK,130.4,3.83,6.69,0.0,True,True
SMTC,15M_STK,75.18,3.77,5.18,0.0,True,True
CCJ,15M_STK,98.56,3.76,13.84,0.0,True,True
SLNO,15M_STK,47.12,3.74,5.35,0.0,True,True
ARM,15M_STK,114.75,3.69,19.94,0.0,True,True
AGX,15M_STK,325.57,3.69,5.21,0.0,True,True
IOT,15M_STK,33.95,3.65,12.24,0.0,True,True
AU,15M_STK,85.59,3.64,6.84,0.0,True,True
INTC,15M_STK,39.37,3.64,91.22,0.0,True,True
CAVA,15M_STK,60.56,3.64,6.93,0.0,True,True
LULU,15M_STK,210.76,3.63,33.03,0.0,True,True
SOFI,15M_STK,27.47,3.6,33.59,0.0,True,True
