symbol,bot_type,price,atr_pct,dollar_vol_m,sma,in_uptrend,has_options
MU,WK_OPT,315.38,4.9,120.25,0.0,True,True
COHR,WK_OPT,194.31,4.79,36.22,0.0,True,True
STX,WK_OPT,287.53,4.43,36.58,0.0,True,True
HOOD,WK_OPT,115.16,4.42,46.67,0.0,True,True
PLTR,WK_OPT,167.87,4.38,133.99,0.0,True,True
CIEN,WK_OPT,245.99,4.37,31.65,0.0,True,True
VRT,WK_OPT,175.58,4.32,48.09,0.0,True,True
COIN,WK_OPT,236.6,4.29,40.25,0.0,True,True
AVGO,WK_OPT,347.53,4.08,316.48,0.0,True,True
CEG,WK_OPT,366.16,4.02,34.96,0.0,True,True
VST,WK_OPT,165.21,3.83,31.14,0.0,True,True
LULU,WK_OPT,210.76,3.63,33.03,0.0,True,True
LRCX,WK_OPT,185.07,3.55,58.63,0.0,True,True
SHOP,WK_OPT,157.17,3.53,33.83,0.0,True,True
ORCL,WK_OPT,195.72,3.46,139.04,0.0,True,True
AMD,WK_OPT,223.37,3.39,140.19,0.0,True,True
MRVL,WK_OPT,89.36,3.38,51.34,0.0,True,True
NEM,WK_OPT,101.23,3.29,30.22,0.0,True,True
NKE,WK_OPT,63.27,3.25,72.17,0.0,True,True
SE,WK_OPT,131.46,2.91,30.93,0.0,True,True
MDB,WK_OPT,399.59,2.83,31.9,0.0,True,True
FCX,WK_OPT,51.94,2.71,43.13,0.0,True,True
NVO,WK_OPT,52.4,2.7,37.67,0.0,True,True
RCL,WK_OPT,283.24,2.7,30.21,0.0,True,True
AMAT,WK_OPT,268.8,2.64,56.0,0.0,True,True
DASH,WK_OPT,219.78,2.61,40.52,0.0,True,True
SNOW,WK_OPT,216.67,2.58,51.73,0.0,True,True
NVDA,WK_OPT,188.82,2.55,629.17,0.0,True,True
TSM,WK_OPT,319.67,2.53,111.78,0.0,True,True
