symbol,days,trades,gross,net,win_rate,ret_pct,equity
COHR,365,0,0.0,0.0,0.0,0.0,10000.0
CIEN,365,0,0.0,0.0,0.0,0.0,10000.0
MU,365,0,0.0,0.0,0.0,0.0,10000.0
STX,365,0,0.0,0.0,0.0,0.0,10000.0
SOFI,365,0,0.0,0.0,0.0,0.0,10000.0
VRT,365,0,0.0,0.0,0.0,0.0,10000.0
INSM,365,1,803.32,803.32,100.0,8.03,10803.32
CEG,365,0,0.0,0.0,0.0,0.0,10000.0
HOOD,365,0,0.0,0.0,0.0,0.0,10000.0
SMCI,365,0,0.0,0.0,0.0,0.0,10000.0
TSLA,365,0,0.0,0.0,0.0,0.0,10000.0
COIN,365,0,0.0,0.0,0.0,0.0,10000.0
FSLR,365,0,0.0,0.0,0.0,0.0,10000.0
PLTR,365,1,291.18,291.18,100.0,2.91,10291.18
CVNA,365,1,401.25,401.25,100.0,4.01,10401.25
VST,365,0,0.0,0.0,0.0,0.0,10000.0
MRVL,365,1,246.51,246.51,100.0,2.47,10246.51
SATS,365,1,938.5,938.5,100.0,9.38,10938.5
INTC,365,1,159.5,159.5,100.0,1.59,10159.5
CPNG,365,1,-266.33,-266.33,0.0,-2.66,9733.67
LRCX,365,0,0.0,0.0,0.0,0.0,10000.0
AMD,365,0,0.0,0.0,0.0,0.0,10000.0
ARM,365,0,0.0,0.0,0.0,0.0,10000.0
SHOP,365,0,0.0,0.0,0.0,0.0,10000.0
RKT,365,0,0.0,0.0,0.0,0.0,10000.0
DKNG,365,5,22.78,22.78,80.0,0.23,10022.78
AXON,365,2,65.16,65.16,100.0,0.65,10065.16
CCL,365,1,40.88,40.88,100.0,0.41,10040.88
ORCL,365,0,0.0,0.0,0.0,0.0,10000.0
NKE,365,3,559.61,559.61,66.7,5.6,10559.62
SE,365,1,-347.35,-347.35,0.0,-3.47,9652.65
NEM,365,0,0.0,0.0,0.0,0.0,10000.0
AVGO,365,0,0.0,0.0,0.0,0.0,10000.0
RBLX,365,1,-494.84,-494.84,0.0,-4.95,9505.16
DELL,365,1,234.96,234.96,100.0,2.35,10234.96
MCHP,365,2,-30.42,-30.42,50.0,-0.3,9969.58
NVO,365,3,417.9,417.9,66.7,4.18,10417.9
HAL,365,1,309.87,309.87,100.0,3.1,10309.87
MDB,365,1,153.2,153.2,100.0,1.53,10153.2
B,365,0,0.0,0.0,0.0,0.0,10000.0
ANET,365,2,259.38,259.38,100.0,2.59,10259.38
GLW,365,0,0.0,0.0,0.0,0.0,10000.0
CMCSA,365,3,11.6,11.6,66.7,0.12,10011.6
ON,365,2,479.38,479.38,100.0,4.79,10479.38
RCL,365,3,177.44,177.44,66.7,1.77,10177.44
LULU,365,2,-173.93,-173.93,50.0,-1.74,9826.07
AMAT,365,0,0.0,0.0,0.0,0.0,10000.0
FCX,365,2,333.74,333.74,100.0,3.34,10333.74
APH,365,0,0.0,0.0,0.0,0.0,10000.0
PDD,365,2,334.73,334.73,100.0,3.35,10334.73
SNOW,365,0,0.0,0.0,0.0,0.0,10000.0
SLB,365,3,543.01,543.01,100.0,5.43,10543.01
DASH,365,2,228.66,228.66,100.0,2.29,10228.66
TGT,365,3,226.21,226.21,100.0,2.26,10226.21
COP,365,3,437.44,437.44,100.0,4.37,10437.44
NXPI,365,2,112.64,112.64,50.0,1.13,10112.64
NVDA,365,0,0.0,0.0,0.0,0.0,10000.0
SPOT,365,1,-291.33,-291.33,0.0,-2.91,9708.67
VLO,365,0,0.0,0.0,0.0,0.0,10000.0
ALNY,365,0,0.0,0.0,0.0,0.0,10000.0
TSM,365,0,0.0,0.0,0.0,0.0,10000.0
EQT,365,1,69.54,69.54,100.0,0.7,10069.54
URI,365,1,82.5,82.5,100.0,0.82,10082.5
SNPS,365,2,53.24,53.24,50.0,0.53,10053.24
TT,365,2,-118.54,-118.54,50.0,-1.19,9881.46
CRWD,365,1,307.36,307.36,100.0,3.07,10307.36
SBUX,365,3,402.86,402.86,100.0,4.03,10402.86
BABA,365,1,88.31,88.31,100.0,0.88,10088.32
JCI,365,0,0.0,0.0,0.0,0.0,10000.0
CMG,365,3,65.83,65.83,66.7,0.66,10065.83
LUV,365,1,177.54,177.54,100.0,1.78,10177.54
ARES,365,2,280.57,280.57,100.0,2.81,10280.57
UBER,365,2,266.6,266.6,100.0,2.67,10266.59
DAL,365,1,60.48,60.48,100.0,0.6,10060.48
PINS,365,2,-226.95,-226.95,50.0,-2.27,9773.05
