symbol,entry_time,exit_time,entry_price,exit_price,qty,pnl,exit_reason,hold_weeks,entry_rsi,backtest_days
NVDA,2023-10-23 04:00:00+00:00,2023-10-30 04:00:00+00:00,412.26,449.96,12,452.4,MeanRev,1.0,43.7,1095
NVDA,2024-06-17 04:00:00+00:00,2024-11-04 05:00:00+00:00,132.87,147.69,37,548.34,MeanRev,20.0,29.1,1095
NVDA,2025-02-03 05:00:00+00:00,2025-02-10 05:00:00+00:00,114.75,138.8,43,1034.15,MeanRev,1.0,37.8,1095
NVDA,2025-03-03 05:00:00+00:00,2025-03-31 04:00:00+00:00,123.51,94.84,40,-1146.92,SL,3.9,41.2,1095
NVDA,2025-04-07 04:00:00+00:00,2025-04-28 04:00:00+00:00,87.53,114.44,57,1533.87,MeanRev,3.0,33.0,1095
NVDA,2025-05-05 04:00:00+00:00,2025-05-12 04:00:00+00:00,112.88,135.31,44,986.92,MeanRev,1.0,40.1,1095
MARA,2023-10-02 04:00:00+00:00,2023-11-06 05:00:00+00:00,9.2,9.61,100,41.0,MeanRev,5.0,38.2,1095
MARA,2023-11-13 05:00:00+00:00,2023-11-20 05:00:00+00:00,9.42,11.4,100,197.5,MeanRev,1.0,25.9,1095
MARA,2024-04-08 04:00:00+00:00,2024-05-13 04:00:00+00:00,19.39,19.44,100,5.5,MeanRev,5.0,43.7,1095
MARA,2024-06-10 04:00:00+00:00,2024-06-24 04:00:00+00:00,19.23,19.83,100,60.0,MeanRev,2.0,36.7,1095
MARA,2024-08-05 04:00:00+00:00,2024-09-23 04:00:00+00:00,13.93,17.28,100,335.0,MeanRev,7.0,44.8,1095
MARA,2024-10-07 04:00:00+00:00,2024-10-14 04:00:00+00:00,16.48,18.9,100,241.5,MeanRev,1.0,43.5,1095
MARA,2024-10-28 04:00:00+00:00,2024-11-04 05:00:00+00:00,17.76,19.24,100,147.5,MeanRev,1.0,35.9,1095
MARA,2025-02-24 05:00:00+00:00,2025-04-21 04:00:00+00:00,14.59,14.29,100,-29.5,MeanRev,7.9,37.7,1095
MARA,2025-04-28 04:00:00+00:00,2025-05-05 04:00:00+00:00,14.4,15.79,100,139.0,MeanRev,1.0,32.8,1095
AMD,2023-09-18 04:00:00+00:00,2023-10-02 04:00:00+00:00,100.81,107.23,49,314.34,MeanRev,2.0,30.8,1095
AMD,2023-10-23 04:00:00+00:00,2023-10-30 04:00:00+00:00,100.64,112.23,49,568.16,MeanRev,1.0,38.3,1095
AMD,2024-04-29 04:00:00+00:00,2024-05-13 04:00:00+00:00,159.26,164.46,31,161.2,MeanRev,2.0,42.8,1095
AMD,2024-06-17 04:00:00+00:00,2024-07-01 04:00:00+00:00,157.94,171.9,31,432.76,MeanRev,2.0,27.4,1095
AMD,2024-07-22 04:00:00+00:00,2024-08-19 04:00:00+00:00,154.33,154.94,32,19.52,MeanRev,4.0,44.8,1095
AMD,2024-09-09 04:00:00+00:00,2024-09-16 04:00:00+00:00,136.12,155.98,36,715.14,MeanRev,1.0,36.7,1095
AMD,2024-12-02 05:00:00+00:00,2025-02-03 05:00:00+00:00,137.85,112.01,36,-930.24,SL,9.0,42.0,1095
AMD,2025-02-10 05:00:00+00:00,2025-03-31 04:00:00+00:00,108.45,88.81,46,-903.67,SL,6.9,29.1,1095
AMD,2025-04-07 04:00:00+00:00,2025-05-05 04:00:00+00:00,80.0,102.81,62,1414.22,MeanRev,4.0,24.6,1095
SOXL,2023-09-25 04:00:00+00:00,2023-11-06 05:00:00+00:00,17.58,20.62,100,304.0,MeanRev,6.0,39.3,1095
SOXL,2024-08-05 04:00:00+00:00,2024-09-23 04:00:00+00:00,23.5,37.63,100,1413.0,MeanRev,7.0,43.1,1095
SOXL,2024-09-30 04:00:00+00:00,2024-10-07 04:00:00+00:00,36.24,38.67,100,243.0,MeanRev,1.0,37.8,1095
SOXL,2024-10-14 04:00:00+00:00,2025-01-13 05:00:00+00:00,39.44,32.48,100,-696.0,MeanRev,13.0,35.8,1095
SOXL,2025-02-03 05:00:00+00:00,2025-03-31 04:00:00+00:00,24.8,14.29,100,-1051.2,SL,7.9,39.8,1095
SOXL,2025-04-07 04:00:00+00:00,2025-05-12 04:00:00+00:00,7.87,18.4,100,1053.0,MeanRev,5.0,20.5,1095
SOXL,2025-05-19 04:00:00+00:00,2025-05-26 04:00:00+00:00,17.15,16.16,100,-99.0,MeanRev,1.0,38.4,1095
SOXL,2025-06-02 04:00:00+00:00,2025-06-09 04:00:00+00:00,16.05,20.04,100,399.5,MeanRev,1.0,32.0,1095
MSTR,2023-10-16 04:00:00+00:00,2023-10-23 04:00:00+00:00,340.22,406.29,14,924.98,MeanRev,1.0,40.3,1095
MSTR,2024-07-08 04:00:00+00:00,2024-07-15 04:00:00+00:00,1311.0,1780.38,3,1408.14,MeanRev,1.0,38.7,1095
MSTR,2024-08-12 04:00:00+00:00,2024-11-11 05:00:00+00:00,133.21,340.12,37,7655.86,MeanRev,13.0,33.2,1095
MSTR,2025-03-03 05:00:00+00:00,2025-04-14 04:00:00+00:00,292.99,317.32,17,413.61,MeanRev,5.9,28.5,1095
MSTR,2025-08-25 04:00:00+00:00,2025-09-29 04:00:00+00:00,346.34,351.85,14,77.14,MeanRev,5.0,41.9,1095
MSTR,2025-10-06 04:00:00+00:00,2025-10-13 04:00:00+00:00,362.95,282.32,13,-1048.14,SL,1.0,44.8,1095
MSTR,2025-10-20 04:00:00+00:00,2025-11-10 05:00:00+00:00,297.31,216.21,16,-1297.47,SL,3.0,27.3,1095
META,2025-04-07 04:00:00+00:00,2025-04-28 04:00:00+00:00,484.2,597.3,10,1130.95,MeanRev,3.0,37.3,1095
META,2025-11-03 05:00:00+00:00,2025-12-01 05:00:00+00:00,656.57,673.32,7,117.25,MeanRev,4.0,40.9,1095
AMZN,2023-10-23 04:00:00+00:00,2023-10-30 04:00:00+00:00,124.52,138.54,40,560.8,MeanRev,1.0,40.2,1095
AMZN,2024-08-05 04:00:00+00:00,2024-09-09 04:00:00+00:00,154.2,186.44,32,1031.68,MeanRev,5.0,42.2,1095
AMZN,2025-03-10 04:00:00+00:00,2025-03-31 04:00:00+00:00,195.61,169.94,25,-641.85,SL,3.0,44.9,1095
AMZN,2025-04-07 04:00:00+00:00,2025-05-05 04:00:00+00:00,161.84,193.04,30,936.0,MeanRev,4.0,21.0,1095
AMZN,2025-05-12 04:00:00+00:00,2025-05-19 04:00:00+00:00,210.62,201.08,23,-219.3,MeanRev,1.0,30.1,1095
DELL,2024-08-05 04:00:00+00:00,2024-09-09 04:00:00+00:00,90.81,114.36,55,1295.52,MeanRev,5.0,41.1,1095
DELL,2024-09-16 04:00:00+00:00,2024-09-23 04:00:00+00:00,112.38,120.28,44,347.6,MeanRev,1.0,43.6,1095
DELL,2025-01-20 05:00:00+00:00,2025-02-10 05:00:00+00:00,110.38,114.36,45,178.88,MeanRev,3.0,37.9,1095
DELL,2025-02-17 05:00:00+00:00,2025-03-03 05:00:00+00:00,116.42,96.48,42,-837.27,SL,2.0,38.0,1095
DELL,2025-03-10 04:00:00+00:00,2025-04-21 04:00:00+00:00,89.29,94.92,55,309.38,MeanRev,6.0,27.7,1095
