symbol,entry_time,exit_time,entry_price,exit_price,qty,pnl,exit_reason,hold_weeks,entry_rsi,backtest_days
MSTR,2025-10-20 04:00:00+00:00,2025-11-10 05:00:00+00:00,297.31,216.21,16,-1297.47,SL,3.0,27.3,365
MSTR,2025-10-06 04:00:00+00:00,2025-10-13 04:00:00+00:00,362.95,282.32,13,-1048.14,SL,1.0,44.8,365
MCHP,2025-10-13 04:00:00+00:00,2025-11-17 05:00:00+00:00,63.14,52.05,79,-876.43,SL,5.0,33.0,365
BA,2025-11-03 05:00:00+00:00,2025-11-17 05:00:00+00:00,202.2,176.96,24,-605.86,SL,2.0,34.0,365
PINS,2025-11-03 05:00:00+00:00,2025-11-10 05:00:00+00:00,33.28,27.62,100,-565.8,SL,1.0,37.7,365
NFLX,2025-10-06 04:00:00+00:00,2025-11-17 05:00:00+00:00,1160.3,1040.44,4,-479.42,SL,6.0,32.5,365
CMCSA,2025-09-22 04:00:00+00:00,2025-10-27 04:00:00+00:00,31.36,28.07,100,-328.7,SL,5.0,34.9,365
AMZN,2025-05-12 04:00:00+00:00,2025-05-19 04:00:00+00:00,210.62,201.08,23,-219.3,MeanRev,1.0,30.1,365
PYPL,2025-05-12 04:00:00+00:00,2025-05-19 04:00:00+00:00,72.97,69.86,68,-211.48,MeanRev,1.0,31.3,365
UAL,2025-05-12 04:00:00+00:00,2025-05-26 04:00:00+00:00,82.83,79.48,60,-200.7,MeanRev,2.0,31.3,365
PINS,2025-05-12 04:00:00+00:00,2025-05-19 04:00:00+00:00,32.23,30.87,100,-136.0,MeanRev,1.0,43.3,365
SHOP,2025-05-12 04:00:00+00:00,2025-05-19 04:00:00+00:00,104.02,101.5,48,-121.2,MeanRev,1.0,38.8,365
PM,2025-09-08 04:00:00+00:00,2025-11-24 05:00:00+00:00,160.83,157.47,31,-104.16,MeanRev,11.0,33.6,365
FSLR,2025-04-28 04:00:00+00:00,2025-05-05 04:00:00+00:00,143.65,140.67,34,-101.15,MeanRev,1.0,22.6,365
SOXL,2025-05-19 04:00:00+00:00,2025-05-26 04:00:00+00:00,17.15,16.16,100,-99.0,MeanRev,1.0,38.4,365
BURL,2025-05-12 04:00:00+00:00,2025-06-02 04:00:00+00:00,251.26,246.22,19,-95.85,MeanRev,3.0,34.4,365
BMY,2025-06-16 04:00:00+00:00,2025-07-21 04:00:00+00:00,49.29,48.46,100,-83.0,MeanRev,5.0,29.3,365
DHR,2025-04-28 04:00:00+00:00,2025-06-02 04:00:00+00:00,199.07,196.05,25,-75.5,MeanRev,5.0,31.0,365
AAL,2025-05-19 04:00:00+00:00,2025-05-26 04:00:00+00:00,11.66,11.41,100,-25.5,MeanRev,1.0,27.0,365
DE,2025-09-08 04:00:00+00:00,2025-10-20 04:00:00+00:00,474.14,472.9,10,-12.4,MeanRev,6.0,40.1,365
AAL,2025-06-02 04:00:00+00:00,2025-06-23 04:00:00+00:00,11.33,11.28,100,-5.0,MeanRev,3.0,31.8,365
TER,2025-06-09 04:00:00+00:00,2025-06-16 04:00:00+00:00,86.38,86.33,57,-2.85,MeanRev,1.0,34.2,365
