symbol,entry_time,exit_time,entry_price,exit_price,qty,pnl,exit_reason,hold_weeks,entry_rsi,backtest_days
INSM,2025-06-02 04:00:00+00:00,2025-06-09 04:00:00+00:00,70.03,98.72,28,803.32,MeanRev,1.0,37.8,365
PLTR,2025-11-24 05:00:00+00:00,2025-12-01 05:00:00+00:00,157.47,181.74,12,291.18,MeanRev,1.0,41.8,365
CVNA,2025-11-10 05:00:00+00:00,2025-11-24 05:00:00+00:00,307.46,374.34,6,401.25,MeanRev,2.0,36.2,365
MRVL,2025-06-02 04:00:00+00:00,2025-06-09 04:00:00+00:00,59.74,67.21,33,246.51,MeanRev,1.0,24.1,365
SATS,2025-06-09 04:00:00+00:00,2025-06-16 04:00:00+00:00,15.76,25.14,100,938.5,MeanRev,1.0,17.5,365
INTC,2025-06-02 04:00:00+00:00,2025-06-16 04:00:00+00:00,19.48,21.07,100,159.5,MeanRev,2.0,35.2,365
CPNG,2025-11-24 05:00:00+00:00,2025-12-15 05:00:00+00:00,26.73,23.14,74,-266.33,SL,3.0,44.5,365
DKNG,2025-06-02 04:00:00+00:00,2025-06-09 04:00:00+00:00,34.09,36.52,58,140.94,MeanRev,1.0,31.5,365
DKNG,2025-10-20 04:00:00+00:00,2025-11-03 05:00:00+00:00,34.33,27.25,58,-410.81,SL,2.0,32.7,365
DKNG,2025-11-10 05:00:00+00:00,2025-12-01 05:00:00+00:00,30.55,33.98,65,223.27,MeanRev,3.0,24.6,365
DKNG,2025-12-08 05:00:00+00:00,2025-12-15 05:00:00+00:00,34.11,34.24,58,7.25,MeanRev,1.0,22.7,365
DKNG,2025-12-22 05:00:00+00:00,2025-12-29 05:00:00+00:00,34.58,35.67,57,62.13,MeanRev,1.0,30.1,365
AXON,2025-10-06 04:00:00+00:00,2025-10-20 04:00:00+00:00,708.45,736.19,2,55.48,MeanRev,2.0,39.7,365
AXON,2025-11-10 05:00:00+00:00,2026-01-05 05:00:00+00:00,610.01,613.24,3,9.68,MeanRev,8.0,38.3,365
CCL,2025-11-10 05:00:00+00:00,2025-12-08 05:00:00+00:00,27.08,27.64,73,40.88,MeanRev,4.0,41.0,365
NKE,2025-06-02 04:00:00+00:00,2025-06-23 04:00:00+00:00,59.78,72.07,33,405.57,MeanRev,3.0,30.5,365
NKE,2025-10-20 04:00:00+00:00,2025-12-08 05:00:00+00:00,67.52,67.49,29,-0.73,MeanRev,7.0,41.5,365
NKE,2025-12-29 05:00:00+00:00,2026-01-05 05:00:00+00:00,60.54,65.23,33,154.77,MeanRev,1.0,38.5,365
SE,2025-10-27 04:00:00+00:00,2025-11-17 05:00:00+00:00,157.55,128.6,12,-347.35,SL,3.0,43.7,365
RBLX,2025-11-10 05:00:00+00:00,2025-12-22 05:00:00+00:00,108.04,80.55,18,-494.84,SL,6.0,38.8,365
DELL,2025-11-24 05:00:00+00:00,2025-12-01 05:00:00+00:00,124.28,138.96,16,234.96,MeanRev,1.0,42.2,365
MCHP,2025-10-27 04:00:00+00:00,2025-11-03 05:00:00+00:00,63.8,53.06,31,-332.82,SL,1.0,36.5,365
MCHP,2025-11-10 05:00:00+00:00,2025-12-01 05:00:00+00:00,57.14,65.78,35,302.4,MeanRev,3.0,37.9,365
NVO,2025-06-30 04:00:00+00:00,2025-07-21 04:00:00+00:00,69.44,71.72,28,63.7,MeanRev,3.0,43.7,365
NVO,2025-08-11 04:00:00+00:00,2025-09-15 04:00:00+00:00,50.43,61.4,39,427.64,MeanRev,5.0,37.2,365
NVO,2025-09-29 04:00:00+00:00,2025-12-22 05:00:00+00:00,54.45,52.41,36,-73.44,MeanRev,12.0,36.0,365
HAL,2025-06-02 04:00:00+00:00,2025-06-09 04:00:00+00:00,20.06,23.19,99,309.87,MeanRev,1.0,27.2,365
MDB,2025-06-02 04:00:00+00:00,2025-06-09 04:00:00+00:00,190.34,205.66,10,153.2,MeanRev,1.0,27.5,365
ANET,2025-06-02 04:00:00+00:00,2025-06-09 04:00:00+00:00,86.28,92.34,23,139.38,MeanRev,1.0,43.4,365
ANET,2025-12-15 05:00:00+00:00,2025-12-29 05:00:00+00:00,125.58,133.58,15,120.0,MeanRev,2.0,42.3,365
CMCSA,2025-08-04 04:00:00+00:00,2025-08-18 04:00:00+00:00,32.74,34.16,61,86.92,MeanRev,2.0,42.2,365
CMCSA,2025-09-22 04:00:00+00:00,2025-10-27 04:00:00+00:00,31.36,28.07,63,-207.08,SL,5.0,34.9,365
CMCSA,2025-11-03 05:00:00+00:00,2025-12-15 05:00:00+00:00,27.73,29.56,72,131.76,MeanRev,6.0,23.9,365
ON,2025-06-02 04:00:00+00:00,2025-06-09 04:00:00+00:00,41.8,51.05,47,434.98,MeanRev,1.0,34.9,365
ON,2025-11-10 05:00:00+00:00,2025-11-24 05:00:00+00:00,49.11,50.22,40,44.4,MeanRev,2.0,37.7,365
RCL,2025-10-20 04:00:00+00:00,2025-11-03 05:00:00+00:00,302.63,258.39,6,-265.45,SL,2.0,39.9,365
RCL,2025-11-17 05:00:00+00:00,2025-12-15 05:00:00+00:00,250.34,293.74,7,303.87,MeanRev,4.0,38.1,365
RCL,2025-12-29 05:00:00+00:00,2026-01-05 05:00:00+00:00,284.49,304.35,7,139.02,MeanRev,1.0,37.6,365
LULU,2025-06-23 04:00:00+00:00,2025-09-01 04:00:00+00:00,226.72,170.11,8,-452.93,SL,10.0,33.9,365
LULU,2025-09-15 04:00:00+00:00,2025-11-24 05:00:00+00:00,160.86,184.11,12,279.0,MeanRev,10.0,21.0,365
FCX,2025-10-06 04:00:00+00:00,2025-10-27 04:00:00+00:00,40.19,41.7,49,74.24,MeanRev,3.0,43.0,365
FCX,2025-11-24 05:00:00+00:00,2025-12-01 05:00:00+00:00,39.98,45.17,50,259.5,MeanRev,1.0,44.7,365
PDD,2025-06-02 04:00:00+00:00,2025-07-14 04:00:00+00:00,96.69,109.01,20,246.5,MeanRev,6.0,35.6,365
PDD,2025-12-01 05:00:00+00:00,2026-01-05 05:00:00+00:00,116.41,121.6,17,88.23,MeanRev,5.0,41.9,365
SLB,2025-06-02 04:00:00+00:00,2025-06-09 04:00:00+00:00,33.74,36.3,59,151.04,MeanRev,1.0,22.4,365
SLB,2025-06-30 04:00:00+00:00,2025-07-07 04:00:00+00:00,33.88,37.31,59,202.37,MeanRev,1.0,33.0,365
SLB,2025-10-20 04:00:00+00:00,2025-10-27 04:00:00+00:00,32.9,36.06,60,189.6,MeanRev,1.0,38.9,365
DASH,2025-11-17 05:00:00+00:00,2025-12-08 05:00:00+00:00,207.17,227.55,9,183.42,MeanRev,3.0,27.4,365
DASH,2025-12-15 05:00:00+00:00,2025-12-22 05:00:00+00:00,228.3,233.96,8,45.24,MeanRev,1.0,43.8,365
TGT,2025-06-02 04:00:00+00:00,2025-06-23 04:00:00+00:00,93.09,99.23,21,128.94,MeanRev,3.0,15.7,365
TGT,2025-09-15 04:00:00+00:00,2025-10-20 04:00:00+00:00,90.03,94.28,22,93.28,MeanRev,5.0,41.2,365
TGT,2025-11-10 05:00:00+00:00,2025-12-01 05:00:00+00:00,92.02,92.21,21,3.99,MeanRev,3.0,39.2,365
COP,2025-06-02 04:00:00+00:00,2025-06-09 04:00:00+00:00,86.94,97.03,23,232.18,MeanRev,1.0,39.0,365
COP,2025-10-13 04:00:00+00:00,2025-11-10 05:00:00+00:00,88.7,91.39,22,59.07,MeanRev,4.0,42.8,365
COP,2025-11-24 05:00:00+00:00,2025-12-01 05:00:00+00:00,87.06,93.7,22,146.19,MeanRev,1.0,40.5,365
NXPI,2025-11-03 05:00:00+00:00,2025-11-17 05:00:00+00:00,211.69,184.5,9,-244.76,SL,2.0,44.0,365
NXPI,2025-11-24 05:00:00+00:00,2025-12-01 05:00:00+00:00,192.17,227.91,10,357.4,MeanRev,1.0,30.8,365
SPOT,2025-10-27 04:00:00+00:00,2025-12-01 05:00:00+00:00,648.67,551.56,3,-291.33,SL,5.0,43.7,365
EQT,2025-09-08 04:00:00+00:00,2025-09-22 04:00:00+00:00,52.27,54.1,38,69.54,MeanRev,2.0,43.2,365
URI,2025-11-24 05:00:00+00:00,2025-12-29 05:00:00+00:00,803.68,844.93,2,82.5,MeanRev,5.0,35.9,365
SNPS,2025-10-13 04:00:00+00:00,2025-12-01 05:00:00+00:00,449.5,466.57,4,68.26,MeanRev,7.0,35.9,365
SNPS,2025-12-08 05:00:00+00:00,2025-12-15 05:00:00+00:00,467.36,463.6,4,-15.02,MeanRev,1.0,35.9,365
TT,2025-09-15 04:00:00+00:00,2025-09-29 04:00:00+00:00,400.15,424.46,4,97.24,MeanRev,2.0,39.5,365
TT,2025-12-15 05:00:00+00:00,2026-01-05 05:00:00+00:00,394.62,351.47,5,-215.78,SL,3.0,42.9,365
CRWD,2025-08-25 04:00:00+00:00,2025-09-15 04:00:00+00:00,425.5,502.34,4,307.36,MeanRev,3.0,45.0,365
SBUX,2025-06-02 04:00:00+00:00,2025-06-09 04:00:00+00:00,83.34,93.28,23,228.62,MeanRev,1.0,27.1,365
SBUX,2025-09-15 04:00:00+00:00,2025-10-13 04:00:00+00:00,82.0,85.35,24,80.28,MeanRev,4.0,38.0,365
SBUX,2025-11-03 05:00:00+00:00,2025-11-10 05:00:00+00:00,80.85,84.76,24,93.96,MeanRev,1.0,36.6,365
BABA,2025-06-16 04:00:00+00:00,2025-07-14 04:00:00+00:00,115.03,120.22,17,88.31,MeanRev,4.0,31.7,365
CMG,2025-08-11 04:00:00+00:00,2025-10-27 04:00:00+00:00,41.38,33.78,48,-364.85,SL,11.0,34.9,365
CMG,2025-11-10 05:00:00+00:00,2025-12-08 05:00:00+00:00,30.84,36.16,64,340.48,MeanRev,4.0,28.3,365
CMG,2025-12-15 05:00:00+00:00,2025-12-22 05:00:00+00:00,36.18,37.82,55,90.2,MeanRev,1.0,41.2,365
LUV,2025-11-03 05:00:00+00:00,2025-11-10 05:00:00+00:00,30.15,32.84,66,177.54,MeanRev,1.0,41.1,365
ARES,2025-10-06 04:00:00+00:00,2025-11-24 05:00:00+00:00,153.05,156.84,13,49.27,MeanRev,7.0,35.2,365
